"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","RT at Max Intensity","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Number of Scans","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Max Intensity","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Average m/z","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","AcylGlcADG","[M+NH4]+","[M-SN3-C6H10O7+H]+","[C6H6O67+SN3+H]+","[SN2+C3H4O2+H]+","[SN1+C3H4O2+H]+","[SN3-H]+","RT_min","RT_max","Comment"
"","AcylGlcADG(12:0_18:1_18:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_18:1_18:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_18:1_18:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_18:1_18:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_18:1_18:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_18:1_18:0)+NH4","998.7872","521.4564","443.3003","339.2894","257.2112","267.2693","14.6851348484848","14.9851348484848","13522"
"","AcylGlcADG(12:0_20:0_12:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_20:0_12:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_20:0_12:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_20:0_12:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_20:0_12:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(12:0_20:0_12:0)+NH4","944.7402","551.5034","359.2064","369.3363","257.2112","183.1754","11.23642","11.53642","18528"
"","AcylGlcADG(12:0_20:0_16:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_20:0_16:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_20:0_16:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_20:0_16:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_20:0_16:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_20:0_16:1)+NH4","998.7872","551.5034","413.2534","369.3363","257.2112","237.2224","14.6851348484848","14.9851348484848","13522"
"","AcylGlcADG(12:0_20:1_12:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_20:1_12:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_20:1_12:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_20:1_12:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_20:1_12:0)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(12:0_20:1_12:0)+NH4","942.7245","549.4877","359.2064","367.3207","257.2112","183.1754","10.9828902777778","11.2828902777778","18589"
"","AcylGlcADG(12:0_20:1_16:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_20:1_16:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_20:1_16:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_20:1_16:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_20:1_16:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_20:1_16:0)+NH4","998.7872","549.4877","415.269","367.3207","257.2112","239.238","14.6851348484848","14.9851348484848","13522"
"","AcylGlcADG(12:0_22:0_14:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_22:0_14:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_22:0_14:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_22:0_14:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_22:0_14:1)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_22:0_14:1)+NH4","998.7872","579.5347","385.2221","397.3676","257.2112","209.1911","14.6851348484848","14.9851348484848","13522"
"","AcylGlcADG(12:0_22:1_14:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_22:1_14:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_22:1_14:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_22:1_14:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_22:1_14:0)+NH4",0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","AcylGlcADG(12:0_22:1_14:0)+NH4","998.7872","577.519","387.2377","395.352","257.2112","211.2067","14.6851348484848","14.9851348484848","13522"
"","AcylGlcADG(14:0_14:0_14:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(14:0_14:0_14:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(14:0_14:0_14:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(14:0_14:0_14:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(14:0_14:0_14:0)+NH4",0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","AcylGlcADG(14:0_14:0_14:0)+NH4","916.7089","495.4408","387.2377","285.2424","285.2424","211.2067","10.6625388888889","10.9625388888889","13652"
"","AcylGlcADG(14:0_14:0_16:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(14:0_14:0_16:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(14:0_14:0_16:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(14:0_14:0_16:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(14:0_14:0_16:0)+NH4",0,0,0,0,0,0,"11.23642","11.53642","18528","","AcylGlcADG(14:0_14:0_16:0)+NH4","944.7402","495.4408","415.269","285.2424","285.2424","239.238","11.23642","11.53642","18528"
"","AcylGlcADG(14:0_14:0_16:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(14:0_14:0_16:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(14:0_14:0_16:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(14:0_14:0_16:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(14:0_14:0_16:1)+NH4",0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","AcylGlcADG(14:0_14:0_16:1)+NH4","942.7245","495.4408","413.2534","285.2424","285.2424","237.2224","10.9828902777778","11.2828902777778","18589"
