"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer-NS(d14:1/18:0)+H","510.4881","492.4775","474.4669","226.2166","208.206","284.2948","196.206","5.89319027777778","6.19319027777778","3887"
"","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"8.68406111111111","8.98406111111111","5075","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"8.68406111111111","8.98406111111111","5075","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"8.68406111111111","8.98406111111111","5075","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"8.68406111111111","8.98406111111111","5075","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"8.68406111111111","8.98406111111111","5075","","Cer-NS(d14:1/18:0)+H","510.4881","492.4775","474.4669","226.2166","208.206","284.2948","196.206","8.68406111111111","8.98406111111111","5075"
"","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"1.40603611111111","1.70603611111111","8910","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"1.40603611111111","1.70603611111111","8910","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"1.40603611111111","1.70603611111111","8910","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"1.40603611111111","1.70603611111111","8910","","Cer-NS(d14:1/18:0)+H",0,0,0,0,0,0,0,"1.40603611111111","1.70603611111111","8910","","Cer-NS(d14:1/18:0)+H","510.4881","492.4775","474.4669","226.2166","208.206","284.2948","196.206","1.40603611111111","1.70603611111111","8910"
"","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"9.27542222222222","9.57542222222222","8266","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"9.27542222222222","9.57542222222222","8266","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"9.27542222222222","9.57542222222222","8266","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"9.27542222222222","9.57542222222222","8266","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"9.27542222222222","9.57542222222222","8266","","Cer-NS(d14:1/19:0)+H","524.5037","506.4932","488.4826","226.2166","208.206","298.3105","196.206","9.27542222222222","9.57542222222222","8266"
"","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"4.03312638888889","4.33312638888889","8831","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"4.03312638888889","4.33312638888889","8831","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"4.03312638888889","4.33312638888889","8831","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"4.03312638888889","4.33312638888889","8831","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"4.03312638888889","4.33312638888889","8831","","Cer-NS(d14:1/19:0)+H","524.5037","506.4932","488.4826","226.2166","208.206","298.3105","196.206","4.03312638888889","4.33312638888889","8831"
"","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"6.55073472222222","6.85073472222222","16082","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"6.55073472222222","6.85073472222222","16082","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"6.55073472222222","6.85073472222222","16082","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"6.55073472222222","6.85073472222222","16082","","Cer-NS(d14:1/19:0)+H",0,0,0,0,0,0,0,"6.55073472222222","6.85073472222222","16082","","Cer-NS(d14:1/19:0)+H","524.5037","506.4932","488.4826","226.2166","208.206","298.3105","196.206","6.55073472222222","6.85073472222222","16082"
"","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"7.18354583333333","7.48354583333333","929","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"7.18354583333333","7.48354583333333","929","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"7.18354583333333","7.48354583333333","929","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"7.18354583333333","7.48354583333333","929","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"7.18354583333333","7.48354583333333","929","","Cer-NS(d14:1/20:0)+H","538.5193","520.5088","502.4982","226.2166","208.206","312.3261","196.206","7.18354583333333","7.48354583333333","929"
"","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"9.76985277777778","10.0698527777778","2689","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"9.76985277777778","10.0698527777778","2689","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"9.76985277777778","10.0698527777778","2689","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"9.76985277777778","10.0698527777778","2689","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"9.76985277777778","10.0698527777778","2689","","Cer-NS(d14:1/20:0)+H","538.5193","520.5088","502.4982","226.2166","208.206","312.3261","196.206","9.76985277777778","10.0698527777778","2689"
"","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"10.3738621212121","10.6738621212121","10304","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"10.3738621212121","10.6738621212121","10304","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"10.3738621212121","10.6738621212121","10304","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"10.3738621212121","10.6738621212121","10304","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"10.3738621212121","10.6738621212121","10304","","Cer-NS(d14:1/20:0)+H","538.5193","520.5088","502.4982","226.2166","208.206","312.3261","196.206","10.3738621212121","10.6738621212121","10304"
"","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"6.04809305555556","6.34809305555556","11903","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"6.04809305555556","6.34809305555556","11903","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"6.04809305555556","6.34809305555556","11903","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"6.04809305555556","6.34809305555556","11903","","Cer-NS(d14:1/20:0)+H",0,0,0,0,0,0,0,"6.04809305555556","6.34809305555556","11903","","Cer-NS(d14:1/20:0)+H","538.5193","520.5088","502.4982","226.2166","208.206","312.3261","196.206","6.04809305555556","6.34809305555556","11903"
