"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","RT at Max Intensity","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Number of Scans","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Max Intensity","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Average m/z","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment"
"","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"5.52259444444444","5.82259444444444","9928","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"5.52259444444444","5.82259444444444","9928","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"5.52259444444444","5.82259444444444","9928","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"5.52259444444444","5.82259444444444","9928","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"5.52259444444444","5.82259444444444","9928","","PEtOH(12:0_21:2)+NH4","704.52247","561.4877","487.3184","365.2089","379.3207","257.2112","305.2837","183.1742","183.0417","5.52259444444444","5.82259444444444","9928"
"","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"7.02406805555556","7.32406805555556","16090","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"7.02406805555556","7.32406805555556","16090","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"7.02406805555556","7.32406805555556","16090","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"7.02406805555556","7.32406805555556","16090","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"7.02406805555556","7.32406805555556","16090","","PEtOH(12:0_21:2)+NH4","704.52247","561.4877","487.3184","365.2089","379.3207","257.2112","305.2837","183.1742","183.0417","7.02406805555556","7.32406805555556","16090"
"","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"6.90816111111111","7.20816111111111","18891","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"6.90816111111111","7.20816111111111","18891","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"6.90816111111111","7.20816111111111","18891","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"6.90816111111111","7.20816111111111","18891","","PEtOH(12:0_21:2)+NH4",0,0,0,0,0,0,0,0,0,"6.90816111111111","7.20816111111111","18891","","PEtOH(12:0_21:2)+NH4","704.52247","561.4877","487.3184","365.2089","379.3207","257.2112","305.2837","183.1742","183.0417","6.90816111111111","7.20816111111111","18891"
"","PEtOH(12:0_22:1)+NH4",1,0,0,0,0,0,0,0,0,"8.64666527777777","8.94666527777777","95","","PEtOH(12:0_22:1)+NH4",8.815608,0,0,0,0,0,0,0,0,"8.64666527777777","8.94666527777777","95","","PEtOH(12:0_22:1)+NH4",2,0,0,0,0,0,0,0,0,"8.64666527777777","8.94666527777777","95","","PEtOH(12:0_22:1)+NH4",73318.2,0,0,0,0,0,0,0,0,"8.64666527777777","8.94666527777777","95","","PEtOH(12:0_22:1)+NH4",720.5545,0,0,0,0,0,0,0,0,"8.64666527777777","8.94666527777777","95","","PEtOH(12:0_22:1)+NH4","720.55387","577.5191","503.3498","365.209","395.3521","257.2114","321.315","183.1742","183.0417","8.64666527777777","8.94666527777777","95"
"","PEtOH(12:0_22:1)+NH4",1,0,0,0,0,0,0,0,0,"6.63066666666667","6.93066666666667","518","","PEtOH(12:0_22:1)+NH4",6.821414,0,0,0,0,0,0,0,0,"6.63066666666667","6.93066666666667","518","","PEtOH(12:0_22:1)+NH4",1,0,0,0,0,0,0,0,0,"6.63066666666667","6.93066666666667","518","","PEtOH(12:0_22:1)+NH4",360136.4,0,0,0,0,0,0,0,0,"6.63066666666667","6.93066666666667","518","","PEtOH(12:0_22:1)+NH4",720.5547,0,0,0,0,0,0,0,0,"6.63066666666667","6.93066666666667","518","","PEtOH(12:0_22:1)+NH4","720.55387","577.5191","503.3498","365.209","395.3521","257.2114","321.315","183.1742","183.0417","6.63066666666667","6.93066666666667","518"
"","PEtOH(12:0_22:1)+NH4",1,0,0,0,0,0,0,0,0,"6.43381527777778","6.73381527777778","1486","","PEtOH(12:0_22:1)+NH4",6.58182,0,0,0,0,0,0,0,0,"6.43381527777778","6.73381527777778","1486","","PEtOH(12:0_22:1)+NH4",1,0,0,0,0,0,0,0,0,"6.43381527777778","6.73381527777778","1486","","PEtOH(12:0_22:1)+NH4",89414.06,0,0,0,0,0,0,0,0,"6.43381527777778","6.73381527777778","1486","","PEtOH(12:0_22:1)+NH4",720.5549,0,0,0,0,0,0,0,0,"6.43381527777778","6.73381527777778","1486","","PEtOH(12:0_22:1)+NH4","720.55387","577.5191","503.3498","365.209","395.3521","257.2114","321.315","183.1742","183.0417","6.43381527777778","6.73381527777778","1486"
"","PEtOH(12:0_22:2)+NH4",1,0,0,0,0,0,0,0,0,"5.51697222222222","5.81697222222222","1575","","PEtOH(12:0_22:2)+NH4",5.717829,0,0,0,0,0,0,0,0,"5.51697222222222","5.81697222222222","1575","","PEtOH(12:0_22:2)+NH4",1,0,0,0,0,0,0,0,0,"5.51697222222222","5.81697222222222","1575","","PEtOH(12:0_22:2)+NH4",54893.42,0,0,0,0,0,0,0,0,"5.51697222222222","5.81697222222222","1575","","PEtOH(12:0_22:2)+NH4",718.5396,0,0,0,0,0,0,0,0,"5.51697222222222","5.81697222222222","1575","","PEtOH(12:0_22:2)+NH4","718.53817","575.5034","501.334","365.2089","393.3364","257.2113","319.2993","183.1742","183.0417","5.51697222222222","5.81697222222222","1575"
"","PEtOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.99224242424243","6.29224242424243","5695","","PEtOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.99224242424243","6.29224242424243","5695","","PEtOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.99224242424243","6.29224242424243","5695","","PEtOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.99224242424243","6.29224242424243","5695","","PEtOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.99224242424243","6.29224242424243","5695","","PEtOH(12:0_22:2)+NH4","718.53817","575.5034","501.334","365.2089","393.3364","257.2113","319.2993","183.1742","183.0417","5.99224242424243","6.29224242424243","5695"
"","PEtOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.78686818181818","6.08686818181818","15153","","PEtOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.78686818181818","6.08686818181818","15153","","PEtOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.78686818181818","6.08686818181818","15153","","PEtOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.78686818181818","6.08686818181818","15153","","PEtOH(12:0_22:2)+NH4",0,0,0,0,0,0,0,0,0,"5.78686818181818","6.08686818181818","15153","","PEtOH(12:0_22:2)+NH4","718.53817","575.5034","501.334","365.2089","393.3364","257.2113","319.2993","183.1742","183.0417","5.78686818181818","6.08686818181818","15153"
"","PEtOH(12:0_22:3)+NH4",1,0,0,0,0,0,0,0,0,"6.68251805555556","6.98251805555556","422","","PEtOH(12:0_22:3)+NH4",6.856732,0,0,0,0,0,0,0,0,"6.68251805555556","6.98251805555556","422","","PEtOH(12:0_22:3)+NH4",1,0,0,0,0,0,0,0,0,"6.68251805555556","6.98251805555556","422","","PEtOH(12:0_22:3)+NH4",20486.5,0,0,0,0,0,0,0,0,"6.68251805555556","6.98251805555556","422","","PEtOH(12:0_22:3)+NH4",716.5242,0,0,0,0,0,0,0,0,"6.68251805555556","6.98251805555556","422","","PEtOH(12:0_22:3)+NH4","716.52247","573.4877","499.3184","365.2089","391.3207","257.2112","317.2837","183.1742","183.0417","6.68251805555556","6.98251805555556","422"
