"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment","RT at Max Intensity","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment","Number of Scans","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment","Max Intensity","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment","Average m/z","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SQDG","[M+NH4]+","[M-SN1+H]+","[M-SN2+H]+","[M-C6H10O7S+H]+","[M-C6H10O7S-H2O+H]+","[M-C6H10O7S-SN1+H]+","[M-C6H10O7S-SN2+H]+","SN2","SN1","RT_min","RT_max","Comment"
"","SQDG(13:0_20:4)+NH4",0,0,0,0,0,0,0,0,0,"4.94600277777778","5.24600277777778","2949","","SQDG(13:0_20:4)+NH4",0,0,0,0,0,0,0,0,0,"4.94600277777778","5.24600277777778","2949","","SQDG(13:0_20:4)+NH4",0,0,0,0,0,0,0,0,0,"4.94600277777778","5.24600277777778","2949","","SQDG(13:0_20:4)+NH4",0,0,0,0,0,0,0,0,0,"4.94600277777778","5.24600277777778","2949","","SQDG(13:0_20:4)+NH4",0,0,0,0,0,0,0,0,0,"4.94600277777778","5.24600277777778","2949","","SQDG(13:0_20:4)+NH4","818.5089","587.2885","497.2415","575.467","557.4564","361.2737","271.2267","287.2369","197.19","4.94600277777778","5.24600277777778","2949"
"","SQDG(13:0_20:4)+NH4",0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","3691","","SQDG(13:0_20:4)+NH4",0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","3691","","SQDG(13:0_20:4)+NH4",0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","3691","","SQDG(13:0_20:4)+NH4",0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","3691","","SQDG(13:0_20:4)+NH4",0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","3691","","SQDG(13:0_20:4)+NH4","818.5089","587.2885","497.2415","575.467","557.4564","361.2737","271.2267","287.2369","197.19","5.38028055555556","5.68028055555556","3691"
"","SQDG(13:0_21:0)+NH4",0,0,0,0,0,0,0,0,0,"6.8432303030303","7.1432303030303","7080","","SQDG(13:0_21:0)+NH4",0,0,0,0,0,0,0,0,0,"6.8432303030303","7.1432303030303","7080","","SQDG(13:0_21:0)+NH4",0,0,0,0,0,0,0,0,0,"6.8432303030303","7.1432303030303","7080","","SQDG(13:0_21:0)+NH4",0,0,0,0,0,0,0,0,0,"6.8432303030303","7.1432303030303","7080","","SQDG(13:0_21:0)+NH4",0,0,0,0,0,0,0,0,0,"6.8432303030303","7.1432303030303","7080","","SQDG(13:0_21:0)+NH4","840.5871","609.3667","497.2415","597.5452","579.5347","383.352","271.2267","309.3152","197.19","6.8432303030303","7.1432303030303","7080"
"","SQDG(13:0_22:1)+NH4",0,0,0,0,0,0,0,0,0,"8.58094027777778","8.88094027777778","14718","","SQDG(13:0_22:1)+NH4",0,0,0,0,0,0,0,0,0,"8.58094027777778","8.88094027777778","14718","","SQDG(13:0_22:1)+NH4",0,0,0,0,0,0,0,0,0,"8.58094027777778","8.88094027777778","14718","","SQDG(13:0_22:1)+NH4",0,0,0,0,0,0,0,0,0,"8.58094027777778","8.88094027777778","14718","","SQDG(13:0_22:1)+NH4",0,0,0,0,0,0,0,0,0,"8.58094027777778","8.88094027777778","14718","","SQDG(13:0_22:1)+NH4","852.5871","621.3667","497.2415","609.5452","591.5347","395.352","271.2267","321.3152","197.19","8.58094027777778","8.88094027777778","14718"
"","SQDG(13:0_22:3)+NH4",0,0,0,0,0,0,0,0,0,"7.43965555555556","7.73965555555556","14412","","SQDG(13:0_22:3)+NH4",0,0,0,0,0,0,0,0,0,"7.43965555555556","7.73965555555556","14412","","SQDG(13:0_22:3)+NH4",0,0,0,0,0,0,0,0,0,"7.43965555555556","7.73965555555556","14412","","SQDG(13:0_22:3)+NH4",0,0,0,0,0,0,0,0,0,"7.43965555555556","7.73965555555556","14412","","SQDG(13:0_22:3)+NH4",0,0,0,0,0,0,0,0,0,"7.43965555555556","7.73965555555556","14412","","SQDG(13:0_22:3)+NH4","848.5558","617.3354","497.2415","605.514","587.5034","391.3206","271.2267","317.2839","197.19","7.43965555555556","7.73965555555556","14412"
"","SQDG(13:0_22:5)+NH4",0,0,0,0,0,0,0,0,0,"5.83603333333333","6.13603333333333","2995","","SQDG(13:0_22:5)+NH4",0,0,0,0,0,0,0,0,0,"5.83603333333333","6.13603333333333","2995","","SQDG(13:0_22:5)+NH4",0,0,0,0,0,0,0,0,0,"5.83603333333333","6.13603333333333","2995","","SQDG(13:0_22:5)+NH4",0,0,0,0,0,0,0,0,0,"5.83603333333333","6.13603333333333","2995","","SQDG(13:0_22:5)+NH4",0,0,0,0,0,0,0,0,0,"5.83603333333333","6.13603333333333","2995","","SQDG(13:0_22:5)+NH4","844.5245","613.3041","497.2415","601.4827","583.4721","387.2894","271.2267","313.2526","197.19","5.83603333333333","6.13603333333333","2995"
"","SQDG(13:0_22:5)+NH4",0,0,0,0,0,0,0,0,0,"5.30555138888889","5.60555138888889","4398","","SQDG(13:0_22:5)+NH4",0,0,0,0,0,0,0,0,0,"5.30555138888889","5.60555138888889","4398","","SQDG(13:0_22:5)+NH4",0,0,0,0,0,0,0,0,0,"5.30555138888889","5.60555138888889","4398","","SQDG(13:0_22:5)+NH4",0,0,0,0,0,0,0,0,0,"5.30555138888889","5.60555138888889","4398","","SQDG(13:0_22:5)+NH4",0,0,0,0,0,0,0,0,0,"5.30555138888889","5.60555138888889","4398","","SQDG(13:0_22:5)+NH4","844.5245","613.3041","497.2415","601.4827","583.4721","387.2894","271.2267","313.2526","197.19","5.30555138888889","5.60555138888889","4398"
"","SQDG(13:0_25:0)+NH4",0,0,0,0,0,0,0,0,0,"8.70818611111111","9.00818611111111","10225","","SQDG(13:0_25:0)+NH4",0,0,0,0,0,0,0,0,0,"8.70818611111111","9.00818611111111","10225","","SQDG(13:0_25:0)+NH4",0,0,0,0,0,0,0,0,0,"8.70818611111111","9.00818611111111","10225","","SQDG(13:0_25:0)+NH4",0,0,0,0,0,0,0,0,0,"8.70818611111111","9.00818611111111","10225","","SQDG(13:0_25:0)+NH4",0,0,0,0,0,0,0,0,0,"8.70818611111111","9.00818611111111","10225","","SQDG(13:0_25:0)+NH4","896.6497","665.4293","497.2415","653.6078","635.5973","439.4146","271.2267","365.3778","197.19","8.70818611111111","9.00818611111111","10225"
"","SQDG(13:0_25:0)+NH4",0,0,0,0,0,0,0,0,0,"8.97857638888889","9.27857638888889","11731","","SQDG(13:0_25:0)+NH4",0,0,0,0,0,0,0,0,0,"8.97857638888889","9.27857638888889","11731","","SQDG(13:0_25:0)+NH4",0,0,0,0,0,0,0,0,0,"8.97857638888889","9.27857638888889","11731","","SQDG(13:0_25:0)+NH4",0,0,0,0,0,0,0,0,0,"8.97857638888889","9.27857638888889","11731","","SQDG(13:0_25:0)+NH4",0,0,0,0,0,0,0,0,0,"8.97857638888889","9.27857638888889","11731","","SQDG(13:0_25:0)+NH4","896.6497","665.4293","497.2415","653.6078","635.5973","439.4146","271.2267","365.3778","197.19","8.97857638888889","9.27857638888889","11731"
"","SQDG(13:0_27:0)+NH4",0,0,0,0,0,0,0,0,0,"9.67896527777778","9.97896527777778","6609","","SQDG(13:0_27:0)+NH4",0,0,0,0,0,0,0,0,0,"9.67896527777778","9.97896527777778","6609","","SQDG(13:0_27:0)+NH4",0,0,0,0,0,0,0,0,0,"9.67896527777778","9.97896527777778","6609","","SQDG(13:0_27:0)+NH4",0,0,0,0,0,0,0,0,0,"9.67896527777778","9.97896527777778","6609","","SQDG(13:0_27:0)+NH4",0,0,0,0,0,0,0,0,0,"9.67896527777778","9.97896527777778","6609","","SQDG(13:0_27:0)+NH4","924.681","693.4606","497.2415","681.6392","663.6286","467.4459","271.2267","393.4091","197.19","9.67896527777778","9.97896527777778","6609"
