"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"4.9715625","5.2715625","6229","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"4.9715625","5.2715625","6229","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"4.9715625","5.2715625","6229","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"4.9715625","5.2715625","6229","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"4.9715625","5.2715625","6229","","Cer-NDS(d14:0/14:1)+H","454.4255","436.4149","418.4043","228.2322","210.2216","226.2166","198.2216","4.9715625","5.2715625","6229"
"","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"6.10195972222222","6.40195972222222","14862","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"6.10195972222222","6.40195972222222","14862","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"6.10195972222222","6.40195972222222","14862","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"6.10195972222222","6.40195972222222","14862","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"6.10195972222222","6.40195972222222","14862","","Cer-NDS(d14:0/14:1)+H","454.4255","436.4149","418.4043","228.2322","210.2216","226.2166","198.2216","6.10195972222222","6.40195972222222","14862"
"","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"6.11783888888889","6.41783888888889","15542","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"6.11783888888889","6.41783888888889","15542","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"6.11783888888889","6.41783888888889","15542","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"6.11783888888889","6.41783888888889","15542","","Cer-NDS(d14:0/14:1)+H",0,0,0,0,0,0,0,"6.11783888888889","6.41783888888889","15542","","Cer-NDS(d14:0/14:1)+H","454.4255","436.4149","418.4043","228.2322","210.2216","226.2166","198.2216","6.11783888888889","6.41783888888889","15542"
"","Cer-NDS(d14:0/15:1)+H",1,0,0,0,0,0,0,"1.82907361111111","2.12907361111111","1601","","Cer-NDS(d14:0/15:1)+H",1.99963,0,0,0,0,0,0,"1.82907361111111","2.12907361111111","1601","","Cer-NDS(d14:0/15:1)+H",1,0,0,0,0,0,0,"1.82907361111111","2.12907361111111","1601","","Cer-NDS(d14:0/15:1)+H",381617.6,0,0,0,0,0,0,"1.82907361111111","2.12907361111111","1601","","Cer-NDS(d14:0/15:1)+H",468.4416,0,0,0,0,0,0,"1.82907361111111","2.12907361111111","1601","","Cer-NDS(d14:0/15:1)+H","468.4411","450.4305","432.42","228.2322","210.2216","240.2322","198.2216","1.82907361111111","2.12907361111111","1601"
"","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"5.68424027777778","5.98424027777778","8556","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"5.68424027777778","5.98424027777778","8556","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"5.68424027777778","5.98424027777778","8556","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"5.68424027777778","5.98424027777778","8556","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"5.68424027777778","5.98424027777778","8556","","Cer-NDS(d14:0/15:1)+H","468.4411","450.4305","432.42","228.2322","210.2216","240.2322","198.2216","5.68424027777778","5.98424027777778","8556"
"","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"1.59082638888889","1.89082638888889","12463","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"1.59082638888889","1.89082638888889","12463","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"1.59082638888889","1.89082638888889","12463","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"1.59082638888889","1.89082638888889","12463","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"1.59082638888889","1.89082638888889","12463","","Cer-NDS(d14:0/15:1)+H","468.4411","450.4305","432.42","228.2322","210.2216","240.2322","198.2216","1.59082638888889","1.89082638888889","12463"
"","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"5.76620555555556","6.06620555555556","14717","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"5.76620555555556","6.06620555555556","14717","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"5.76620555555556","6.06620555555556","14717","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"5.76620555555556","6.06620555555556","14717","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"5.76620555555556","6.06620555555556","14717","","Cer-NDS(d14:0/15:1)+H","468.4411","450.4305","432.42","228.2322","210.2216","240.2322","198.2216","5.76620555555556","6.06620555555556","14717"
"","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"2.01379166666667","2.31379166666667","14901","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"2.01379166666667","2.31379166666667","14901","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"2.01379166666667","2.31379166666667","14901","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"2.01379166666667","2.31379166666667","14901","","Cer-NDS(d14:0/15:1)+H",0,0,0,0,0,0,0,"2.01379166666667","2.31379166666667","14901","","Cer-NDS(d14:0/15:1)+H","468.4411","450.4305","432.42","228.2322","210.2216","240.2322","198.2216","2.01379166666667","2.31379166666667","14901"
"","Cer-NDS(d14:0/16:0)+H",0,0,0,0,0,0,0,"7.16495555555556","7.46495555555556","17513","","Cer-NDS(d14:0/16:0)+H",0,0,0,0,0,0,0,"7.16495555555556","7.46495555555556","17513","","Cer-NDS(d14:0/16:0)+H",0,0,0,0,0,0,0,"7.16495555555556","7.46495555555556","17513","","Cer-NDS(d14:0/16:0)+H",0,0,0,0,0,0,0,"7.16495555555556","7.46495555555556","17513","","Cer-NDS(d14:0/16:0)+H",0,0,0,0,0,0,0,"7.16495555555556","7.46495555555556","17513","","Cer-NDS(d14:0/16:0)+H","484.4724","466.4619","448.4513","228.2322","210.2216","256.2635","198.2216","7.16495555555556","7.46495555555556","17513"
"","Cer-NDS(d14:0/18:1)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer-NDS(d14:0/18:1)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer-NDS(d14:0/18:1)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer-NDS(d14:0/18:1)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer-NDS(d14:0/18:1)+H",0,0,0,0,0,0,0,"5.89319027777778","6.19319027777778","3887","","Cer-NDS(d14:0/18:1)+H","510.4881","492.4775","474.4669","228.2322","210.2216","282.2791","198.2216","5.89319027777778","6.19319027777778","3887"
