"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HexCer-NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","HexCer-NDS(d14:0/25:1)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","HexCer-NDS(d14:0/25:1)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","HexCer-NDS(d14:0/25:1)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","HexCer-NDS(d14:0/25:1)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","HexCer-NDS(d14:0/25:1)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","HexCer-NDS(d14:0/25:1)+H","770.651","608.5981","590.5876","572.577","228.2322","210.2216","380.3887","198.2216","9.25202638888889","9.55202638888889","3834"
"","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","HexCer-NDS(d14:0/26:1)+H","784.6666","622.6138","604.6032","586.5927","228.2322","210.2216","394.4044","198.2216","9.75355416666667","10.0535541666667","782"
"","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","HexCer-NDS(d14:0/26:1)+H","784.6666","622.6138","604.6032","586.5927","228.2322","210.2216","394.4044","198.2216","10.1036152777778","10.4036152777778","5567"
"","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"10.02995","10.32995","18396","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"10.02995","10.32995","18396","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"10.02995","10.32995","18396","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"10.02995","10.32995","18396","","HexCer-NDS(d14:0/26:1)+H",0,0,0,0,0,0,0,0,"10.02995","10.32995","18396","","HexCer-NDS(d14:0/26:1)+H","784.6666","622.6138","604.6032","586.5927","228.2322","210.2216","394.4044","198.2216","10.02995","10.32995","18396"
"","HexCer-NDS(d14:0/26:2)+H",0,0,0,0,0,0,0,0,"8.83116388888889","9.13116388888889","2968","","HexCer-NDS(d14:0/26:2)+H",0,0,0,0,0,0,0,0,"8.83116388888889","9.13116388888889","2968","","HexCer-NDS(d14:0/26:2)+H",0,0,0,0,0,0,0,0,"8.83116388888889","9.13116388888889","2968","","HexCer-NDS(d14:0/26:2)+H",0,0,0,0,0,0,0,0,"8.83116388888889","9.13116388888889","2968","","HexCer-NDS(d14:0/26:2)+H",0,0,0,0,0,0,0,0,"8.83116388888889","9.13116388888889","2968","","HexCer-NDS(d14:0/26:2)+H","782.651","620.5981","602.5876","584.577","228.2322","210.2216","392.3887","198.2216","8.83116388888889","9.13116388888889","2968"
"","HexCer-NDS(d14:0/26:2)+H",0,0,0,0,0,0,0,0,"9.52148787878788","9.82148787878788","11986","","HexCer-NDS(d14:0/26:2)+H",0,0,0,0,0,0,0,0,"9.52148787878788","9.82148787878788","11986","","HexCer-NDS(d14:0/26:2)+H",0,0,0,0,0,0,0,0,"9.52148787878788","9.82148787878788","11986","","HexCer-NDS(d14:0/26:2)+H",0,0,0,0,0,0,0,0,"9.52148787878788","9.82148787878788","11986","","HexCer-NDS(d14:0/26:2)+H",0,0,0,0,0,0,0,0,"9.52148787878788","9.82148787878788","11986","","HexCer-NDS(d14:0/26:2)+H","782.651","620.5981","602.5876","584.577","228.2322","210.2216","392.3887","198.2216","9.52148787878788","9.82148787878788","11986"
"","HexCer-NDS(d14:0/27:1)+H",0,0,1,1,0,0,0,0,"10.2331319444444","10.5331319444444","1201","","HexCer-NDS(d14:0/27:1)+H",0,0,10.37288,10.37288,0,0,0,0,"10.2331319444444","10.5331319444444","1201","","HexCer-NDS(d14:0/27:1)+H",0,0,1,1,0,0,0,0,"10.2331319444444","10.5331319444444","1201","","HexCer-NDS(d14:0/27:1)+H",0,0,192178.5,81155.23,0,0,0,0,"10.2331319444444","10.5331319444444","1201","","HexCer-NDS(d14:0/27:1)+H",0,0,618.6198,600.6093,0,0,0,0,"10.2331319444444","10.5331319444444","1201","","HexCer-NDS(d14:0/27:1)+H","798.6823","636.6295","618.6189","600.6083","228.2322","210.2216","408.42","198.2216","10.2331319444444","10.5331319444444","1201"
"","HexCer-NDS(d14:0/28:1)+H",0,0,1,1,0,0,0,0,"10.6725680555556","10.9725680555556","626","","HexCer-NDS(d14:0/28:1)+H",0,0,10.88786,10.88786,0,0,0,10.88786,"10.6725680555556","10.9725680555556","626","","HexCer-NDS(d14:0/28:1)+H",0,0,1,1,0,0,0,1,"10.6725680555556","10.9725680555556","626","","HexCer-NDS(d14:0/28:1)+H",0,0,266860.5,111445.8,0,0,0,637.0637,"10.6725680555556","10.9725680555556","626","","HexCer-NDS(d14:0/28:1)+H",0,0,632.6361,614.6255,0,0,0,198.2222,"10.6725680555556","10.9725680555556","626","","HexCer-NDS(d14:0/28:1)+H","812.6979","650.6451","632.6345","614.624","228.2322","210.2216","422.4356","198.2216","10.6725680555556","10.9725680555556","626"
"","HexCer-NDS(d14:0/28:2)+H",0,0,1,1,0,0,0,0,"9.66834305555556","9.96834305555556","878","","HexCer-NDS(d14:0/28:2)+H",0,0,9.849982,9.849982,0,0,0,0,"9.66834305555556","9.96834305555556","878","","HexCer-NDS(d14:0/28:2)+H",0,0,1,1,0,0,0,0,"9.66834305555556","9.96834305555556","878","","HexCer-NDS(d14:0/28:2)+H",0,0,292159.4,123581.2,0,0,0,0,"9.66834305555556","9.96834305555556","878","","HexCer-NDS(d14:0/28:2)+H",0,0,630.6201,612.6096,0,0,0,0,"9.66834305555556","9.96834305555556","878","","HexCer-NDS(d14:0/28:2)+H","810.6823","648.6295","630.6189","612.6083","228.2322","210.2216","420.42","198.2216","9.66834305555556","9.96834305555556","878"
"","HexCer-NDS(d14:0/28:2)+H",0,0,0,0,0,0,0,0,"10.4424116666667","10.7424116666667","10097","","HexCer-NDS(d14:0/28:2)+H",0,0,0,0,0,0,0,0,"10.4424116666667","10.7424116666667","10097","","HexCer-NDS(d14:0/28:2)+H",0,0,0,0,0,0,0,0,"10.4424116666667","10.7424116666667","10097","","HexCer-NDS(d14:0/28:2)+H",0,0,0,0,0,0,0,0,"10.4424116666667","10.7424116666667","10097","","HexCer-NDS(d14:0/28:2)+H",0,0,0,0,0,0,0,0,"10.4424116666667","10.7424116666667","10097","","HexCer-NDS(d14:0/28:2)+H","810.6823","648.6295","630.6189","612.6083","228.2322","210.2216","420.42","198.2216","10.4424116666667","10.7424116666667","10097"
