"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment","Number of Scans","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment","Max Intensity","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment","Average m/z","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HBMP","[M+NH4]+","[M-SN3-H3O4P]+","[SN2+C3H4O2+H]+","[SN3+C3H4O2+H]+","[SN1+C3H4O2+H]+","RT_min","RT_max","Comment"
"","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_14:0_16:2)+NH4","890.6486","467.41","285.2424","309.2424","257.2112","9.5629125","9.8629125","8398"
"","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_14:0_16:2)+NH4","890.6486","467.41","285.2424","309.2424","257.2112","8.89693611111111","9.19693611111111","14218"
"","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_14:0_16:2)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_14:0_16:2)+NH4","890.6486","467.41","285.2424","309.2424","257.2112","9.0764","9.3764","18110"
"","HBMP(12:0_14:0_18:2)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_14:0_18:2)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_14:0_18:2)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_14:0_18:2)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_14:0_18:2)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_14:0_18:2)+NH4","918.6799","467.41","285.2424","337.2737","257.2112","9.78410833333333","10.0841083333333","4023"
"","HBMP(12:0_14:0_20:2)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_14:0_20:2)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_14:0_20:2)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_14:0_20:2)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_14:0_20:2)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_14:0_20:2)+NH4","946.7112","467.41","285.2424","365.3051","257.2112","10.6110569444444","10.9110569444444","5737"
"","HBMP(12:0_14:0_20:3)+NH4",0,0,0,0,0,"9.8998875","10.1998875","4975","","HBMP(12:0_14:0_20:3)+NH4",0,0,0,0,0,"9.8998875","10.1998875","4975","","HBMP(12:0_14:0_20:3)+NH4",0,0,0,0,0,"9.8998875","10.1998875","4975","","HBMP(12:0_14:0_20:3)+NH4",0,0,0,0,0,"9.8998875","10.1998875","4975","","HBMP(12:0_14:0_20:3)+NH4",0,0,0,0,0,"9.8998875","10.1998875","4975","","HBMP(12:0_14:0_20:3)+NH4","944.6956","467.41","285.2424","363.2894","257.2112","9.8998875","10.1998875","4975"
"","HBMP(12:0_14:0_20:4)+NH4",0,0,0,0,0,"9.19669166666667","9.49669166666667","6142","","HBMP(12:0_14:0_20:4)+NH4",0,0,0,0,0,"9.19669166666667","9.49669166666667","6142","","HBMP(12:0_14:0_20:4)+NH4",0,0,0,0,0,"9.19669166666667","9.49669166666667","6142","","HBMP(12:0_14:0_20:4)+NH4",0,0,0,0,0,"9.19669166666667","9.49669166666667","6142","","HBMP(12:0_14:0_20:4)+NH4",0,0,0,0,0,"9.19669166666667","9.49669166666667","6142","","HBMP(12:0_14:0_20:4)+NH4","942.6799","467.41","285.2424","361.2737","257.2112","9.19669166666667","9.49669166666667","6142"
"","HBMP(12:0_14:0_22:0)+NH4",0,0,0,0,0,"10.8824257575758","11.1824257575758","7711","","HBMP(12:0_14:0_22:0)+NH4",0,0,0,0,0,"10.8824257575758","11.1824257575758","7711","","HBMP(12:0_14:0_22:0)+NH4",0,0,0,0,0,"10.8824257575758","11.1824257575758","7711","","HBMP(12:0_14:0_22:0)+NH4",0,0,0,0,0,"10.8824257575758","11.1824257575758","7711","","HBMP(12:0_14:0_22:0)+NH4",0,0,0,0,0,"10.8824257575758","11.1824257575758","7711","","HBMP(12:0_14:0_22:0)+NH4","978.7738","467.41","285.2424","397.3676","257.2112","10.8824257575758","11.1824257575758","7711"
"","HBMP(12:0_14:1_12:0)+NH4",0,0,0,0,0,"4.60720185185185","4.90720185185185","8264","","HBMP(12:0_14:1_12:0)+NH4",0,0,0,0,0,"4.60720185185185","4.90720185185185","8264","","HBMP(12:0_14:1_12:0)+NH4",0,0,0,0,0,"4.60720185185185","4.90720185185185","8264","","HBMP(12:0_14:1_12:0)+NH4",0,0,0,0,0,"4.60720185185185","4.90720185185185","8264","","HBMP(12:0_14:1_12:0)+NH4",0,0,0,0,0,"4.60720185185185","4.90720185185185","8264","","HBMP(12:0_14:1_12:0)+NH4","836.6017","465.3944","283.2268","257.2112","257.2112","4.60720185185185","4.90720185185185","8264"
"","HBMP(12:0_14:1_12:0)+NH4",0,0,0,0,0,"4.67931805555556","4.97931805555556","13732","","HBMP(12:0_14:1_12:0)+NH4",0,0,0,0,0,"4.67931805555556","4.97931805555556","13732","","HBMP(12:0_14:1_12:0)+NH4",0,0,0,0,0,"4.67931805555556","4.97931805555556","13732","","HBMP(12:0_14:1_12:0)+NH4",0,0,0,0,0,"4.67931805555556","4.97931805555556","13732","","HBMP(12:0_14:1_12:0)+NH4",0,0,0,0,0,"4.67931805555556","4.97931805555556","13732","","HBMP(12:0_14:1_12:0)+NH4","836.6017","465.3944","283.2268","257.2112","257.2112","4.67931805555556","4.97931805555556","13732"
"","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"9.5629125","9.8629125","8398","","HBMP(12:0_14:1_16:1)+NH4","890.6486","465.3944","283.2268","311.2581","257.2112","9.5629125","9.8629125","8398"
"","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"8.89693611111111","9.19693611111111","14218","","HBMP(12:0_14:1_16:1)+NH4","890.6486","465.3944","283.2268","311.2581","257.2112","8.89693611111111","9.19693611111111","14218"
"","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_14:1_16:1)+NH4",0,0,0,0,0,"9.0764","9.3764","18110","","HBMP(12:0_14:1_16:1)+NH4","890.6486","465.3944","283.2268","311.2581","257.2112","9.0764","9.3764","18110"
"","HBMP(12:0_14:1_16:4)+NH4",0,0,0,0,0,"5.58934861111111","5.88934861111111","13481","","HBMP(12:0_14:1_16:4)+NH4",0,0,0,0,0,"5.58934861111111","5.88934861111111","13481","","HBMP(12:0_14:1_16:4)+NH4",0,0,0,0,0,"5.58934861111111","5.88934861111111","13481","","HBMP(12:0_14:1_16:4)+NH4",0,0,0,0,0,"5.58934861111111","5.88934861111111","13481","","HBMP(12:0_14:1_16:4)+NH4",0,0,0,0,0,"5.58934861111111","5.88934861111111","13481","","HBMP(12:0_14:1_16:4)+NH4","884.6017","465.3944","283.2268","305.2112","257.2112","5.58934861111111","5.88934861111111","13481"
"","HBMP(12:0_14:1_18:1)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_14:1_18:1)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_14:1_18:1)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_14:1_18:1)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_14:1_18:1)+NH4",0,0,0,0,0,"9.78410833333333","10.0841083333333","4023","","HBMP(12:0_14:1_18:1)+NH4","918.6799","465.3944","283.2268","339.2894","257.2112","9.78410833333333","10.0841083333333","4023"
"","HBMP(12:0_14:1_20:1)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_14:1_20:1)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_14:1_20:1)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_14:1_20:1)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_14:1_20:1)+NH4",0,0,0,0,0,"10.6110569444444","10.9110569444444","5737","","HBMP(12:0_14:1_20:1)+NH4","946.7112","465.3944","283.2268","367.3207","257.2112","10.6110569444444","10.9110569444444","5737"
