"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","RT at Max Intensity","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Number of Scans","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Max Intensity","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Average m/z","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PEG","[M+?]+","fragment 1","fragment 2","RT_min","RT_max","Comment"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.12705833333333","5.42705833333333","10721","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.12705833333333","5.42705833333333","10721","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.12705833333333","5.42705833333333","10721","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.12705833333333","5.42705833333333","10721","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.12705833333333","5.42705833333333","10721","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","5.12705833333333","5.42705833333333","10721"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"1.39594444444444","1.69594444444444","10829","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"1.39594444444444","1.69594444444444","10829","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"1.39594444444444","1.69594444444444","10829","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"1.39594444444444","1.69594444444444","10829","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"1.39594444444444","1.69594444444444","10829","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","1.39594444444444","1.69594444444444","10829"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.86380909090909","5.16380909090909","10933","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.86380909090909","5.16380909090909","10933","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.86380909090909","5.16380909090909","10933","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.86380909090909","5.16380909090909","10933","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.86380909090909","5.16380909090909","10933","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","4.86380909090909","5.16380909090909","10933"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.10879583333333","4.40879583333333","10953","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.10879583333333","4.40879583333333","10953","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.10879583333333","4.40879583333333","10953","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.10879583333333","4.40879583333333","10953","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.10879583333333","4.40879583333333","10953","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","4.10879583333333","4.40879583333333","10953"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.0010680555556","10.3010680555556","12076","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.0010680555556","10.3010680555556","12076","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.0010680555556","10.3010680555556","12076","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.0010680555556","10.3010680555556","12076","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"10.0010680555556","10.3010680555556","12076","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","10.0010680555556","10.3010680555556","12076"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.35637777777778","5.65637777777778","12103","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.35637777777778","5.65637777777778","12103","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.35637777777778","5.65637777777778","12103","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.35637777777778","5.65637777777778","12103","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"5.35637777777778","5.65637777777778","12103","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","5.35637777777778","5.65637777777778","12103"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.29200972222222","9.59200972222222","13468","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.29200972222222","9.59200972222222","13468","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.29200972222222","9.59200972222222","13468","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.29200972222222","9.59200972222222","13468","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.29200972222222","9.59200972222222","13468","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","9.29200972222222","9.59200972222222","13468"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.79910833333333","10.0991083333333","13500","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.79910833333333","10.0991083333333","13500","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.79910833333333","10.0991083333333","13500","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.79910833333333","10.0991083333333","13500","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"9.79910833333333","10.0991083333333","13500","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","9.79910833333333","10.0991083333333","13500"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.10660694444444","4.40660694444444","14034","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.10660694444444","4.40660694444444","14034","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.10660694444444","4.40660694444444","14034","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.10660694444444","4.40660694444444","14034","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"4.10660694444444","4.40660694444444","14034","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","4.10660694444444","4.40660694444444","14034"
"","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.56864166666667","6.86864166666667","14937","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.56864166666667","6.86864166666667","14937","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.56864166666667","6.86864166666667","14937","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.56864166666667","6.86864166666667","14937","","PEG(n=3_Na+_CH2=3_DBE=3_)",0,0,0,"6.56864166666667","6.86864166666667","14937","","PEG(n=3_Na+_CH2=3_DBE=3_)","209.079","89.0602","133.0859","6.56864166666667","6.86864166666667","14937"
