"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Average m/z","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment"
"","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.12052916666667","4.42052916666667","3104","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.12052916666667","4.42052916666667","3104","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.12052916666667","4.42052916666667","3104","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.12052916666667","4.42052916666667","3104","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.12052916666667","4.42052916666667","3104","","Plasmanyl-PS(O-16:0/22:2)+H","802.59569","617.58674","299.29449","319.29955","4.12052916666667","4.42052916666667","3104"
"","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.40779305555556","4.70779305555556","4948","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.40779305555556","4.70779305555556","4948","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.40779305555556","4.70779305555556","4948","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.40779305555556","4.70779305555556","4948","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.40779305555556","4.70779305555556","4948","","Plasmanyl-PS(O-16:0/22:2)+H","802.59569","617.58674","299.29449","319.29955","4.40779305555556","4.70779305555556","4948"
"","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.12585277777778","4.42585277777778","12860","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.12585277777778","4.42585277777778","12860","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.12585277777778","4.42585277777778","12860","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.12585277777778","4.42585277777778","12860","","Plasmanyl-PS(O-16:0/22:2)+H",0,0,0,0,"4.12585277777778","4.42585277777778","12860","","Plasmanyl-PS(O-16:0/22:2)+H","802.59569","617.58674","299.29449","319.29955","4.12585277777778","4.42585277777778","12860"
"","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"5.43967777777778","5.73967777777778","3279","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"5.43967777777778","5.73967777777778","3279","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"5.43967777777778","5.73967777777778","3279","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"5.43967777777778","5.73967777777778","3279","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"5.43967777777778","5.73967777777778","3279","","Plasmanyl-PS(O-16:0/22:3)+H","800.58009","615.57114","299.29449","317.28395","5.43967777777778","5.73967777777778","3279"
"","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"3.63204027777778","3.93204027777778","7037","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"3.63204027777778","3.93204027777778","7037","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"3.63204027777778","3.93204027777778","7037","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"3.63204027777778","3.93204027777778","7037","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"3.63204027777778","3.93204027777778","7037","","Plasmanyl-PS(O-16:0/22:3)+H","800.58009","615.57114","299.29449","317.28395","3.63204027777778","3.93204027777778","7037"
"","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"4.10396527777778","4.40396527777778","7410","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"4.10396527777778","4.40396527777778","7410","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"4.10396527777778","4.40396527777778","7410","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"4.10396527777778","4.40396527777778","7410","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"4.10396527777778","4.40396527777778","7410","","Plasmanyl-PS(O-16:0/22:3)+H","800.58009","615.57114","299.29449","317.28395","4.10396527777778","4.40396527777778","7410"
"","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"3.32310972222222","3.62310972222222","14702","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"3.32310972222222","3.62310972222222","14702","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"3.32310972222222","3.62310972222222","14702","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"3.32310972222222","3.62310972222222","14702","","Plasmanyl-PS(O-16:0/22:3)+H",0,0,0,0,"3.32310972222222","3.62310972222222","14702","","Plasmanyl-PS(O-16:0/22:3)+H","800.58009","615.57114","299.29449","317.28395","3.32310972222222","3.62310972222222","14702"
"","Plasmanyl-PS(O-16:0/22:4)+H",1,0,0,0,"4.89671944444444","5.19671944444444","424","","Plasmanyl-PS(O-16:0/22:4)+H",5.006868,0,0,0,"4.89671944444444","5.19671944444444","424","","Plasmanyl-PS(O-16:0/22:4)+H",2,0,0,0,"4.89671944444444","5.19671944444444","424","","Plasmanyl-PS(O-16:0/22:4)+H",355770,0,0,0,"4.89671944444444","5.19671944444444","424","","Plasmanyl-PS(O-16:0/22:4)+H",798.566,0,0,0,"4.89671944444444","5.19671944444444","424","","Plasmanyl-PS(O-16:0/22:4)+H","798.56439","613.55544","299.29449","315.26825","4.89671944444444","5.19671944444444","424"
"","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.84327222222222","4.14327222222222","3759","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.84327222222222","4.14327222222222","3759","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.84327222222222","4.14327222222222","3759","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.84327222222222","4.14327222222222","3759","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.84327222222222","4.14327222222222","3759","","Plasmanyl-PS(O-16:0/22:4)+H","798.56439","613.55544","299.29449","315.26825","3.84327222222222","4.14327222222222","3759"
"","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.42625277777778","3.72625277777778","4937","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.42625277777778","3.72625277777778","4937","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.42625277777778","3.72625277777778","4937","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.42625277777778","3.72625277777778","4937","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.42625277777778","3.72625277777778","4937","","Plasmanyl-PS(O-16:0/22:4)+H","798.56439","613.55544","299.29449","315.26825","3.42625277777778","3.72625277777778","4937"
"","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.09943333333333","3.39943333333333","5420","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.09943333333333","3.39943333333333","5420","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.09943333333333","3.39943333333333","5420","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.09943333333333","3.39943333333333","5420","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"3.09943333333333","3.39943333333333","5420","","Plasmanyl-PS(O-16:0/22:4)+H","798.56439","613.55544","299.29449","315.26825","3.09943333333333","3.39943333333333","5420"
"","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"4.28418333333333","4.58418333333333","5760","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"4.28418333333333","4.58418333333333","5760","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"4.28418333333333","4.58418333333333","5760","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"4.28418333333333","4.58418333333333","5760","","Plasmanyl-PS(O-16:0/22:4)+H",0,0,0,0,"4.28418333333333","4.58418333333333","5760","","Plasmanyl-PS(O-16:0/22:4)+H","798.56439","613.55544","299.29449","315.26825","4.28418333333333","4.58418333333333","5760"
