"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment"
"","MGDG(4:0_5:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(4:0_5:0)+NH4-CO",0,0,0,0,0.4763662,0,0,"0.2108","0.5108","11260","","MGDG(4:0_5:0)+NH4-CO",0,0,0,0,1,0,0,"0.2108","0.5108","11260","","MGDG(4:0_5:0)+NH4-CO",0,0,0,0,509.1298,0,0,"0.2108","0.5108","11260","","MGDG(4:0_5:0)+NH4-CO",0,0,0,0,101.0599,0,0,"0.2108","0.5108","11260","","MGDG(4:0_5:0)+NH4-CO","398.23845","310.18605","296.17041","87.04403","101.05967","130.12266","116.10702","0.2108","0.5108","11260"
"","MGDG(4:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(4:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(4:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(4:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(4:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(4:0_17:2)+NH4-CO","562.3949","474.3425","296.17046","87.04403","265.21607","294.27911","116.10707","0.381147222222222","0.681147222222222","2411"
"","MGDG(4:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(4:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(4:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(4:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(4:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(4:0_18:2)+NH4-CO","576.4106","488.3582","296.17052","87.04403","279.23171","308.29481","116.10713","0.386840277777778","0.686840277777778","1298"
"","MGDG(4:0_18:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(4:0_18:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(4:0_18:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(4:0_18:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(4:0_18:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(4:0_18:3)+NH4-CO","574.3949","486.3425","296.17046","87.04403","277.21607","306.27911","116.10707","0.421654166666667","0.721654166666667","10762"
"","MGDG(4:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(4:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(4:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(4:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(4:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(4:0_20:2)+NH4-CO","604.4419","516.3895","296.17054","87.04403","307.26299","336.32611","116.10715","0.454356944444444","0.754356944444444","4111"
"","MGDG(4:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(4:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(4:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(4:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(4:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(4:0_20:2)+NH4-CO","604.4419","516.3895","296.17054","87.04403","307.26299","336.32611","116.10715","0.6766875","0.9766875","13230"
"","MGDG(4:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MGDG(4:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MGDG(4:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MGDG(4:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MGDG(4:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MGDG(4:0_22:2)+NH4-CO","632.4732","544.4208","296.17056","87.04403","335.29427","364.35741","116.10717","0.381401515151515","0.681401515151515","9873"
"","MGDG(5:0_4:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(5:0_4:0)+NH4-CO",0,0,0,0.4763662,0,0,0,"0.2108","0.5108","11260","","MGDG(5:0_4:0)+NH4-CO",0,0,0,1,0,0,0,"0.2108","0.5108","11260","","MGDG(5:0_4:0)+NH4-CO",0,0,0,509.1298,0,0,0,"0.2108","0.5108","11260","","MGDG(5:0_4:0)+NH4-CO",0,0,0,101.0599,0,0,0,"0.2108","0.5108","11260","","MGDG(5:0_4:0)+NH4-CO","398.23845","296.17041","310.18605","101.05967","87.04403","116.10702","130.12266","0.2108","0.5108","11260"
"","MGDG(5:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(5:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(5:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(5:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(5:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(5:0_17:2)+NH4-CO","576.4106","474.34256","310.18616","101.05967","265.21607","294.27917","130.12277","0.386840277777778","0.686840277777778","1298"
"","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(5:0_18:2)+NH4-CO","590.4262","488.35816","310.18612","101.05967","279.23171","308.29477","130.12273","0.612015277777778","0.912015277777778","1244"
"","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(5:0_18:2)+NH4-CO","590.4262","488.35816","310.18612","101.05967","279.23171","308.29477","130.12273","15.3235791666667","15.6235791666667","8655"
"","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(5:0_18:2)+NH4-CO","590.4262","488.35816","310.18612","101.05967","279.23171","308.29477","130.12273","14.9910458333333","15.2910458333333","12349"
"","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(5:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(5:0_18:2)+NH4-CO","590.4262","488.35816","310.18612","101.05967","279.23171","308.29477","130.12273","12.6070472222222","12.9070472222222","12391"
