"MSDIAL_OxPG","[M-H]-","1","2","3","4","5"
"MSDIAL_PG 18:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;XRMGUIYVRGRUKJ-ROMGYVFFNA-N;C42H79O11P","789.52872","283.2635","789.5287","295.2279","1","1"
"MSDIAL_PG 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;GHROLSJXEBYJEQ-ROMGYVFFNA-N;C42H81O12P","807.53929","283.2635","295.2279","807.5393","277.2173","313.2384"
"MSDIAL_PG 18:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;HQWYEHUVROIUCT-NVQSTNCTNA-N;C42H81O13P","823.53420","283.2635","823.5342","293.2122","311.2228","329.2333"
"MSDIAL_PG 18:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;MOXZYNHPASHQMO-TVRAAEJBNA-N;C42H79O11P","789.52872","283.2635","789.5287","277.2173","295.2279","1"
"MSDIAL_PG 18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;RJBDFITWJZSLKL-TVRAAEJBNA-N;C42H79O12P","805.52364","283.2635","293.2122","805.5236","275.2017","311.2228"
"MSDIAL_PG 18:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;WMOYZTOQFHKIAF-WEZTZMKQNA-N;C42H77O11P","787.51307","283.2635","787.5131","275.2017","293.2122","1"
"MSDIAL_PG 18:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;JXGVAEUXRJWPGR-HBXSHRTENA-N;C44H81O11P","815.54437","283.2635","815.5444","303.233","321.2435","1"
"MSDIAL_PG 18:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;UCBZQPRSOQURQA-HXRHVUHXNA-N;C44H79O11P","813.52872","283.2635","813.5287","319.2279","1","1"
"MSDIAL_PG 18:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;YSSWUEPDSBGTOJ-HXRHVUHXNA-N;C44H81O12P","831.53929","283.2635","319.2279","831.5393","301.2173","337.2384"
"MSDIAL_PG 18:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;KNDNZCPWALGCPH-QDGJUDQHNA-N;C44H79O12P","829.52364","283.2635","829.5236","317.2122","335.2228","1"
"MSDIAL_PG 18:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;NTNXFINEGBDYQG-SZXPTWDZNA-N;C44H81O13P","847.53420","283.2635","847.5342","317.2122","335.2228","353.2333"
"MSDIAL_PG 18:0_20:3;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;HQDLLKDGVLTTGP-SZXPTWDZNA-N;C44H81O14P","863.52912","283.2635","863.5291","333.2072","351.2177","369.2283"
"MSDIAL_PG 18:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;WITIZQPTAHRAHC-SYDBWRLPNA-N;C44H79O11P","813.52872","283.2635","813.5287","301.2173","319.2279","1"
"MSDIAL_PG 18:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;HBPQGWKVJQCQHL-TZTOWVBZNA-N;C44H77O11P","811.51307","283.2635","811.5131","317.2122","1","1"
"MSDIAL_PG 18:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;QFKIQLSMXPAXIX-BEPAKANMNA-N;C44H79O12P","829.52364","283.2635","317.2122","829.5236","299.2017","335.2228"
"MSDIAL_PG 18:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;DKVZJEIVNXGJBO-RMRKXKOXNA-N;C44H79O13P","845.51855","283.2635","845.5186","315.1966","333.2072","351.2177"
"MSDIAL_PG 18:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;KVPHEGCBXCFMRK-SZXPTWDZNA-N;C44H79O13P","845.51855","283.2635","845.5186","333.2072","351.2177","1"
"MSDIAL_PG 18:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;LTGLPRNDXBJVGK-UJNQZSPMNA-N;C44H79O14P","861.51347","283.2635","861.5135","331.1915","349.2021","367.2126"
"MSDIAL_PG 18:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;APNXYCITXFSUOZ-SZXPTWDZNA-N;C44H79O14P","861.51347","283.2635","861.5135","349.2021","331.1915","367.2126"
