"MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7"
"MSDIAL_HexCer 14:1;2O/34:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;OLVGUECUMRTBNM-CHJNDSEFNA-N;C54H103NO10","926.76547","208.206","746.7021","764.7126","926.7654","728.6915","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/34:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;KQHCPKWZDOAGEC-BSLWDKKXNA-N;C54H101NO10","924.74982","208.206","744.6864","762.697","924.7498","726.6758","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/34:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;XLGYCQGEKZCLNN-FXTOMTBJNA-N;C54H99NO10","922.73417","208.206","742.6708","760.6813","922.7342","724.6602","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/34:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;DYHSENYGMOATCI-HNCQQJTCNA-N;C54H97NO10","920.71852","208.206","740.6551","758.6657","920.7185","722.6445","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/34:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;ZKIOMMZRSKLUFE-ZRGLFPTKNA-N;C54H95NO10","918.70287","208.206","738.6395","756.65","918.7029","720.6289","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/35:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;NTBREOVQMQLNGT-SWNXMFJWNA-N;C55H105NO10","940.78112","208.206","760.7177","778.7283","940.7811","742.7072","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/35:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;NMNNQTCVNVCWNV-HXIDHGCZNA-N;C55H103NO10","938.76547","208.206","758.7021","776.7126","938.7654","740.6915","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/35:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;HAUAECUITOLMNE-BOPVTJHPNA-N;C55H101NO10","936.74982","208.206","756.6864","774.697","936.7498","738.6758","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/35:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCCC;XBFPAFAKEKHRBU-FAYMUIOCNA-N;C55H99NO10","934.73417","208.206","754.6708","772.6813","934.7342","736.6602","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/35:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;DSLCKLKASJLRIS-SBEITLTENA-N;C55H97NO10","932.71852","208.206","752.6551","770.6657","932.7185","734.6445","196.206","226.2166"
