"MSDIAL_OxPE","[M-H]-","1","2","3","4","5","6"
"MSDIAL_PE 16:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;SYOCWZJHEBPYGX-XMAGIFGMNA-N;C41H72NO11P","784.47702","255.2323","784.477","313.1809","331.1915","196.038","349.2021"
"MSDIAL_PE 16:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;PPLUKOVQCGOIOK-OKAHKNJDNA-N;C41H72NO11P","784.47702","255.2323","784.477","196.038","331.1915","349.2021","1"
"MSDIAL_PE 16:0_20:5;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;SQKTXYMVIVXUGQ-OKAHKNJDNA-N;C41H72NO12P","800.47194","255.2323","800.4719","347.1864","329.1758","196.038","365.197"
"MSDIAL_PE 16:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;OSLFSSZIMRCNNW-PLHFMEFONA-N;C43H74NO9P","778.50284","255.2323","778.5029","343.2279","196.038","1","1"
"MSDIAL_PE 16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;ZRDTZXALSICEQA-PLHFMEFONA-N;C43H76NO10P","796.51341","255.2323","343.2279","796.5134","325.2173","361.2384","196.038"
"MSDIAL_PE 16:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;QEZSSLIVZMPAEU-KTBBSIJDNA-N;C43H74NO9P","778.50284","255.2323","778.5029","325.2173","196.038","343.2279","1"
"MSDIAL_PE 16:0_22:6;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;SCYWYYHWCCACDV-YVUSFSRCNA-N;C43H74NO10P","794.49776","255.2323","341.2122","794.4977","323.2017","359.2228","196.038"
"MSDIAL_PE 16:0_22:6;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;RFYKDPCTZSFJGF-ARSYHIGANA-N;C43H74NO11P","810.49267","255.2323","810.4927","339.1966","357.2072","196.038","375.2177"
"MSDIAL_PE 16:0_22:6;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC(O)\C=C\C(O)\C=C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;KMTPPSPWNUTXIB-BREAOWQZNA-N;C43H74NO12P","826.48759","255.2323","826.4876","196.038","355.1915","373.2021","391.2126"
"MSDIAL_PE 18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCC(O)CCCCCC;FECVTXFKNCEKCQ-UHFFFAOYNA-N;C41H82NO9P","762.56544","283.2635","762.5654","281.2486","196.038","299.2592","1"
"MSDIAL_PE 18:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC1OC1CCCCCC;IJQLHHBUDYVNJJ-UHFFFAOYNA-N;C41H80NO9P","760.54979","283.2635","760.5498","297.2435","196.038","1","1"
"MSDIAL_PE 18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;JPINYOAUALPYNY-UHFFFAOYNA-N;C41H82NO10P","778.56036","283.2635","297.2435","778.5604","279.233","315.2541","196.038"
"MSDIAL_PE 18:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;HUZPNOKSPKVPFR-XTCLZLMSNA-N;C41H80NO9P","760.54979","283.2635","760.5498","279.233","196.038","297.2435","1"
"MSDIAL_PE 18:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;LFEGRPIEOHZANZ-ROMGYVFFNA-N;C41H78NO9P","758.53414","283.2635","758.5341","295.2279","196.038","1","1"
"MSDIAL_PE 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;ZFSDOLYSEYNMHU-ROMGYVFFNA-N;C41H80NO10P","776.54471","283.2635","295.2279","776.5447","277.2173","313.2384","196.038"
"MSDIAL_PE 18:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;RKJFCXBWOJRAMQ-NVQSTNCTNA-N;C41H80NO11P","792.53962","283.2635","792.5396","293.2122","311.2228","196.038","329.2333"
"MSDIAL_PE 18:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;PQZLCWUMDXFESJ-TVRAAEJBNA-N;C41H78NO9P","758.53414","283.2635","758.5341","277.2173","196.038","295.2279","1"
"MSDIAL_PE 18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;VCVHODUCNAFSHE-TVRAAEJBNA-N;C41H78NO10P","774.52906","283.2635","293.2122","774.5291","275.2017","311.2228","196.038"
"MSDIAL_PE 18:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;BBCJNYDKECTYDD-WEZTZMKQNA-N;C41H76NO9P","756.51849","283.2635","756.5185","275.2017","196.038","293.2122","1"
"MSDIAL_PE 18:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;VPPXNYKHFBCOFW-HBXSHRTENA-N;C43H80NO9P","784.54979","283.2635","784.5498","303.233","196.038","321.2435","1"
"MSDIAL_PE 18:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;VUMSPCXZGLWVKM-HXRHVUHXNA-N;C43H78NO9P","782.53414","283.2635","782.5341","319.2279","196.038","1","1"
"MSDIAL_PE 18:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;QKVVAPRWBNEXTK-HXRHVUHXNA-N;C43H80NO10P","800.54471","283.2635","319.2279","800.5447","301.2173","337.2384","196.038"
"MSDIAL_PE 18:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;CKGJNUHREJTHCB-QDGJUDQHNA-N;C43H78NO10P","798.52906","283.2635","798.5291","317.2122","196.038","335.2228","1"
"MSDIAL_PE 18:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;GDCAWJKYNWVYEP-SZXPTWDZNA-N;C43H80NO11P","816.53962","283.2635","816.5396","317.2122","335.2228","196.038","353.2333"
"MSDIAL_PE 18:0_20:3;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;XKAPCPHUTZPQSR-SZXPTWDZNA-N;C43H80NO12P","832.53454","283.2635","832.5345","196.038","333.2072","351.2177","369.2283"
