"MSDIAL_Cer_EOS","[M+H]+","1","2","3","4","5","6"
"MSDIAL_Cer 14:1;2O/35:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;RZHSPQKTXDRJPZ-HXIDHGCZNA-N;C49H93NO5","776.71265","208.206","758.7021","740.6915","776.7126","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/35:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCC\C=C/CCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;JZSGCPIIZTUESD-BOPVTJHPNA-N;C49H91NO5","774.69700","208.206","756.6864","738.6758","774.697","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/35:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCCC;ZKCXNFFIOGVBLZ-FAYMUIOCNA-N;C49H89NO5","772.68135","208.206","754.6708","736.6602","772.6813","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/35:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;WDLBDMHRVTZKNL-SBEITLTENA-N;C49H87NO5","770.66570","208.206","752.6552","734.6445","770.6657","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/36:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;HYLAHTKHDFLRJH-WUHPQKATNA-N;C50H97NO5","792.74395","208.206","774.7334","756.7228","792.744","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/36:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;GXGDCDSULAMMQC-LQEOBNHRNA-N;C50H95NO5","790.72830","208.206","772.7177","754.7072","790.7283","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/36:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;JRQJALAKCZTXKW-DGWDGQSMNA-N;C50H93NO5","788.71265","208.206","770.7021","752.6915","788.7126","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/36:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/CCCC;PIIHEHMIAQWCGR-YTPDJOTBNA-N;C50H91NO5","786.69700","208.206","768.6864","750.6758","786.697","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/36:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;PHFPAMQUWSYWKR-RYNVXFBGNA-N;C50H89NO5","784.68135","208.206","766.6708","748.6602","784.6813","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/37:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;NKVJPYUVLCQDHP-SYSTYOMDNA-N;C51H99NO5","806.75960","208.206","788.749","770.7385","806.7596","196.206","226.2166"
