OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-nH2O2]+,[M+H-nH2O-R1COOH]+,[M+H-nH2O-R2COOH]+,[M+H-nH2O-R3COOH]+,[M+H-nH2O2-R1COOH]+,[M+H-nH2O2-R2COOH]+,[M+H-nH2O2-R3COOH]+
OxTG(16:1_18:3_18:2(OOH))+NH4,900.7288104,847.6811204,849.6967704,611.4670604,587.4670604,571.4721704,595.4721504,571.4721504,571.4721704
OxTG(16:1_18:4_20:4(OOH))+NH4,922.7131104,869.6654204,871.6810704,633.4513604,611.4670604,569.4564704,617.4564504,595.4721504,569.4564704
OxTG(16:1_18:4_18:2(OOH))+NH4,898.7131104,845.6654204,847.6810704,609.4513604,587.4670604,569.4564704,593.4564504,571.4721504,569.4564704
OxTG(16:1_20:4_20:4(OOH))+NH4,950.7444104,897.6967204,899.7123704,661.4826604,611.4670604,597.4877704,645.4877504,595.4721504,597.4877704
OxTG(16:1_20:4_18:2(OOH))+NH4,926.7444104,873.6967204,875.7123704,637.4826604,587.4670604,597.4877704,621.4877504,571.4721504,597.4877704
OxTG(16:1_20:5_20:4(OOH))+NH4,948.7288104,895.6811204,897.6967704,659.4670604,611.4670604,595.4721704,643.4721504,595.4721504,595.4721704
OxTG(16:1_20:5_18:2(OOH))+NH4,924.7288104,871.6811204,873.6967704,635.4670604,587.4670604,595.4721704,619.4721504,571.4721504,595.4721704
OxTG(16:1_22:5_20:4(OOH))+NH4,976.7601104,923.7124204,925.7280704,687.4983604,611.4670604,623.5034704,671.5034504,595.4721504,623.5034704
OxTG(16:1_22:5_18:2(OOH))+NH4,952.7601104,899.7124204,901.7280704,663.4983604,587.4670604,623.5034704,647.5034504,571.4721504,623.5034704
OxTG(16:1_22:6_20:4(OOH))+NH4,974.7444104,921.6967204,923.7123704,685.4826604,611.4670604,621.4877704,669.4877504,595.4721504,621.4877704
OxTG(16:1_22:6_18:2(OOH))+NH4,950.7444104,897.6967204,899.7123704,661.4826604,587.4670604,621.4877704,645.4877504,571.4721504,621.4877704
OxTG(18:0_18:0_20:4(OOH))+NH4,960.8226104,907.7749204,909.7905704,641.5139604,641.5139604,607.5659704,625.5190504,625.5190504,607.5659704
OxTG(18:0_18:0_18:2(OOH))+NH4,936.8226104,883.7749204,885.7905704,617.5139604,617.5139604,607.5659704,601.5190504,601.5190504,607.5659704
OxTG(18:0_18:1_20:4(OOH))+NH4,958.8070104,905.7593204,907.7749704,639.4983604,641.5139604,605.5503704,623.5034504,625.5190504,605.5503704
OxTG(18:0_18:1_18:2(OOH))+NH4,934.8070104,881.7593204,883.7749704,615.4983604,617.5139604,605.5503704,599.5034504,601.5190504,605.5503704
OxTG(18:0_18:2_20:4(OOH))+NH4,956.7913104,903.7436204,905.7592704,637.4826604,641.5139604,603.5346704,621.4877504,625.5190504,603.5346704
OxTG(18:0_18:2_18:2(OOH))+NH4,932.7913104,879.7436204,881.7592704,613.4826604,617.5139604,603.5346704,597.4877504,601.5190504,603.5346704
OxTG(18:0_18:3_20:4(OOH))+NH4,954.7757104,901.7280204,903.7436704,635.4670604,641.5139604,601.5190704,619.4721504,625.5190504,601.5190704
