OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-nH2O2]+,[M+H-nH2O-R1COOH]+,[M+H-nH2O-R2COOH]+,[M+H-nH2O-R3COOH]+,[M+H-nH2O2-R1COOH]+,[M+H-nH2O2-R2COOH]+,[M+H-nH2O2-R3COOH]+
OxTG(17:2(OOH)_14:1(OOHOOH)_16:0)+NH4,900.6771504,775.5871804,781.6341304,549.4150304,575.4670004,573.3786604,517.4252104,559.4720904,525.3939304
OxTG(17:2(OOH)_14:1(OOHOOH)_16:1)+NH4,898.6615504,773.5715804,779.6185304,547.3994304,573.4514004,573.3786604,515.4096104,557.4564904,525.3939304
OxTG(17:2(OOH)_14:1(OOHOOH)_18:0)+NH4,928.7084504,803.6184804,809.6654304,577.4463304,603.4983004,573.3786604,545.4565104,587.5033904,525.3939304
OxTG(17:2(OOH)_14:1(OOHOOH)_18:1)+NH4,926.6928504,801.6028804,807.6498304,575.4307304,601.4827004,573.3786604,543.4409104,585.4877904,525.3939304
OxTG(17:2(OOH)_14:1(OOHOOH)_18:2)+NH4,924.6771504,799.5871804,805.6341304,573.4150304,599.4670004,573.3786604,541.4252104,583.4720904,525.3939304
OxTG(17:2(OOH)_14:1(OOHOOH)_18:3)+NH4,922.6615504,797.5715804,803.6185304,571.3994304,597.4514004,573.3786604,539.4096104,581.4564904,525.3939304
OxTG(17:2(OOH)_14:1(OOHOOH)_18:4)+NH4,920.6458504,795.5558804,801.6028304,569.3837304,595.4357004,573.3786604,537.3939104,579.4407904,525.3939304
OxTG(17:2(OOH)_14:1(OOHOOH)_20:4)+NH4,948.6771504,823.5871804,829.6341304,597.4150304,623.4670004,573.3786604,565.4252104,607.4720904,525.3939304
OxTG(17:2(OOH)_14:1(OOHOOH)_20:5)+NH4,946.6615504,821.5715804,827.6185304,595.3994304,621.4514004,573.3786604,563.4096104,605.4564904,525.3939304
OxTG(17:2(OOH)_14:1(OOHOOH)_22:5)+NH4,974.6928504,849.6028804,855.6498304,623.4307304,649.4827004,573.3786604,591.4409104,633.4877904,525.3939304
OxTG(17:2(OOH)_14:1(OOHOOH)_22:6)+NH4,972.6771504,847.5871804,853.6341304,621.4150304,647.4670004,573.3786604,589.4252104,631.4720904,525.3939304
OxTG(17:2(OOH)_15:1(OOHOOH)_14:0)+NH4,886.6614504,761.5714804,767.6184304,535.3993304,547.4357004,587.3942604,503.4095104,531.4407904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_14:1)+NH4,884.6458504,759.5558804,765.6028304,533.3837304,545.4201004,587.3942604,501.3939104,529.4251904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_16:0)+NH4,914.6927504,789.6027804,795.6497304,563.4306304,575.4670004,587.3942604,531.4408104,559.4720904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_16:1)+NH4,912.6771504,787.5871804,793.6341304,561.4150304,573.4514004,587.3942604,529.4252104,557.4564904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_18:0)+NH4,942.7240504,817.6340804,823.6810304,591.4619304,603.4983004,587.3942604,559.4721104,587.5033904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_18:1)+NH4,940.7084504,815.6184804,821.6654304,589.4463304,601.4827004,587.3942604,557.4565104,585.4877904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_18:2)+NH4,938.6927504,813.6027804,819.6497304,587.4306304,599.4670004,587.3942604,555.4408104,583.4720904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_18:3)+NH4,936.6771504,811.5871804,817.6341304,585.4150304,597.4514004,587.3942604,553.4252104,581.4564904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_18:4)+NH4,934.6614504,809.5714804,815.6184304,583.3993304,595.4357004,587.3942604,551.4095104,579.4407904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_20:4)+NH4,962.6927504,837.6027804,843.6497304,611.4306304,623.4670004,587.3942604,579.4408104,607.4720904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_20:5)+NH4,960.6771504,835.5871804,841.6341304,609.4150304,621.4514004,587.3942604,577.4252104,605.4564904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_22:5)+NH4,988.7084504,863.6184804,869.6654304,637.4463304,649.4827004,587.3942604,605.4565104,633.4877904,539.4095304
OxTG(17:2(OOH)_15:1(OOHOOH)_22:6)+NH4,986.6927504,861.6027804,867.6497304,635.4306304,647.4670004,587.3942604,603.4408104,631.4720904,539.4095304
OxTG(17:2(OOH)_16:1(OOHOOH)_14:0)+NH4,900.6771504,775.5871804,781.6341304,549.4150304,547.4357004,601.4099604,517.4252104,531.4407904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_14:1)+NH4,898.6615504,773.5715804,779.6185304,547.3994304,545.4201004,601.4099604,515.4096104,529.4251904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_16:0)+NH4,928.7084504,803.6184804,809.6654304,577.4463304,575.4670004,601.4099604,545.4565104,559.4720904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_16:1)+NH4,926.6928504,801.6028804,807.6498304,575.4307304,573.4514004,601.4099604,543.4409104,557.4564904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_18:0)+NH4,956.7397504,831.6497804,837.6967304,605.4776304,603.4983004,601.4099604,573.4878104,587.5033904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_18:1)+NH4,954.7241504,829.6341804,835.6811304,603.4620304,601.4827004,601.4099604,571.4722104,585.4877904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_18:2)+NH4,952.7084504,827.6184804,833.6654304,601.4463304,599.4670004,601.4099604,569.4565104,583.4720904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_18:3)+NH4,950.6928504,825.6028804,831.6498304,599.4307304,597.4514004,601.4099604,567.4409104,581.4564904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_18:4)+NH4,948.6771504,823.5871804,829.6341304,597.4150304,595.4357004,601.4099604,565.4252104,579.4407904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_20:4)+NH4,976.7084504,851.6184804,857.6654304,625.4463304,623.4670004,601.4099604,593.4565104,607.4720904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_20:5)+NH4,974.6928504,849.6028804,855.6498304,623.4307304,621.4514004,601.4099604,591.4409104,605.4564904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_22:5)+NH4,1002.72415,877.6341804,883.6811304,651.4620304,649.4827004,601.4099604,619.4722104,633.4877904,553.4252304
OxTG(17:2(OOH)_16:1(OOHOOH)_22:6)+NH4,1000.70845,875.6184804,881.6654304,649.4463304,647.4670004,601.4099604,617.4565104,631.4720904,553.4252304
OxTG(17:2(OOH)_17:1(OOHOOH)_14:0)+NH4,914.6927504,789.6027804,795.6497304,563.4306304,547.4357004,615.4255604,531.4408104,531.4407904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_14:1)+NH4,912.6771504,787.5871804,793.6341304,561.4150304,545.4201004,615.4255604,529.4252104,529.4251904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_16:0)+NH4,942.7240504,817.6340804,823.6810304,591.4619304,575.4670004,615.4255604,559.4721104,559.4720904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_16:1)+NH4,940.7084504,815.6184804,821.6654304,589.4463304,573.4514004,615.4255604,557.4565104,557.4564904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_18:0)+NH4,970.7553504,845.6653804,851.7123304,619.4932304,603.4983004,615.4255604,587.5034104,587.5033904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_18:1)+NH4,968.7397504,843.6497804,849.6967304,617.4776304,601.4827004,615.4255604,585.4878104,585.4877904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_18:2)+NH4,966.7240504,841.6340804,847.6810304,615.4619304,599.4670004,615.4255604,583.4721104,583.4720904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_18:3)+NH4,964.7084504,839.6184804,845.6654304,613.4463304,597.4514004,615.4255604,581.4565104,581.4564904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_18:4)+NH4,962.6927504,837.6027804,843.6497304,611.4306304,595.4357004,615.4255604,579.4408104,579.4407904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_20:4)+NH4,990.7240504,865.6340804,871.6810304,639.4619304,623.4670004,615.4255604,607.4721104,607.4720904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_20:5)+NH4,988.7084504,863.6184804,869.6654304,637.4463304,621.4514004,615.4255604,605.4565104,605.4564904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_22:5)+NH4,1016.73975,891.6497804,897.6967304,665.4776304,649.4827004,615.4255604,633.4878104,633.4877904,567.4408304
OxTG(17:2(OOH)_17:1(OOHOOH)_22:6)+NH4,1014.72405,889.6340804,895.6810304,663.4619304,647.4670004,615.4255604,631.4721104,631.4720904,567.4408304
OxTG(17:2(OOH)_17:2(OOHOOH)_14:0)+NH4,912.6771504,787.5871804,793.6341304,561.4150304,547.4357004,613.4099604,529.4252104,531.4407904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_14:1)+NH4,910.6615504,785.5715804,791.6185304,559.3994304,545.4201004,613.4099604,527.4096104,529.4251904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_16:0)+NH4,940.7084504,815.6184804,821.6654304,589.4463304,575.4670004,613.4099604,557.4565104,559.4720904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_16:1)+NH4,938.6928504,813.6028804,819.6498304,587.4307304,573.4514004,613.4099604,555.4409104,557.4564904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_18:0)+NH4,968.7397504,843.6497804,849.6967304,617.4776304,603.4983004,613.4099604,585.4878104,587.5033904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_18:1)+NH4,966.7241504,841.6341804,847.6811304,615.4620304,601.4827004,613.4099604,583.4722104,585.4877904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_18:2)+NH4,964.7084504,839.6184804,845.6654304,613.4463304,599.4670004,613.4099604,581.4565104,583.4720904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_18:3)+NH4,962.6928504,837.6028804,843.6498304,611.4307304,597.4514004,613.4099604,579.4409104,581.4564904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_18:4)+NH4,960.6771504,835.5871804,841.6341304,609.4150304,595.4357004,613.4099604,577.4252104,579.4407904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_20:4)+NH4,988.7084504,863.6184804,869.6654304,637.4463304,623.4670004,613.4099604,605.4565104,607.4720904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_20:5)+NH4,986.6928504,861.6028804,867.6498304,635.4307304,621.4514004,613.4099604,603.4409104,605.4564904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_22:5)+NH4,1014.72415,889.6341804,895.6811304,663.4620304,649.4827004,613.4099604,631.4722104,633.4877904,565.4252304
OxTG(17:2(OOH)_17:2(OOHOOH)_22:6)+NH4,1012.70845,887.6184804,893.6654304,661.4463304,647.4670004,613.4099604,629.4565104,631.4720904,565.4252304
OxTG(17:2(OOH)_18:1(OOHOOH)_14:0)+NH4,928.7084504,803.6184804,809.6654304,577.4463304,547.4357004,629.4412604,545.4565104,531.4407904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_14:1)+NH4,926.6928504,801.6028804,807.6498304,575.4307304,545.4201004,629.4412604,543.4409104,529.4251904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_16:0)+NH4,956.7397504,831.6497804,837.6967304,605.4776304,575.4670004,629.4412604,573.4878104,559.4720904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_16:1)+NH4,954.7241504,829.6341804,835.6811304,603.4620304,573.4514004,629.4412604,571.4722104,557.4564904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_18:0)+NH4,984.7710504,859.6810804,865.7280304,633.5089304,603.4983004,629.4412604,601.5191104,587.5033904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_18:1)+NH4,982.7554504,857.6654804,863.7124304,631.4933304,601.4827004,629.4412604,599.5035104,585.4877904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_18:2)+NH4,980.7397504,855.6497804,861.6967304,629.4776304,599.4670004,629.4412604,597.4878104,583.4720904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_18:3)+NH4,978.7241504,853.6341804,859.6811304,627.4620304,597.4514004,629.4412604,595.4722104,581.4564904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_18:4)+NH4,976.7084504,851.6184804,857.6654304,625.4463304,595.4357004,629.4412604,593.4565104,579.4407904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_20:4)+NH4,1004.73975,879.6497804,885.6967304,653.4776304,623.4670004,629.4412604,621.4878104,607.4720904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_20:5)+NH4,1002.72415,877.6341804,883.6811304,651.4620304,621.4514004,629.4412604,619.4722104,605.4564904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_22:5)+NH4,1030.75545,905.6654804,911.7124304,679.4933304,649.4827004,629.4412604,647.5035104,633.4877904,581.4565304
OxTG(17:2(OOH)_18:1(OOHOOH)_22:6)+NH4,1028.73975,903.6497804,909.6967304,677.4776304,647.4670004,629.4412604,645.4878104,631.4720904,581.4565304
OxTG(17:2(OOH)_18:2(OOHOOH)_14:0)+NH4,926.6927504,801.6027804,807.6497304,575.4306304,547.4357004,627.4255604,543.4408104,531.4407904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_14:1)+NH4,924.6771504,799.5871804,805.6341304,573.4150304,545.4201004,627.4255604,541.4252104,529.4251904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_16:0)+NH4,954.7240504,829.6340804,835.6810304,603.4619304,575.4670004,627.4255604,571.4721104,559.4720904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_16:1)+NH4,952.7084504,827.6184804,833.6654304,601.4463304,573.4514004,627.4255604,569.4565104,557.4564904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_18:0)+NH4,982.7553504,857.6653804,863.7123304,631.4932304,603.4983004,627.4255604,599.5034104,587.5033904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_18:1)+NH4,980.7397504,855.6497804,861.6967304,629.4776304,601.4827004,627.4255604,597.4878104,585.4877904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_18:2)+NH4,978.7240504,853.6340804,859.6810304,627.4619304,599.4670004,627.4255604,595.4721104,583.4720904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_18:3)+NH4,976.7084504,851.6184804,857.6654304,625.4463304,597.4514004,627.4255604,593.4565104,581.4564904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_18:4)+NH4,974.6927504,849.6027804,855.6497304,623.4306304,595.4357004,627.4255604,591.4408104,579.4407904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_20:4)+NH4,1002.72405,877.6340804,883.6810304,651.4619304,623.4670004,627.4255604,619.4721104,607.4720904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_20:5)+NH4,1000.70845,875.6184804,881.6654304,649.4463304,621.4514004,627.4255604,617.4565104,605.4564904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_22:5)+NH4,1028.73975,903.6497804,909.6967304,677.4776304,649.4827004,627.4255604,645.4878104,633.4877904,579.4408304
OxTG(17:2(OOH)_18:2(OOHOOH)_22:6)+NH4,1026.72405,901.6340804,907.6810304,675.4619304,647.4670004,627.4255604,643.4721104,631.4720904,579.4408304
OxTG(17:2(OOH)_18:3(OOHOOH)_14:0)+NH4,924.6771504,799.5871804,805.6341304,573.4150304,547.4357004,625.4099604,541.4252104,531.4407904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_14:1)+NH4,922.6615504,797.5715804,803.6185304,571.3994304,545.4201004,625.4099604,539.4096104,529.4251904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_16:0)+NH4,952.7084504,827.6184804,833.6654304,601.4463304,575.4670004,625.4099604,569.4565104,559.4720904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_16:1)+NH4,950.6928504,825.6028804,831.6498304,599.4307304,573.4514004,625.4099604,567.4409104,557.4564904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_18:0)+NH4,980.7397504,855.6497804,861.6967304,629.4776304,603.4983004,625.4099604,597.4878104,587.5033904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_18:1)+NH4,978.7241504,853.6341804,859.6811304,627.4620304,601.4827004,625.4099604,595.4722104,585.4877904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_18:2)+NH4,976.7084504,851.6184804,857.6654304,625.4463304,599.4670004,625.4099604,593.4565104,583.4720904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_18:3)+NH4,974.6928504,849.6028804,855.6498304,623.4307304,597.4514004,625.4099604,591.4409104,581.4564904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_18:4)+NH4,972.6771504,847.5871804,853.6341304,621.4150304,595.4357004,625.4099604,589.4252104,579.4407904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_20:4)+NH4,1000.70845,875.6184804,881.6654304,649.4463304,623.4670004,625.4099604,617.4565104,607.4720904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_20:5)+NH4,998.6928504,873.6028804,879.6498304,647.4307304,621.4514004,625.4099604,615.4409104,605.4564904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_22:5)+NH4,1026.72415,901.6341804,907.6811304,675.4620304,649.4827004,625.4099604,643.4722104,633.4877904,577.4252304
OxTG(17:2(OOH)_18:3(OOHOOH)_22:6)+NH4,1024.70845,899.6184804,905.6654304,673.4463304,647.4670004,625.4099604,641.4565104,631.4720904,577.4252304
OxTG(17:2(OOH)_18:4(OOHOOH)_14:0)+NH4,922.6614504,797.5714804,803.6184304,571.3993304,547.4357004,623.3942604,539.4095104,531.4407904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_14:1)+NH4,920.6458504,795.5558804,801.6028304,569.3837304,545.4201004,623.3942604,537.3939104,529.4251904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_16:0)+NH4,950.6927504,825.6027804,831.6497304,599.4306304,575.4670004,623.3942604,567.4408104,559.4720904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_16:1)+NH4,948.6771504,823.5871804,829.6341304,597.4150304,573.4514004,623.3942604,565.4252104,557.4564904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_18:0)+NH4,978.7240504,853.6340804,859.6810304,627.4619304,603.4983004,623.3942604,595.4721104,587.5033904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_18:1)+NH4,976.7084504,851.6184804,857.6654304,625.4463304,601.4827004,623.3942604,593.4565104,585.4877904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_18:2)+NH4,974.6927504,849.6027804,855.6497304,623.4306304,599.4670004,623.3942604,591.4408104,583.4720904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_18:3)+NH4,972.6771504,847.5871804,853.6341304,621.4150304,597.4514004,623.3942604,589.4252104,581.4564904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_18:4)+NH4,970.6614504,845.5714804,851.6184304,619.3993304,595.4357004,623.3942604,587.4095104,579.4407904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_20:4)+NH4,998.6927504,873.6027804,879.6497304,647.4306304,623.4670004,623.3942604,615.4408104,607.4720904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_20:5)+NH4,996.6771504,871.5871804,877.6341304,645.4150304,621.4514004,623.3942604,613.4252104,605.4564904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_22:5)+NH4,1024.70845,899.6184804,905.6654304,673.4463304,649.4827004,623.3942604,641.4565104,633.4877904,575.4095304
OxTG(17:2(OOH)_18:4(OOHOOH)_22:6)+NH4,1022.69275,897.6027804,903.6497304,671.4306304,647.4670004,623.3942604,639.4408104,631.4720904,575.4095304
OxTG(17:2(OOH)_20:1(OOHOOH)_14:0)+NH4,956.7397504,831.6497804,837.6967304,605.4776304,547.4357004,657.4725604,573.4878104,531.4407904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_14:1)+NH4,954.7241504,829.6341804,835.6811304,603.4620304,545.4201004,657.4725604,571.4722104,529.4251904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_16:0)+NH4,984.7710504,859.6810804,865.7280304,633.5089304,575.4670004,657.4725604,601.5191104,559.4720904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_16:1)+NH4,982.7554504,857.6654804,863.7124304,631.4933304,573.4514004,657.4725604,599.5035104,557.4564904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_18:0)+NH4,1012.80235,887.7123804,893.7593304,661.5402304,603.4983004,657.4725604,629.5504104,587.5033904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_18:1)+NH4,1010.78675,885.6967804,891.7437304,659.5246304,601.4827004,657.4725604,627.5348104,585.4877904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_18:2)+NH4,1008.77105,883.6810804,889.7280304,657.5089304,599.4670004,657.4725604,625.5191104,583.4720904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_18:3)+NH4,1006.75545,881.6654804,887.7124304,655.4933304,597.4514004,657.4725604,623.5035104,581.4564904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_18:4)+NH4,1004.73975,879.6497804,885.6967304,653.4776304,595.4357004,657.4725604,621.4878104,579.4407904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_20:4)+NH4,1032.77105,907.6810804,913.7280304,681.5089304,623.4670004,657.4725604,649.5191104,607.4720904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_20:5)+NH4,1030.75545,905.6654804,911.7124304,679.4933304,621.4514004,657.4725604,647.5035104,605.4564904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_22:5)+NH4,1058.78675,933.6967804,939.7437304,707.5246304,649.4827004,657.4725604,675.5348104,633.4877904,609.4878304
OxTG(17:2(OOH)_20:1(OOHOOH)_22:6)+NH4,1056.77105,931.6810804,937.7280304,705.5089304,647.4670004,657.4725604,673.5191104,631.4720904,609.4878304
OxTG(17:2(OOH)_20:2(OOHOOH)_14:0)+NH4,954.7240504,829.6340804,835.6810304,603.4619304,547.4357004,655.4568604,571.4721104,531.4407904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_14:1)+NH4,952.7084504,827.6184804,833.6654304,601.4463304,545.4201004,655.4568604,569.4565104,529.4251904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_16:0)+NH4,982.7553504,857.6653804,863.7123304,631.4932304,575.4670004,655.4568604,599.5034104,559.4720904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_16:1)+NH4,980.7397504,855.6497804,861.6967304,629.4776304,573.4514004,655.4568604,597.4878104,557.4564904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_18:0)+NH4,1010.78665,885.6966804,891.7436304,659.5245304,603.4983004,655.4568604,627.5347104,587.5033904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_18:1)+NH4,1008.77105,883.6810804,889.7280304,657.5089304,601.4827004,655.4568604,625.5191104,585.4877904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_18:2)+NH4,1006.75535,881.6653804,887.7123304,655.4932304,599.4670004,655.4568604,623.5034104,583.4720904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_18:3)+NH4,1004.73975,879.6497804,885.6967304,653.4776304,597.4514004,655.4568604,621.4878104,581.4564904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_18:4)+NH4,1002.72405,877.6340804,883.6810304,651.4619304,595.4357004,655.4568604,619.4721104,579.4407904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_20:4)+NH4,1030.75535,905.6653804,911.7123304,679.4932304,623.4670004,655.4568604,647.5034104,607.4720904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_20:5)+NH4,1028.73975,903.6497804,909.6967304,677.4776304,621.4514004,655.4568604,645.4878104,605.4564904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_22:5)+NH4,1056.77105,931.6810804,937.7280304,705.5089304,649.4827004,655.4568604,673.5191104,633.4877904,607.4721304
OxTG(17:2(OOH)_20:2(OOHOOH)_22:6)+NH4,1054.75535,929.6653804,935.7123304,703.4932304,647.4670004,655.4568604,671.5034104,631.4720904,607.4721304
OxTG(17:2(OOH)_20:3(OOHOOH)_14:0)+NH4,952.7084504,827.6184804,833.6654304,601.4463304,547.4357004,653.4412604,569.4565104,531.4407904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_14:1)+NH4,950.6928504,825.6028804,831.6498304,599.4307304,545.4201004,653.4412604,567.4409104,529.4251904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_16:0)+NH4,980.7397504,855.6497804,861.6967304,629.4776304,575.4670004,653.4412604,597.4878104,559.4720904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_16:1)+NH4,978.7241504,853.6341804,859.6811304,627.4620304,573.4514004,653.4412604,595.4722104,557.4564904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_18:0)+NH4,1008.77105,883.6810804,889.7280304,657.5089304,603.4983004,653.4412604,625.5191104,587.5033904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_18:1)+NH4,1006.75545,881.6654804,887.7124304,655.4933304,601.4827004,653.4412604,623.5035104,585.4877904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_18:2)+NH4,1004.73975,879.6497804,885.6967304,653.4776304,599.4670004,653.4412604,621.4878104,583.4720904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_18:3)+NH4,1002.72415,877.6341804,883.6811304,651.4620304,597.4514004,653.4412604,619.4722104,581.4564904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_18:4)+NH4,1000.70845,875.6184804,881.6654304,649.4463304,595.4357004,653.4412604,617.4565104,579.4407904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_20:4)+NH4,1028.73975,903.6497804,909.6967304,677.4776304,623.4670004,653.4412604,645.4878104,607.4720904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_20:5)+NH4,1026.72415,901.6341804,907.6811304,675.4620304,621.4514004,653.4412604,643.4722104,605.4564904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_22:5)+NH4,1054.75545,929.6654804,935.7124304,703.4933304,649.4827004,653.4412604,671.5035104,633.4877904,605.4565304
OxTG(17:2(OOH)_20:3(OOHOOH)_22:6)+NH4,1052.73975,927.6497804,933.6967304,701.4776304,647.4670004,653.4412604,669.4878104,631.4720904,605.4565304
OxTG(17:2(OOH)_20:4(OOHOOH)_14:0)+NH4,950.6927504,825.6027804,831.6497304,599.4306304,547.4357004,651.4255604,567.4408104,531.4407904,603.4408304
