"MSDIAL_OxPC","[M+CH3COO]-","1","2","3","4","5","6","7"
"MSDIAL_PC 16:0_20:4;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;NCOZKUUQRFXFFY-OHXZNRDZNA-N;C44H80NO11P","888.56075","814.5234","255.2323","888.5607","224.0693","333.2072","351.2177","1"
"MSDIAL_PC 16:0_20:4;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;JLQNIYHJYGGZCO-VFQRZMKENA-N;C44H80NO12P","904.55567","830.5183","255.2323","904.5557","224.0693","331.1915","349.2021","367.2126"
"MSDIAL_PC 16:0_20:4;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;GKDVKFZTLGHDED-OHXZNRDZNA-N;C44H80NO12P","904.55567","830.5183","255.2323","349.2021","331.1915","904.5557","224.0693","367.2126"
"MSDIAL_PC 16:0_20:5;O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;OGYHTRAWQNGVGR-JIPIXUIUNA-N;C44H78NO9P","854.55527","780.5179","255.2323","299.2017","854.5553","224.0693","317.2122","1"
"MSDIAL_PC 16:0_20:6;O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;KAYOOLHHJRBXJV-AOXNOZDCNA-N;C44H76NO9P","852.53962","778.5023","255.2323","315.1966","852.5396","224.0693","1","1"
"MSDIAL_PC 16:0_20:5;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;NWCBZUVIDGMFNX-LXGJOOCFNA-N;C44H78NO10P","870.55019","315.1966","796.5129","255.2323","297.186","333.2071","870.5502","224.0693"
"MSDIAL_PC 16:0_20:5;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;JCBBPKSECDQNGE-PDMXZTDENA-N;C44H78NO11P","886.54510","812.5078","255.2323","313.1809","331.1915","886.5451","224.0693","349.2021"
"MSDIAL_PC 16:0_20:5;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;AKZKOUYAVQNDKJ-VFQRZMKENA-N;C44H78NO11P","886.54510","812.5078","255.2323","886.5451","224.0693","331.1915","349.2021","1"
"MSDIAL_PC 16:0_20:5;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;CFWPBJBBOMABKR-VFQRZMKENA-N;C44H78NO12P","902.54002","828.5027","255.2323","347.1864","329.1758","902.54","224.0693","365.197"
"MSDIAL_PC 16:0_22:6;O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;SGGXVZCVNMITTA-NCBZJDCGNA-N;C46H80NO9P","880.57092","806.5336","255.2323","343.2279","880.5709","224.0693","1","1"
"MSDIAL_PC 16:0_22:5;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;PGMVHGUSUSURFD-NCBZJDCGNA-N;C46H82NO10P","898.58149","343.2279","824.5442","255.2323","325.2173","361.2384","898.5815","224.0693"
"MSDIAL_PC 16:0_22:6;O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;YCLSJBMGYOKSCP-BDOIHPJDNA-N;C46H80NO9P","880.57092","806.5336","255.2323","325.2173","880.5709","224.0693","343.2279","1"
"MSDIAL_PC 16:0_22:6;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;JCNGWDSQBBYPKJ-SCSPIGHBNA-N;C46H80NO10P","896.56584","341.2122","822.5285","255.2323","323.2017","359.2228","896.5659","224.0693"
"MSDIAL_PC 16:0_22:6;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;FFDPZZXIFCAZPV-FNSLXBLCNA-N;C46H80NO11P","912.56075","838.5234","255.2323","339.1966","357.2072","912.5607","224.0693","375.2177"
"MSDIAL_PC 16:0_22:6;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC(O)\C=C\C(O)\C=C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;YUASHYTVMYBEDS-GBDGBMKLNA-N;C46H80NO12P","928.55567","854.5183","255.2323","928.5557","224.0693","355.1915","373.2021","391.2126"
"MSDIAL_PC 18:0_18:0;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(O)CCCCCC;SLFFLXXFMRZNFS-UHFFFAOYNA-N;C44H88NO9P","864.63352","790.5962","283.2635","281.2486","864.6335","224.0693","299.2592","1"
"MSDIAL_PC 18:0_18:1;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;YUDAIPOVMWRXLS-UHFFFAOYNA-N;C44H86NO9P","862.61787","788.5806","283.2635","297.2435","862.6179","224.0693","1","1"
"MSDIAL_PC 18:0_18:0;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;BQPRVBISIOGCPA-UHFFFAOYNA-N;C44H88NO10P","880.62844","297.2435","806.5911","283.2635","279.233","315.2541","880.6284","224.0693"
"MSDIAL_PC 18:0_18:1;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;ZNXSTCGXFKDQNS-XLVZBRSZNA-N;C44H86NO9P","862.61787","788.5806","283.2635","279.233","862.6179","224.0693","297.2435","1"
"MSDIAL_PC 18:0_18:2;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;MUQKYUKHMALXJI-GNVQSUKONA-N;C44H84NO9P","860.60222","786.5649","283.2635","295.2279","860.6022","224.0693","1","1"
"MSDIAL_PC 18:0_18:1;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;UJADOACEUYWWFH-GNVQSUKONA-N;C44H86NO10P","878.61279","295.2279","804.5754","283.2635","277.2173","313.2384","878.6128","224.0693"
"MSDIAL_PC 18:0_18:1;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;GSELFLCDHRUYGJ-JEIPZWNWNA-N;C44H86NO11P","894.60770","820.5704","283.2635","293.2122","311.2228","894.6077","224.0693","329.2333"
"MSDIAL_PC 18:0_18:2;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;KPFXSOXHTNSNBW-XPGOGURHNA-N;C44H84NO9P","860.60222","786.5649","283.2635","277.2173","860.6022","224.0693","295.2279","1"
"MSDIAL_PC 18:0_18:2;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;PZANWOBHYGUINP-XPGOGURHNA-N;C44H84NO10P","876.59714","293.2122","802.5598","283.2635","275.2017","311.2228","876.5972","224.0693"
"MSDIAL_PC 18:0_18:3;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;NIYVBUWISYPGLW-MKMWWGAINA-N;C44H82NO9P","858.58657","784.5493","283.2635","275.2017","858.5865","224.0693","293.2122","1"
"MSDIAL_PC 18:0_20:3;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;OUFBUFWSCDIEHD-ZNSDZCODNA-N;C46H86NO9P","886.61787","812.5806","283.2635","303.233","886.6179","224.0693","321.2435","1"
"MSDIAL_PC 18:0_20:4;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;YLUJSGXJNVOQHB-DCXHSTQANA-N;C46H84NO9P","884.60222","810.5649","283.2635","319.2279","884.6022","224.0693","1","1"
"MSDIAL_PC 18:0_20:3;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;VCKSSRJYHMYKRX-DCXHSTQANA-N;C46H86NO10P","902.61279","319.2279","828.5754","283.2635","301.2173","337.2384","902.6128","224.0693"
"MSDIAL_PC 18:0_20:4;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;JPFIOEHNRDYRBQ-BTBUXRBANA-N;C46H84NO10P","900.59714","826.5598","283.2635","317.2122","900.5972","224.0693","335.2228","1"
