"MSDIAL_EtherOxPE","[M-H]-","1","2","3","4","5"
"MSDIAL_PE O-16:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;JJKBYUGMLIRMKO-UOICGLNONA-N;C43H76NO8P","764.52358","343.2279","764.5236","438.2985","1","1"
"MSDIAL_PE O-16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;RODBWCVGODDYJH-UOICGLNONA-N;C43H78NO9P","782.53414","361.2384","782.5341","325.2173","343.2279","438.2985"
"MSDIAL_PE O-16:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;HKJMQHKNYQEKMV-SLGYAQHNNA-N;C43H76NO8P","764.52358","343.2279","764.5236","325.2173","438.2985","1"
"MSDIAL_PE O-16:0_22:6;2O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;FDQHIIWVOFYRAK-FQFIWEEDNA-N;C43H76NO9P","780.51849","359.2228","780.5185","323.2017","341.2122","438.2985"
"MSDIAL_PE O-16:0_22:6;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;JIYJPWYOMQCWCL-IZHGSRQKNA-N;C43H76NO10P","796.51341","375.2177","796.5134","339.1966","357.2072","438.2985"
"MSDIAL_PE O-16:0_22:6;4O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC(O)\C=C\C(O)\C=C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;KXYATSVMMLBKJQ-OFTUNFAFNA-N;C43H76NO11P","812.50832","391.2126","812.5083","355.1915","373.2021","438.2985"
"MSDIAL_PE O-18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCC(O)CCCCCC;UEGAPOWLFDYIJR-UHFFFAOYNA-N;C41H84NO8P","748.58618","299.2592","748.5862","281.2486","466.3298","1"
"MSDIAL_PE O-18:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC1OC1CCCCCC;NAFMVLCUYMJKCU-UHFFFAOYNA-N;C41H82NO8P","746.57053","297.2435","746.5706","466.3298","1","1"
"MSDIAL_PE O-18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;QBZBSVRIXUNMMO-UHFFFAOYNA-N;C41H84NO9P","764.58109","315.2541","764.5811","279.233","297.2435","466.3298"
"MSDIAL_PE O-18:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;MNHUDUGVXFCCMA-SLEBQGDGNA-N;C41H82NO8P","746.57053","297.2435","746.5706","279.233","466.3298","1"
"MSDIAL_PE O-18:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;RAYPXJQNMMIDSL-VYIQYICTNA-N;C41H80NO8P","744.55488","295.2279","744.5549","466.3298","1","1"
"MSDIAL_PE O-18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;VYSNKZABKMIMEQ-VYIQYICTNA-N;C41H82NO9P","762.56544","313.2384","762.5654","277.2173","295.2279","466.3298"
"MSDIAL_PE O-18:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;INUXWFRRIHHHCL-NVQSTNCTNA-N;C41H82NO10P","778.56036","329.2333","778.5604","293.2122","311.2228","466.3298"
"MSDIAL_PE O-18:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;KAAWDKPZBWVMAW-CRWFHCLENA-N;C41H80NO8P","744.55488","295.2279","744.5549","277.2173","466.3298","1"
"MSDIAL_PE O-18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;IJXJSJIKLLVPBI-CRWFHCLENA-N;C41H80NO9P","760.54979","311.2228","760.5498","275.2017","293.2122","466.3298"
"MSDIAL_PE O-18:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;RCMXEQVIQHEHOU-JLOBNJNVNA-N;C41H78NO8P","742.53923","293.2122","742.5392","275.2017","466.3298","1"
"MSDIAL_PE O-18:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;ZGCYFTPERRHTLC-RKOVCBEINA-N;C43H82NO8P","770.57053","321.2435","770.5706","303.233","466.3298","1"
"MSDIAL_PE O-18:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;RNHVNDHXLNYVLY-HYBRCBTLNA-N;C43H80NO8P","768.55488","319.2279","768.5549","466.3298","1","1"
"MSDIAL_PE O-18:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;PTEMKEKPOPNISW-HYBRCBTLNA-N;C43H82NO9P","786.56544","337.2384","786.5654","301.2173","319.2279","466.3298"
"MSDIAL_PE O-18:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;FPHUUKGOQYOQRJ-AMPCGFCDNA-N;C43H80NO9P","784.54979","335.2228","784.5498","317.2122","466.3298","1"
