"MSDIAL_EtherTG","[M+Na]+","1","2","3"
"MSDIAL_TG O-8:0_12:0_22:2;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC;KDQKMRLQQVDIEI-YJMJMZFLNA-N;C45H84O5","727.62110","727.6211","391.319","527.4442"
"MSDIAL_TG O-8:0_12:0_22:3;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;GFQJWFZEQVNPGI-BRQCPTPNNA-N;C45H82O5","725.60545","725.6055","391.319","525.4285"
"MSDIAL_TG O-8:0_12:0_22:4;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;OBAKHSQQMLSFAH-FKEBBBJFNA-N;C45H80O5","723.58980","723.5898","391.319","523.4128"
"MSDIAL_TG O-8:0_12:0_22:5;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;BRZPGHMXXYCIHJ-RXCCYYBTNA-N;C45H78O5","721.57415","721.5742","391.319","521.3972"
"MSDIAL_TG O-8:0_12:0_22:6;[M+Na]+;CCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;DISSNWUUSXMPKD-OPQABSCGNA-N;C45H76O5","719.55850","719.5585","391.319","519.3815"
"MSDIAL_TG O-8:0_14:0_14:0;[M+Na]+;CCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCCCCCC;ISAQSUMGIBBHEP-UHFFFAOYNA-N;C39H76O5","647.55850","647.5585","419.3503","1"
"MSDIAL_TG O-8:0_14:0_14:1;[M+Na]+;CCCCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/CCCC;XQLXEIKKIOWCOS-SSZFMOIBNA-N;C39H74O5","645.54285","645.5428","417.3346","419.3503"
"MSDIAL_TG O-8:0_14:0_16:0;[M+Na]+;CCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCCCCCCCC;QLIQQTORXMEOGD-UHFFFAOYNA-N;C41H80O5","675.58980","675.5898","419.3503","447.3816"
"MSDIAL_TG O-8:0_14:0_16:1;[M+Na]+;CCCCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/CCCCCC;KMNLUHZJUOHFFT-ZZEZOPTANA-N;C41H78O5","673.57415","673.5742","419.3503","445.3659"
"MSDIAL_TG O-8:0_14:0_16:2;[M+Na]+;CCCCCCCCCCCCCC(=O)OC(COCCCCCCCC)COC(=O)CCCCCCC\C=C/C\C=C/CCC;RAUQKFPMEWSBRW-RYYYRXALNA-N;C41H76O5","671.55850","671.5585","419.3503","443.3503"
