OxTG,[M+NH4]+,NL_R1COOH,NL_R2COOH,NL_R3COOH
OxTG(14:0_14:1_11:2(COOH))+NH4,722.5566104,477.3211364,479.3367364,493.4251764
OxTG(14:0_14:1_12:1(COOH))+NH4,738.5879104,493.3524364,495.3680364,493.4251764
OxTG(14:0_14:1_12:2(COOH))+NH4,736.5722604,491.3367864,493.3523864,493.4251764
OxTG(14:0_14:1_12:3(COOH))+NH4,734.5566104,489.3211364,491.3367364,493.4251764
OxTG(14:0_14:1_13:1(COOH))+NH4,752.6035604,507.3680864,509.3836864,493.4251764
OxTG(14:0_14:1_13:2(COOH))+NH4,750.5879104,505.3524364,507.3680364,493.4251764
OxTG(14:0_14:1_13:3(COOH))+NH4,748.5722604,503.3367864,505.3523864,493.4251764
OxTG(14:0_14:1_14:1(COOH))+NH4,766.6192104,521.3837364,523.3993364,493.4251764
OxTG(14:0_14:1_14:2(COOH))+NH4,764.6035604,519.3680864,521.3836864,493.4251764
OxTG(14:0_14:1_14:3(COOH))+NH4,762.5879104,517.3524364,519.3680364,493.4251764
OxTG(14:0_14:1_15:1(COOH))+NH4,780.6348604,535.3993864,537.4149864,493.4251764
OxTG(14:0_14:1_15:2(COOH))+NH4,778.6192104,533.3837364,535.3993364,493.4251764
OxTG(14:0_14:1_15:3(COOH))+NH4,776.6035604,531.3680864,533.3836864,493.4251764
OxTG(14:0_14:1_15:4(COOH))+NH4,774.5879104,529.3524364,531.3680364,493.4251764
OxTG(14:0_14:1_16:1(COOH))+NH4,794.6505104,549.4150364,551.4306364,493.4251764
OxTG(14:0_14:1_16:2(COOH))+NH4,792.6348604,547.3993864,549.4149864,493.4251764
OxTG(14:0_14:1_16:3(COOH))+NH4,790.6192104,545.3837364,547.3993364,493.4251764
OxTG(14:0_14:1_16:4(COOH))+NH4,788.6035604,543.3680864,545.3836864,493.4251764
OxTG(14:0_14:1_17:4(COOH))+NH4,802.6192104,557.3837364,559.3993364,493.4251764
OxTG(14:0_14:1_18:4(COOH))+NH4,816.6348604,571.3993864,573.4149864,493.4251764
OxTG(14:0_14:1_18:5(COOH))+NH4,814.6192104,569.3837364,571.3993364,493.4251764
OxTG(14:0_14:1_19:4(COOH))+NH4,830.6505104,585.4150364,587.4306364,493.4251764
OxTG(14:0_14:1_19:5(COOH))+NH4,828.6348604,583.3993864,585.4149864,493.4251764
OxTG(14:0_16:0_3:0(COOH))+NH4,644.5096004,399.2741264,371.2428264,523.4720764
OxTG(14:0_16:0_4:0(COOH))+NH4,658.5252504,413.2897764,385.2584764,523.4720764
OxTG(14:0_16:0_5:0(COOH))+NH4,672.5409004,427.3054264,399.2741264,523.4720764
OxTG(14:0_16:0_6:0(COOH))+NH4,686.5565504,441.3210764,413.2897764,523.4720764
OxTG(14:0_16:0_7:0(COOH))+NH4,700.5722004,455.3367264,427.3054264,523.4720764
OxTG(14:0_16:0_8:0(COOH))+NH4,714.5878504,469.3523764,441.3210764,523.4720764
OxTG(14:0_16:0_9:0(COOH))+NH4,728.6035004,483.3680264,455.3367264,523.4720764
OxTG(14:0_16:0_10:0(COOH))+NH4,742.6191504,497.3836764,469.3523764,523.4720764
OxTG(14:0_16:0_11:0(COOH))+NH4,756.6348004,511.3993264,483.3680264,523.4720764
OxTG(14:0_16:0_12:0(COOH))+NH4,770.6504504,525.4149764,497.3836764,523.4720764
OxTG(14:0_16:0_13:0(COOH))+NH4,784.6661004,539.4306264,511.3993264,523.4720764
OxTG(14:0_16:0_14:0(COOH))+NH4,798.6817504,553.4462764,525.4149764,523.4720764
OxTG(14:0_16:0_15:0(COOH))+NH4,812.6974004,567.4619264,539.4306264,523.4720764
OxTG(14:0_16:0_6:1(COOH))+NH4,684.5409104,439.3054364,411.2741364,523.4720764
OxTG(14:0_16:0_7:1(COOH))+NH4,698.5565604,453.3210864,425.2897864,523.4720764
OxTG(14:0_16:0_8:1(COOH))+NH4,712.5722104,467.3367364,439.3054364,523.4720764
OxTG(14:0_16:0_9:1(COOH))+NH4,726.5878604,481.3523864,453.3210864,523.4720764
OxTG(14:0_16:0_9:2(COOH))+NH4,724.5722104,479.3367364,451.3054364,523.4720764
OxTG(14:0_16:0_10:1(COOH))+NH4,740.6035104,495.3680364,467.3367364,523.4720764
OxTG(14:0_16:0_10:2(COOH))+NH4,738.5878604,493.3523864,465.3210864,523.4720764
OxTG(14:0_16:0_11:1(COOH))+NH4,754.6191604,509.3836864,481.3523864,523.4720764
OxTG(14:0_16:0_11:2(COOH))+NH4,752.6035104,507.3680364,479.3367364,523.4720764
OxTG(14:0_16:0_12:1(COOH))+NH4,768.6348104,523.3993364,495.3680364,523.4720764
OxTG(14:0_16:0_12:2(COOH))+NH4,766.6191604,521.3836864,493.3523864,523.4720764
OxTG(14:0_16:0_12:3(COOH))+NH4,764.6035104,519.3680364,491.3367364,523.4720764
OxTG(14:0_16:0_13:1(COOH))+NH4,782.6504604,537.4149864,509.3836864,523.4720764
OxTG(14:0_16:0_13:2(COOH))+NH4,780.6348104,535.3993364,507.3680364,523.4720764
OxTG(14:0_16:0_13:3(COOH))+NH4,778.6191604,533.3836864,505.3523864,523.4720764
OxTG(14:0_16:0_14:1(COOH))+NH4,796.6661104,551.4306364,523.3993364,523.4720764
OxTG(14:0_16:0_14:2(COOH))+NH4,794.6504604,549.4149864,521.3836864,523.4720764
OxTG(14:0_16:0_14:3(COOH))+NH4,792.6348104,547.3993364,519.3680364,523.4720764
OxTG(14:0_16:0_15:1(COOH))+NH4,810.6817604,565.4462864,537.4149864,523.4720764
OxTG(14:0_16:0_15:2(COOH))+NH4,808.6661104,563.4306364,535.3993364,523.4720764
OxTG(14:0_16:0_15:3(COOH))+NH4,806.6504604,561.4149864,533.3836864,523.4720764
OxTG(14:0_16:0_15:4(COOH))+NH4,804.6348104,559.3993364,531.3680364,523.4720764
OxTG(14:0_16:0_16:1(COOH))+NH4,824.6974104,579.4619364,551.4306364,523.4720764
OxTG(14:0_16:0_16:2(COOH))+NH4,822.6817604,577.4462864,549.4149864,523.4720764
OxTG(14:0_16:0_16:3(COOH))+NH4,820.6661104,575.4306364,547.3993364,523.4720764
OxTG(14:0_16:0_16:4(COOH))+NH4,818.6504604,573.4149864,545.3836864,523.4720764
OxTG(14:0_16:0_17:4(COOH))+NH4,832.6661104,587.4306364,559.3993364,523.4720764
OxTG(14:0_16:0_18:4(COOH))+NH4,846.6817604,601.4462864,573.4149864,523.4720764
OxTG(14:0_16:0_18:5(COOH))+NH4,844.6661104,599.4306364,571.3993364,523.4720764
OxTG(14:0_16:0_19:4(COOH))+NH4,860.6974104,615.4619364,587.4306364,523.4720764
OxTG(14:0_16:0_19:5(COOH))+NH4,858.6817604,613.4462864,585.4149864,523.4720764
OxTG(14:0_16:1_3:0(COOH))+NH4,642.4940004,397.2585264,371.2428264,521.4564764
OxTG(14:0_16:1_4:0(COOH))+NH4,656.5096504,411.2741764,385.2584764,521.4564764
OxTG(14:0_16:1_5:0(COOH))+NH4,670.5253004,425.2898264,399.2741264,521.4564764
OxTG(14:0_16:1_6:0(COOH))+NH4,684.5409504,439.3054764,413.2897764,521.4564764
OxTG(14:0_16:1_7:0(COOH))+NH4,698.5566004,453.3211264,427.3054264,521.4564764
OxTG(14:0_16:1_8:0(COOH))+NH4,712.5722504,467.3367764,441.3210764,521.4564764
OxTG(14:0_16:1_9:0(COOH))+NH4,726.5879004,481.3524264,455.3367264,521.4564764
OxTG(14:0_16:1_10:0(COOH))+NH4,740.6035504,495.3680764,469.3523764,521.4564764
OxTG(14:0_16:1_11:0(COOH))+NH4,754.6192004,509.3837264,483.3680264,521.4564764
OxTG(14:0_16:1_12:0(COOH))+NH4,768.6348504,523.3993764,497.3836764,521.4564764
OxTG(14:0_16:1_13:0(COOH))+NH4,782.6505004,537.4150264,511.3993264,521.4564764
OxTG(14:0_16:1_14:0(COOH))+NH4,796.6661504,551.4306764,525.4149764,521.4564764
OxTG(14:0_16:1_15:0(COOH))+NH4,810.6818004,565.4463264,539.4306264,521.4564764
OxTG(14:0_16:1_6:1(COOH))+NH4,682.5253104,437.2898364,411.2741364,521.4564764
OxTG(14:0_16:1_7:1(COOH))+NH4,696.5409604,451.3054864,425.2897864,521.4564764
OxTG(14:0_16:1_8:1(COOH))+NH4,710.5566104,465.3211364,439.3054364,521.4564764
OxTG(14:0_16:1_9:1(COOH))+NH4,724.5722604,479.3367864,453.3210864,521.4564764
OxTG(14:0_16:1_9:2(COOH))+NH4,722.5566104,477.3211364,451.3054364,521.4564764
OxTG(14:0_16:1_10:1(COOH))+NH4,738.5879104,493.3524364,467.3367364,521.4564764
OxTG(14:0_16:1_10:2(COOH))+NH4,736.5722604,491.3367864,465.3210864,521.4564764
OxTG(14:0_16:1_11:1(COOH))+NH4,752.6035604,507.3680864,481.3523864,521.4564764
OxTG(14:0_16:1_11:2(COOH))+NH4,750.5879104,505.3524364,479.3367364,521.4564764
OxTG(14:0_16:1_12:1(COOH))+NH4,766.6192104,521.3837364,495.3680364,521.4564764
OxTG(14:0_16:1_12:2(COOH))+NH4,764.6035604,519.3680864,493.3523864,521.4564764
OxTG(14:0_16:1_12:3(COOH))+NH4,762.5879104,517.3524364,491.3367364,521.4564764
OxTG(14:0_16:1_13:1(COOH))+NH4,780.6348604,535.3993864,509.3836864,521.4564764
OxTG(14:0_16:1_13:2(COOH))+NH4,778.6192104,533.3837364,507.3680364,521.4564764
OxTG(14:0_16:1_13:3(COOH))+NH4,776.6035604,531.3680864,505.3523864,521.4564764
OxTG(14:0_16:1_14:1(COOH))+NH4,794.6505104,549.4150364,523.3993364,521.4564764
OxTG(14:0_16:1_14:2(COOH))+NH4,792.6348604,547.3993864,521.3836864,521.4564764
OxTG(14:0_16:1_14:3(COOH))+NH4,790.6192104,545.3837364,519.3680364,521.4564764
OxTG(14:0_16:1_15:1(COOH))+NH4,808.6661604,563.4306864,537.4149864,521.4564764
OxTG(14:0_16:1_15:2(COOH))+NH4,806.6505104,561.4150364,535.3993364,521.4564764
OxTG(14:0_16:1_15:3(COOH))+NH4,804.6348604,559.3993864,533.3836864,521.4564764
