"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Number of Scans","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Max Intensity","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Average m/z","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment"
"","PG(32:5)+NH4",0,0,0,"1.47424166666667","1.77424166666667","7817","","PG(32:5)+NH4",0,0,0,"1.47424166666667","1.77424166666667","7817","","PG(32:5)+NH4",0,0,0,"1.47424166666667","1.77424166666667","7817","","PG(32:5)+NH4",0,0,0,"1.47424166666667","1.77424166666667","7817","","PG(32:5)+NH4",0,0,0,"1.47424166666667","1.77424166666667","7817","","PG(32:5)+NH4","730.46546","559.45956","541.425227","1.47424166666667","1.77424166666667","7817"
"","PG(33:0)+NH4",0,0,0,"4.10132083333333","4.40132083333333","3023","","PG(33:0)+NH4",0,0,0,"4.10132083333333","4.40132083333333","3023","","PG(33:0)+NH4",0,0,0,"4.10132083333333","4.40132083333333","3023","","PG(33:0)+NH4",0,0,0,"4.10132083333333","4.40132083333333","3023","","PG(33:0)+NH4",0,0,0,"4.10132083333333","4.40132083333333","3023","","PG(33:0)+NH4","754.55936","583.55346","565.519127","4.10132083333333","4.40132083333333","3023"
"","PG(34:2)+NH4",1,0,0,"7.68959027777778","7.98959027777778","200","","PG(34:2)+NH4",7.867475,0,0,"7.68959027777778","7.98959027777778","200","","PG(34:2)+NH4",1,0,0,"7.68959027777778","7.98959027777778","200","","PG(34:2)+NH4",4952.251,0,0,"7.68959027777778","7.98959027777778","200","","PG(34:2)+NH4",764.5439,0,0,"7.68959027777778","7.98959027777778","200","","PG(34:2)+NH4","764.54366","593.53776","575.503427","7.68959027777778","7.98959027777778","200"
"","PG(34:4)+NH4",0,0,0,"1.78840833333333","2.08840833333333","8216","","PG(34:4)+NH4",0,0,0,"1.78840833333333","2.08840833333333","8216","","PG(34:4)+NH4",0,0,0,"1.78840833333333","2.08840833333333","8216","","PG(34:4)+NH4",0,0,0,"1.78840833333333","2.08840833333333","8216","","PG(34:4)+NH4",0,0,0,"1.78840833333333","2.08840833333333","8216","","PG(34:4)+NH4","760.51236","589.50646","571.472127","1.78840833333333","2.08840833333333","8216"
"","PG(35:2)+NH4",0,0,0,"8.01333333333333","8.31333333333333","14247","","PG(35:2)+NH4",0,0,0,"8.01333333333333","8.31333333333333","14247","","PG(35:2)+NH4",0,0,0,"8.01333333333333","8.31333333333333","14247","","PG(35:2)+NH4",0,0,0,"8.01333333333333","8.31333333333333","14247","","PG(35:2)+NH4",0,0,0,"8.01333333333333","8.31333333333333","14247","","PG(35:2)+NH4","778.55936","607.55346","589.519127","8.01333333333333","8.31333333333333","14247"
"","PG(36:3)+NH4",0,0,0,"3.00620416666667","3.30620416666667","4995","","PG(36:3)+NH4",0,0,0,"3.00620416666667","3.30620416666667","4995","","PG(36:3)+NH4",0,0,0,"3.00620416666667","3.30620416666667","4995","","PG(36:3)+NH4",0,0,0,"3.00620416666667","3.30620416666667","4995","","PG(36:3)+NH4",0,0,0,"3.00620416666667","3.30620416666667","4995","","PG(36:3)+NH4","790.55936","619.55346","601.519127","3.00620416666667","3.30620416666667","4995"
"","PG(37:4)+NH4",0,0,0,"7.225625","7.525625","9320","","PG(37:4)+NH4",0,0,0,"7.225625","7.525625","9320","","PG(37:4)+NH4",0,0,0,"7.225625","7.525625","9320","","PG(37:4)+NH4",0,0,0,"7.225625","7.525625","9320","","PG(37:4)+NH4",0,0,0,"7.225625","7.525625","9320","","PG(37:4)+NH4","802.55936","631.55346","613.519127","7.225625","7.525625","9320"
"","PG(38:1)+NH4",0,0,0,"9.82033333333333","10.1203333333333","7206","","PG(38:1)+NH4",0,0,0,"9.82033333333333","10.1203333333333","7206","","PG(38:1)+NH4",0,0,0,"9.82033333333333","10.1203333333333","7206","","PG(38:1)+NH4",0,0,0,"9.82033333333333","10.1203333333333","7206","","PG(38:1)+NH4",0,0,0,"9.82033333333333","10.1203333333333","7206","","PG(38:1)+NH4","822.62196","651.61606","633.581727","9.82033333333333","10.1203333333333","7206"
"","PG(38:3)+NH4",0,0,0,"4.10132083333333","4.40132083333333","3848","","PG(38:3)+NH4",0,0,0,"4.10132083333333","4.40132083333333","3848","","PG(38:3)+NH4",0,0,0,"4.10132083333333","4.40132083333333","3848","","PG(38:3)+NH4",0,0,0,"4.10132083333333","4.40132083333333","3848","","PG(38:3)+NH4",0,0,0,"4.10132083333333","4.40132083333333","3848","","PG(38:3)+NH4","818.59066","647.58476","629.550427","4.10132083333333","4.40132083333333","3848"
"","PG(38:4)+NH4",0,0,0,"5.10691818181818","5.40691818181818","10241","","PG(38:4)+NH4",0,0,0,"5.10691818181818","5.40691818181818","10241","","PG(38:4)+NH4",0,0,0,"5.10691818181818","5.40691818181818","10241","","PG(38:4)+NH4",0,0,0,"5.10691818181818","5.40691818181818","10241","","PG(38:4)+NH4",0,0,0,"5.10691818181818","5.40691818181818","10241","","PG(38:4)+NH4","816.57496","645.56906","627.534727","5.10691818181818","5.40691818181818","10241"
