"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment","RT at Max Intensity","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment","Number of Scans","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment","Max Intensity","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment","Average m/z","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment"
"","PMeOH(34:1)+NH4",1,0,0,"6.02765","6.32765","188","","PMeOH(34:1)+NH4",6.168828,0,0,"6.02765","6.32765","188","","PMeOH(34:1)+NH4",3,0,0,"6.02765","6.32765","188","","PMeOH(34:1)+NH4",1563772,0,0,"6.02765","6.32765","188","","PMeOH(34:1)+NH4",706.538766666667,0,0,"6.02765","6.32765","188","","PMeOH(34:1)+NH4","706.53812","577.519","169.026","6.02765","6.32765","188"
"","PMeOH(34:2)+NH4",1,0,0,"4.889025","5.189025","340","","PMeOH(34:2)+NH4",5.068664,0,0,"4.889025","5.189025","340","","PMeOH(34:2)+NH4",2,0,0,"4.889025","5.189025","340","","PMeOH(34:2)+NH4",570787,0,0,"4.889025","5.189025","340","","PMeOH(34:2)+NH4",704.5241,0,0,"4.889025","5.189025","340","","PMeOH(34:2)+NH4","704.52252","575.5034","169.026","4.889025","5.189025","340"
"","PMeOH(34:2)+NH4",0,0,0,"5.52259444444444","5.82259444444444","9928","","PMeOH(34:2)+NH4",0,0,0,"5.52259444444444","5.82259444444444","9928","","PMeOH(34:2)+NH4",0,0,0,"5.52259444444444","5.82259444444444","9928","","PMeOH(34:2)+NH4",0,0,0,"5.52259444444444","5.82259444444444","9928","","PMeOH(34:2)+NH4",0,0,0,"5.52259444444444","5.82259444444444","9928","","PMeOH(34:2)+NH4","704.52252","575.5034","169.026","5.52259444444444","5.82259444444444","9928"
"","PMeOH(34:2)+NH4",0,0,0,"7.02406805555556","7.32406805555556","16090","","PMeOH(34:2)+NH4",0,0,0,"7.02406805555556","7.32406805555556","16090","","PMeOH(34:2)+NH4",0,0,0,"7.02406805555556","7.32406805555556","16090","","PMeOH(34:2)+NH4",0,0,0,"7.02406805555556","7.32406805555556","16090","","PMeOH(34:2)+NH4",0,0,0,"7.02406805555556","7.32406805555556","16090","","PMeOH(34:2)+NH4","704.52252","575.5034","169.026","7.02406805555556","7.32406805555556","16090"
"","PMeOH(34:2)+NH4",0,0,0,"6.90816111111111","7.20816111111111","18891","","PMeOH(34:2)+NH4",0,0,0,"6.90816111111111","7.20816111111111","18891","","PMeOH(34:2)+NH4",0,0,0,"6.90816111111111","7.20816111111111","18891","","PMeOH(34:2)+NH4",0,0,0,"6.90816111111111","7.20816111111111","18891","","PMeOH(34:2)+NH4",0,0,0,"6.90816111111111","7.20816111111111","18891","","PMeOH(34:2)+NH4","704.52252","575.5034","169.026","6.90816111111111","7.20816111111111","18891"
"","PMeOH(34:3)+NH4",0,0,0,"3.73294305555556","4.03294305555556","4431","","PMeOH(34:3)+NH4",0,0,0,"3.73294305555556","4.03294305555556","4431","","PMeOH(34:3)+NH4",0,0,0,"3.73294305555556","4.03294305555556","4431","","PMeOH(34:3)+NH4",0,0,0,"3.73294305555556","4.03294305555556","4431","","PMeOH(34:3)+NH4",0,0,0,"3.73294305555556","4.03294305555556","4431","","PMeOH(34:3)+NH4","702.50682","573.4877","169.026","3.73294305555556","4.03294305555556","4431"
"","PMeOH(35:1)+NH4",1,0,0,"8.64666527777777","8.94666527777777","95","","PMeOH(35:1)+NH4",8.815608,0,0,"8.64666527777777","8.94666527777777","95","","PMeOH(35:1)+NH4",2,0,0,"8.64666527777777","8.94666527777777","95","","PMeOH(35:1)+NH4",73318.2,0,0,"8.64666527777777","8.94666527777777","95","","PMeOH(35:1)+NH4",720.5545,0,0,"8.64666527777777","8.94666527777777","95","","PMeOH(35:1)+NH4","720.55382","591.5347","169.026","8.64666527777777","8.94666527777777","95"
"","PMeOH(35:1)+NH4",1,0,0,"6.63066666666667","6.93066666666667","518","","PMeOH(35:1)+NH4",6.821414,0,0,"6.63066666666667","6.93066666666667","518","","PMeOH(35:1)+NH4",1,0,0,"6.63066666666667","6.93066666666667","518","","PMeOH(35:1)+NH4",360136.4,0,0,"6.63066666666667","6.93066666666667","518","","PMeOH(35:1)+NH4",720.5547,0,0,"6.63066666666667","6.93066666666667","518","","PMeOH(35:1)+NH4","720.55382","591.5347","169.026","6.63066666666667","6.93066666666667","518"
"","PMeOH(35:1)+NH4",1,0,0,"6.43381527777778","6.73381527777778","1486","","PMeOH(35:1)+NH4",6.58182,0,0,"6.43381527777778","6.73381527777778","1486","","PMeOH(35:1)+NH4",1,0,0,"6.43381527777778","6.73381527777778","1486","","PMeOH(35:1)+NH4",89414.06,0,0,"6.43381527777778","6.73381527777778","1486","","PMeOH(35:1)+NH4",720.5549,0,0,"6.43381527777778","6.73381527777778","1486","","PMeOH(35:1)+NH4","720.55382","591.5347","169.026","6.43381527777778","6.73381527777778","1486"
"","PMeOH(35:2)+NH4",1,0,0,"5.51697222222222","5.81697222222222","1575","","PMeOH(35:2)+NH4",5.717829,0,0,"5.51697222222222","5.81697222222222","1575","","PMeOH(35:2)+NH4",1,0,0,"5.51697222222222","5.81697222222222","1575","","PMeOH(35:2)+NH4",54893.42,0,0,"5.51697222222222","5.81697222222222","1575","","PMeOH(35:2)+NH4",718.5396,0,0,"5.51697222222222","5.81697222222222","1575","","PMeOH(35:2)+NH4","718.53812","589.519","169.026","5.51697222222222","5.81697222222222","1575"
"","PMeOH(35:2)+NH4",0,0,0,"5.99224242424243","6.29224242424243","5695","","PMeOH(35:2)+NH4",0,0,0,"5.99224242424243","6.29224242424243","5695","","PMeOH(35:2)+NH4",0,0,0,"5.99224242424243","6.29224242424243","5695","","PMeOH(35:2)+NH4",0,0,0,"5.99224242424243","6.29224242424243","5695","","PMeOH(35:2)+NH4",0,0,0,"5.99224242424243","6.29224242424243","5695","","PMeOH(35:2)+NH4","718.53812","589.519","169.026","5.99224242424243","6.29224242424243","5695"
"","PMeOH(35:2)+NH4",0,0,0,"5.78686818181818","6.08686818181818","15153","","PMeOH(35:2)+NH4",0,0,0,"5.78686818181818","6.08686818181818","15153","","PMeOH(35:2)+NH4",0,0,0,"5.78686818181818","6.08686818181818","15153","","PMeOH(35:2)+NH4",0,0,0,"5.78686818181818","6.08686818181818","15153","","PMeOH(35:2)+NH4",0,0,0,"5.78686818181818","6.08686818181818","15153","","PMeOH(35:2)+NH4","718.53812","589.519","169.026","5.78686818181818","6.08686818181818","15153"
"","PMeOH(35:3)+NH4",1,0,0,"6.68251805555556","6.98251805555556","422","","PMeOH(35:3)+NH4",6.856732,0,0,"6.68251805555556","6.98251805555556","422","","PMeOH(35:3)+NH4",1,0,0,"6.68251805555556","6.98251805555556","422","","PMeOH(35:3)+NH4",20486.5,0,0,"6.68251805555556","6.98251805555556","422","","PMeOH(35:3)+NH4",716.5242,0,0,"6.68251805555556","6.98251805555556","422","","PMeOH(35:3)+NH4","716.52252","587.5034","169.026","6.68251805555556","6.98251805555556","422"
"","PMeOH(35:3)+NH4",0,0,0,"12.2190791666667","12.5190791666667","1321","","PMeOH(35:3)+NH4",0,0,0,"12.2190791666667","12.5190791666667","1321","","PMeOH(35:3)+NH4",0,0,0,"12.2190791666667","12.5190791666667","1321","","PMeOH(35:3)+NH4",0,0,0,"12.2190791666667","12.5190791666667","1321","","PMeOH(35:3)+NH4",0,0,0,"12.2190791666667","12.5190791666667","1321","","PMeOH(35:3)+NH4","716.52252","587.5034","169.026","12.2190791666667","12.5190791666667","1321"
"","PMeOH(35:3)+NH4",0,0,0,"4.85825416666667","5.15825416666667","1348","","PMeOH(35:3)+NH4",0,0,0,"4.85825416666667","5.15825416666667","1348","","PMeOH(35:3)+NH4",0,0,0,"4.85825416666667","5.15825416666667","1348","","PMeOH(35:3)+NH4",0,0,0,"4.85825416666667","5.15825416666667","1348","","PMeOH(35:3)+NH4",0,0,0,"4.85825416666667","5.15825416666667","1348","","PMeOH(35:3)+NH4","716.52252","587.5034","169.026","4.85825416666667","5.15825416666667","1348"
"","PMeOH(35:3)+NH4",0,0,0,"11.5475638888889","11.8475638888889","2103","","PMeOH(35:3)+NH4",0,0,0,"11.5475638888889","11.8475638888889","2103","","PMeOH(35:3)+NH4",0,0,0,"11.5475638888889","11.8475638888889","2103","","PMeOH(35:3)+NH4",0,0,0,"11.5475638888889","11.8475638888889","2103","","PMeOH(35:3)+NH4",0,0,0,"11.5475638888889","11.8475638888889","2103","","PMeOH(35:3)+NH4","716.52252","587.5034","169.026","11.5475638888889","11.8475638888889","2103"
"","PMeOH(35:4)+NH4",0,0,0,"5.54374861111111","5.84374861111111","6823","","PMeOH(35:4)+NH4",0,0,0,"5.54374861111111","5.84374861111111","6823","","PMeOH(35:4)+NH4",0,0,0,"5.54374861111111","5.84374861111111","6823","","PMeOH(35:4)+NH4",0,0,0,"5.54374861111111","5.84374861111111","6823","","PMeOH(35:4)+NH4",0,0,0,"5.54374861111111","5.84374861111111","6823","","PMeOH(35:4)+NH4","714.50682","585.4877","169.026","5.54374861111111","5.84374861111111","6823"
"","PMeOH(35:4)+NH4",0,0,0,"11.6431458333333","11.9431458333333","8174","","PMeOH(35:4)+NH4",0,0,0,"11.6431458333333","11.9431458333333","8174","","PMeOH(35:4)+NH4",0,0,0,"11.6431458333333","11.9431458333333","8174","","PMeOH(35:4)+NH4",0,0,0,"11.6431458333333","11.9431458333333","8174","","PMeOH(35:4)+NH4",0,0,0,"11.6431458333333","11.9431458333333","8174","","PMeOH(35:4)+NH4","714.50682","585.4877","169.026","11.6431458333333","11.9431458333333","8174"
