"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","RT at Max Intensity","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Number of Scans","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Max Intensity","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Average m/z","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment"
"","Plasmanyl-PS(38:5)+H",0,0,"5.08153636363636","5.38153636363636","9347","","Plasmanyl-PS(38:5)+H",0,0,"5.08153636363636","5.38153636363636","9347","","Plasmanyl-PS(38:5)+H",0,0,"5.08153636363636","5.38153636363636","9347","","Plasmanyl-PS(38:5)+H",0,0,"5.08153636363636","5.38153636363636","9347","","Plasmanyl-PS(38:5)+H",0,0,"5.08153636363636","5.38153636363636","9347","","Plasmanyl-PS(38:5)+H","796.54882","611.53987","5.08153636363636","5.38153636363636","9347"
"","Plasmanyl-PS(39:0)+H",0,0,"9.18499722222222","9.48499722222222","1759","","Plasmanyl-PS(39:0)+H",0,0,"9.18499722222222","9.48499722222222","1759","","Plasmanyl-PS(39:0)+H",0,0,"9.18499722222222","9.48499722222222","1759","","Plasmanyl-PS(39:0)+H",0,0,"9.18499722222222","9.48499722222222","1759","","Plasmanyl-PS(39:0)+H",0,0,"9.18499722222222","9.48499722222222","1759","","Plasmanyl-PS(39:0)+H","820.64272","635.63377","9.18499722222222","9.48499722222222","1759"
"","Plasmanyl-PS(40:0)+H",0,0,"9.19317878787879","9.49317878787879","3095","","Plasmanyl-PS(40:0)+H",0,0,"9.19317878787879","9.49317878787879","3095","","Plasmanyl-PS(40:0)+H",0,0,"9.19317878787879","9.49317878787879","3095","","Plasmanyl-PS(40:0)+H",0,0,"9.19317878787879","9.49317878787879","3095","","Plasmanyl-PS(40:0)+H",0,0,"9.19317878787879","9.49317878787879","3095","","Plasmanyl-PS(40:0)+H","834.65832","649.64937","9.19317878787879","9.49317878787879","3095"
"","Plasmanyl-PS(40:0)+H",0,0,"9.20111527777778","9.50111527777778","17195","","Plasmanyl-PS(40:0)+H",0,0,"9.20111527777778","9.50111527777778","17195","","Plasmanyl-PS(40:0)+H",0,0,"9.20111527777778","9.50111527777778","17195","","Plasmanyl-PS(40:0)+H",0,0,"9.20111527777778","9.50111527777778","17195","","Plasmanyl-PS(40:0)+H",0,0,"9.20111527777778","9.50111527777778","17195","","Plasmanyl-PS(40:0)+H","834.65832","649.64937","9.20111527777778","9.50111527777778","17195"
"","Plasmanyl-PS(40:3)+H",1,0,"7.28486944444444","7.58486944444444","996","","Plasmanyl-PS(40:3)+H",7.465267,0,"7.28486944444444","7.58486944444444","996","","Plasmanyl-PS(40:3)+H",1,0,"7.28486944444444","7.58486944444444","996","","Plasmanyl-PS(40:3)+H",170996.9,0,"7.28486944444444","7.58486944444444","996","","Plasmanyl-PS(40:3)+H",828.6122,0,"7.28486944444444","7.58486944444444","996","","Plasmanyl-PS(40:3)+H","828.61142","643.60247","7.28486944444444","7.58486944444444","996"
"","Plasmanyl-PS(40:3)+H",0,0,"5.44522424242424","5.74522424242424","10621","","Plasmanyl-PS(40:3)+H",0,0,"5.44522424242424","5.74522424242424","10621","","Plasmanyl-PS(40:3)+H",0,0,"5.44522424242424","5.74522424242424","10621","","Plasmanyl-PS(40:3)+H",0,0,"5.44522424242424","5.74522424242424","10621","","Plasmanyl-PS(40:3)+H",0,0,"5.44522424242424","5.74522424242424","10621","","Plasmanyl-PS(40:3)+H","828.61142","643.60247","5.44522424242424","5.74522424242424","10621"
"","Plasmanyl-PS(40:4)+H",0,0,"4.8403375","5.1403375","2200","","Plasmanyl-PS(40:4)+H",0,0,"4.8403375","5.1403375","2200","","Plasmanyl-PS(40:4)+H",0,0,"4.8403375","5.1403375","2200","","Plasmanyl-PS(40:4)+H",0,0,"4.8403375","5.1403375","2200","","Plasmanyl-PS(40:4)+H",0,0,"4.8403375","5.1403375","2200","","Plasmanyl-PS(40:4)+H","826.59572","641.58677","4.8403375","5.1403375","2200"
"","Plasmanyl-PS(40:4)+H",0,0,"6.15288888888889","6.45288888888889","2392","","Plasmanyl-PS(40:4)+H",0,0,"6.15288888888889","6.45288888888889","2392","","Plasmanyl-PS(40:4)+H",0,0,"6.15288888888889","6.45288888888889","2392","","Plasmanyl-PS(40:4)+H",0,0,"6.15288888888889","6.45288888888889","2392","","Plasmanyl-PS(40:4)+H",0,0,"6.15288888888889","6.45288888888889","2392","","Plasmanyl-PS(40:4)+H","826.59572","641.58677","6.15288888888889","6.45288888888889","2392"
"","Plasmanyl-PS(40:4)+H",0,0,"4.33299444444444","4.63299444444444","6897","","Plasmanyl-PS(40:4)+H",0,0,"4.33299444444444","4.63299444444444","6897","","Plasmanyl-PS(40:4)+H",0,0,"4.33299444444444","4.63299444444444","6897","","Plasmanyl-PS(40:4)+H",0,0,"4.33299444444444","4.63299444444444","6897","","Plasmanyl-PS(40:4)+H",0,0,"4.33299444444444","4.63299444444444","6897","","Plasmanyl-PS(40:4)+H","826.59572","641.58677","4.33299444444444","4.63299444444444","6897"
"","Plasmanyl-PS(40:4)+H",0,0,"5.07220555555556","5.37220555555556","14305","","Plasmanyl-PS(40:4)+H",0,0,"5.07220555555556","5.37220555555556","14305","","Plasmanyl-PS(40:4)+H",0,0,"5.07220555555556","5.37220555555556","14305","","Plasmanyl-PS(40:4)+H",0,0,"5.07220555555556","5.37220555555556","14305","","Plasmanyl-PS(40:4)+H",0,0,"5.07220555555556","5.37220555555556","14305","","Plasmanyl-PS(40:4)+H","826.59572","641.58677","5.07220555555556","5.37220555555556","14305"
"","Plasmanyl-PS(40:5)+H",0,0,"4.9516","5.2516","2033","","Plasmanyl-PS(40:5)+H",0,0,"4.9516","5.2516","2033","","Plasmanyl-PS(40:5)+H",0,0,"4.9516","5.2516","2033","","Plasmanyl-PS(40:5)+H",0,0,"4.9516","5.2516","2033","","Plasmanyl-PS(40:5)+H",0,0,"4.9516","5.2516","2033","","Plasmanyl-PS(40:5)+H","824.58012","639.57117","4.9516","5.2516","2033"
"","Plasmanyl-PS(40:5)+H",0,0,"4.10132083333333","4.40132083333333","6007","","Plasmanyl-PS(40:5)+H",0,0,"4.10132083333333","4.40132083333333","6007","","Plasmanyl-PS(40:5)+H",0,0,"4.10132083333333","4.40132083333333","6007","","Plasmanyl-PS(40:5)+H",0,0,"4.10132083333333","4.40132083333333","6007","","Plasmanyl-PS(40:5)+H",0,0,"4.10132083333333","4.40132083333333","6007","","Plasmanyl-PS(40:5)+H","824.58012","639.57117","4.10132083333333","4.40132083333333","6007"
"","Plasmanyl-PS(40:5)+H",0,0,"3.35120555555556","3.65120555555556","14000","","Plasmanyl-PS(40:5)+H",0,0,"3.35120555555556","3.65120555555556","14000","","Plasmanyl-PS(40:5)+H",0,0,"3.35120555555556","3.65120555555556","14000","","Plasmanyl-PS(40:5)+H",0,0,"3.35120555555556","3.65120555555556","14000","","Plasmanyl-PS(40:5)+H",0,0,"3.35120555555556","3.65120555555556","14000","","Plasmanyl-PS(40:5)+H","824.58012","639.57117","3.35120555555556","3.65120555555556","14000"
