"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","RT at Max Intensity","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Number of Scans","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Max Intensity","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Average m/z","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment"
"","DGTS(31:1)+H",0,0,0,"8.287","8.587","15106","","DGTS(31:1)+H",0,0,0,"8.287","8.587","15106","","DGTS(31:1)+H",0,0,0,"8.287","8.587","15106","","DGTS(31:1)+H",0,0,0,"8.287","8.587","15106","","DGTS(31:1)+H",0,0,0,"8.287","8.587","15106","","DGTS(31:1)+H","696.5773","236.1492","144.1019","8.287","8.587","15106"
"","DGTS(32:0)+H",0,0,0,"10.1339347222222","10.4339347222222","9816","","DGTS(32:0)+H",0,0,0,"10.1339347222222","10.4339347222222","9816","","DGTS(32:0)+H",0,0,0,"10.1339347222222","10.4339347222222","9816","","DGTS(32:0)+H",0,0,0,"10.1339347222222","10.4339347222222","9816","","DGTS(32:0)+H",0,0,0,"10.1339347222222","10.4339347222222","9816","","DGTS(32:0)+H","712.6086","236.1492","144.1019","10.1339347222222","10.4339347222222","9816"
"","DGTS(32:1)+H",0,0,0,"9.34955972222222","9.64955972222222","6081","","DGTS(32:1)+H",0,0,0,"9.34955972222222","9.64955972222222","6081","","DGTS(32:1)+H",0,0,0,"9.34955972222222","9.64955972222222","6081","","DGTS(32:1)+H",0,0,0,"9.34955972222222","9.64955972222222","6081","","DGTS(32:1)+H",0,0,0,"9.34955972222222","9.64955972222222","6081","","DGTS(32:1)+H","710.593","236.1492","144.1019","9.34955972222222","9.64955972222222","6081"
"","DGTS(32:4)+H",0,0,0,"14.748925","15.048925","10583","","DGTS(32:4)+H",0,0,0,"14.748925","15.048925","10583","","DGTS(32:4)+H",0,0,0,"14.748925","15.048925","10583","","DGTS(32:4)+H",0,0,0,"14.748925","15.048925","10583","","DGTS(32:4)+H",0,0,0,"14.748925","15.048925","10583","","DGTS(32:4)+H","704.546","236.1492","144.1019","14.748925","15.048925","10583"
"","DGTS(34:0)+H",0,0,0,"9.79999027777778","10.0999902777778","6103","","DGTS(34:0)+H",0,0,0,"9.79999027777778","10.0999902777778","6103","","DGTS(34:0)+H",0,0,0,"9.79999027777778","10.0999902777778","6103","","DGTS(34:0)+H",0,0,0,"9.79999027777778","10.0999902777778","6103","","DGTS(34:0)+H",0,0,0,"9.79999027777778","10.0999902777778","6103","","DGTS(34:0)+H","740.6399","236.1492","144.1019","9.79999027777778","10.0999902777778","6103"
"","DGTS(36:1)+H",0,0,0,"9.78145","10.08145","2719","","DGTS(36:1)+H",0,0,0,"9.78145","10.08145","2719","","DGTS(36:1)+H",0,0,0,"9.78145","10.08145","2719","","DGTS(36:1)+H",0,0,0,"9.78145","10.08145","2719","","DGTS(36:1)+H",0,0,0,"9.78145","10.08145","2719","","DGTS(36:1)+H","766.6555","236.1492","144.1019","9.78145","10.08145","2719"
"","DGTS(36:2)+H",0,0,0,"9.09924722222222","9.39924722222222","3178","","DGTS(36:2)+H",0,0,0,"9.09924722222222","9.39924722222222","3178","","DGTS(36:2)+H",0,0,0,"9.09924722222222","9.39924722222222","3178","","DGTS(36:2)+H",0,0,0,"9.09924722222222","9.39924722222222","3178","","DGTS(36:2)+H",0,0,0,"9.09924722222222","9.39924722222222","3178","","DGTS(36:2)+H","764.6399","236.1492","144.1019","9.09924722222222","9.39924722222222","3178"
"","DGTS(37:0)+H",0,0,0,"11.9372861111111","12.2372861111111","5457","","DGTS(37:0)+H",0,0,0,"11.9372861111111","12.2372861111111","5457","","DGTS(37:0)+H",0,0,0,"11.9372861111111","12.2372861111111","5457","","DGTS(37:0)+H",0,0,0,"11.9372861111111","12.2372861111111","5457","","DGTS(37:0)+H",0,0,0,"11.9372861111111","12.2372861111111","5457","","DGTS(37:0)+H","782.6868","236.1492","144.1019","11.9372861111111","12.2372861111111","5457"
"","DGTS(37:1)+H",0,0,0,"10.2225347222222","10.5225347222222","5345","","DGTS(37:1)+H",0,0,0,"10.2225347222222","10.5225347222222","5345","","DGTS(37:1)+H",0,0,0,"10.2225347222222","10.5225347222222","5345","","DGTS(37:1)+H",0,0,0,"10.2225347222222","10.5225347222222","5345","","DGTS(37:1)+H",0,0,0,"10.2225347222222","10.5225347222222","5345","","DGTS(37:1)+H","780.6712","236.1492","144.1019","10.2225347222222","10.5225347222222","5345"
"","DGTS(37:1)+H",0,0,0,"11.2433611111111","11.5433611111111","6209","","DGTS(37:1)+H",0,0,0,"11.2433611111111","11.5433611111111","6209","","DGTS(37:1)+H",0,0,0,"11.2433611111111","11.5433611111111","6209","","DGTS(37:1)+H",0,0,0,"11.2433611111111","11.5433611111111","6209","","DGTS(37:1)+H",0,0,0,"11.2433611111111","11.5433611111111","6209","","DGTS(37:1)+H","780.6712","236.1492","144.1019","11.2433611111111","11.5433611111111","6209"
