"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-BDS","[M+HCO2]-","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment"
"","Cer-BDS(d22:0/38:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d22:0/38:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d22:0/38:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d22:0/38:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d22:0/38:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d22:0/38:2)+HCO2","960.8959","914.8904","398.364","366.3378","356.3534","295.3007","15.1107681818182","15.4107681818182","1559"
"","Cer-BDS(d23:0/19:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d23:0/19:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d23:0/19:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d23:0/19:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d23:0/19:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d23:0/19:0)+HCO2","712.6455","666.64","412.3796","380.3534","370.369","309.3163","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d23:0/19:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d23:0/19:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d23:0/19:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d23:0/19:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d23:0/19:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d23:0/19:1)+HCO2","710.6299","664.6244","412.3796","380.3534","370.369","309.3163","10.7806166666667","11.0806166666667","1422"
"","Cer-BDS(d24:0/18:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d24:0/18:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d24:0/18:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d24:0/18:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d24:0/18:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d24:0/18:0)+HCO2","712.6455","666.64","426.3953","394.369","384.3847","323.3319","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d24:0/18:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d24:0/18:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d24:0/18:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d24:0/18:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d24:0/18:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d24:0/18:1)+HCO2","710.6299","664.6244","426.3953","394.369","384.3847","323.3319","10.7806166666667","11.0806166666667","1422"
"","Cer-BDS(d24:0/36:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d24:0/36:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d24:0/36:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d24:0/36:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d24:0/36:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d24:0/36:2)+HCO2","960.8959","914.8904","426.3953","394.369","384.3847","323.3319","15.1107681818182","15.4107681818182","1559"
"","Cer-BDS(d25:0/17:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d25:0/17:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d25:0/17:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d25:0/17:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d25:0/17:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d25:0/17:0)+HCO2","712.6455","666.64","440.4109","408.3847","398.4004","337.3476","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d26:0/16:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d26:0/16:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d26:0/16:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d26:0/16:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d26:0/16:0)+HCO2",0,0,0,0,0,0,"10.6707424242424","10.9707424242424","1131","","Cer-BDS(d26:0/16:0)+HCO2","712.6455","666.64","454.4266","422.4004","412.416","351.3633","10.6707424242424","10.9707424242424","1131"
"","Cer-BDS(d26:0/16:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d26:0/16:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d26:0/16:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d26:0/16:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d26:0/16:1)+HCO2",0,0,0,0,0,0,"10.7806166666667","11.0806166666667","1422","","Cer-BDS(d26:0/16:1)+HCO2","710.6299","664.6244","454.4266","422.4004","412.416","351.3633","10.7806166666667","11.0806166666667","1422"
"","Cer-BDS(d26:0/34:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d26:0/34:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d26:0/34:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d26:0/34:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d26:0/34:2)+HCO2",0,0,0,0,0,0,"15.1107681818182","15.4107681818182","1559","","Cer-BDS(d26:0/34:2)+HCO2","960.8959","914.8904","454.4266","422.4004","412.416","351.3633","15.1107681818182","15.4107681818182","1559"
