"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-AP","[M+HCO2]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-AP","[M+HCO2]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Number of Scans","Cer-AP","[M+HCO2]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Max Intensity","Cer-AP","[M+HCO2]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Average m/z","Cer-AP","[M+HCO2]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-AP","[M+HCO2]-","[M-H]-","[FA+NC(C)CO-H]-","[FA+O-H]-","[FA-CO-3H]-","[Sph-NC(CO)CO-H]-","RT_min","RT_max","Comment"
"","Cer-AP(t15:2/28:1)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-AP(t15:2/28:1)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-AP(t15:2/28:1)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-AP(t15:2/28:1)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-AP(t15:2/28:1)+HCO2",0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-AP(t15:2/28:1)+HCO2","736.6091","690.6036","492.4411","437.4","391.3945","179.1431","10.5703878787879","10.8703878787879","306"
"","Cer-AP(t15:2/28:2)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer-AP(t15:2/28:2)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer-AP(t15:2/28:2)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer-AP(t15:2/28:2)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer-AP(t15:2/28:2)+HCO2",0,0,0,0,0,0,"10.2551090909091","10.5551090909091","171","","Cer-AP(t15:2/28:2)+HCO2","734.5935","688.588","490.4255","435.3844","389.3789","179.1431","10.2551090909091","10.5551090909091","171"
"","Cer-AP(t15:2/28:2)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer-AP(t15:2/28:2)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer-AP(t15:2/28:2)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer-AP(t15:2/28:2)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer-AP(t15:2/28:2)+HCO2",0,0,0,0,0,0,"10.0804848484848","10.3804848484848","4126","","Cer-AP(t15:2/28:2)+HCO2","734.5935","688.588","490.4255","435.3844","389.3789","179.1431","10.0804848484848","10.3804848484848","4126"
"","Cer-AP(t15:2/29:1)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-AP(t15:2/29:1)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-AP(t15:2/29:1)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-AP(t15:2/29:1)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-AP(t15:2/29:1)+HCO2",0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-AP(t15:2/29:1)+HCO2","750.6248","704.6193","506.4568","451.4157","405.4102","179.1431","11.0025560606061","11.3025560606061","394"
"","Cer-AP(t15:2/30:1)+HCO2",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-AP(t15:2/30:1)+HCO2",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-AP(t15:2/30:1)+HCO2",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-AP(t15:2/30:1)+HCO2",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-AP(t15:2/30:1)+HCO2",0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-AP(t15:2/30:1)+HCO2","764.6404","718.6349","520.4724","465.4313","419.4258","179.1431","11.4196181818182","11.7196181818182","210"
"","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"11.1295590909091","11.4295590909091","66","","Cer-AP(t15:2/30:2)+HCO2","762.6248","716.6193","518.4568","463.4157","417.4102","179.1431","11.1295590909091","11.4295590909091","66"
"","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"10.5101439393939","10.8101439393939","492","","Cer-AP(t15:2/30:2)+HCO2","762.6248","716.6193","518.4568","463.4157","417.4102","179.1431","10.5101439393939","10.8101439393939","492"
"","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer-AP(t15:2/30:2)+HCO2",0,0,0,0,0,0,"10.9706818181818","11.2706818181818","1958","","Cer-AP(t15:2/30:2)+HCO2","762.6248","716.6193","518.4568","463.4157","417.4102","179.1431","10.9706818181818","11.2706818181818","1958"
"","Cer-AP(t15:2/31:1)+HCO2",0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-AP(t15:2/31:1)+HCO2",0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-AP(t15:2/31:1)+HCO2",0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-AP(t15:2/31:1)+HCO2",0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-AP(t15:2/31:1)+HCO2",0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-AP(t15:2/31:1)+HCO2","778.6561","732.6506","534.4881","479.447","433.4415","179.1431","11.6581515151515","11.9581515151515","2922"
"","Cer-AP(t15:2/31:1)+HCO2",0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-AP(t15:2/31:1)+HCO2",0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-AP(t15:2/31:1)+HCO2",0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-AP(t15:2/31:1)+HCO2",0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-AP(t15:2/31:1)+HCO2",0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-AP(t15:2/31:1)+HCO2","778.6561","732.6506","534.4881","479.447","433.4415","179.1431","11.8050363636364","12.1050363636364","2984"
