"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","RT at Max Intensity","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Number of Scans","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Max Intensity","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Average m/z","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","HexCer-NS","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment"
"","HexCer-NS(d15:2/23:0)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d15:2/23:0)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d15:2/23:0)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d15:2/23:0)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d15:2/23:0)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d15:2/23:0)-H","752.6041","590.5512","378.3736","335.3557","193.1598","179.0556","9.75611666666666","10.0561166666667","871"
"","HexCer-NS(d15:2/24:0)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d15:2/24:0)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d15:2/24:0)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d15:2/24:0)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d15:2/24:0)-H",0,0,0,0,0,0,"10.2335636363636","10.5335636363636","1362","","HexCer-NS(d15:2/24:0)-H","766.6197","604.5669","392.3893","349.3714","193.1598","179.0556","10.2335636363636","10.5335636363636","1362"
"","HexCer-NS(d15:2/25:0)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d15:2/25:0)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d15:2/25:0)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d15:2/25:0)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d15:2/25:0)-H",0,0,0,0,0,0,"10.6655606060606","10.9655606060606","477","","HexCer-NS(d15:2/25:0)-H","780.6354","618.5825","406.4049","363.3871","193.1598","179.0556","10.6655606060606","10.9655606060606","477"
"","HexCer-NS(d15:2/25:1)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d15:2/25:1)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d15:2/25:1)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d15:2/25:1)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d15:2/25:1)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d15:2/25:1)-H","778.6197","616.5669","404.3893","361.3714","193.1598","179.0556","10.7871","11.0871","653"
"","HexCer-NS(d15:2/25:1)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d15:2/25:1)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d15:2/25:1)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d15:2/25:1)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d15:2/25:1)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d15:2/25:1)-H","778.6197","616.5669","404.3893","361.3714","193.1598","179.0556","9.71061666666667","10.0106166666667","1150"
"","HexCer-NS(d15:2/27:0)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NS(d15:2/27:0)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NS(d15:2/27:0)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NS(d15:2/27:0)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NS(d15:2/27:0)-H",0,0,0,0,0,0,"11.4915318181818","11.7915318181818","3156","","HexCer-NS(d15:2/27:0)-H","808.6666","646.6138","434.4362","391.4183","193.1598","179.0556","11.4915318181818","11.7915318181818","3156"
"","HexCer-NS(d15:2/30:2)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","HexCer-NS(d15:2/30:2)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","HexCer-NS(d15:2/30:2)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","HexCer-NS(d15:2/30:2)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","HexCer-NS(d15:2/30:2)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","HexCer-NS(d15:2/30:2)-H","846.6823","684.6295","472.4518","429.434","193.1598","179.0556","9.9384351851852","10.2384351851852","1337"
"","HexCer-NS(d15:2/32:2)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","HexCer-NS(d15:2/32:2)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","HexCer-NS(d15:2/32:2)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","HexCer-NS(d15:2/32:2)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","HexCer-NS(d15:2/32:2)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","HexCer-NS(d15:2/32:2)-H","874.7136","712.6608","500.4832","457.4653","193.1598","179.0556","10.6824045454545","10.9824045454545","4200"
"","HexCer-NS(d15:3/25:0)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d15:3/25:0)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d15:3/25:0)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d15:3/25:0)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d15:3/25:0)-H",0,0,0,0,0,0,"10.7871","11.0871","653","","HexCer-NS(d15:3/25:0)-H","778.6197","616.5669","406.4049","363.3871","191.1441","179.0556","10.7871","11.0871","653"
"","HexCer-NS(d15:3/25:0)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d15:3/25:0)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d15:3/25:0)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d15:3/25:0)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d15:3/25:0)-H",0,0,0,0,0,0,"9.71061666666667","10.0106166666667","1150","","HexCer-NS(d15:3/25:0)-H","778.6197","616.5669","406.4049","363.3871","191.1441","179.0556","9.71061666666667","10.0106166666667","1150"
"","HexCer-NS(d15:3/30:1)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","HexCer-NS(d15:3/30:1)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","HexCer-NS(d15:3/30:1)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","HexCer-NS(d15:3/30:1)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","HexCer-NS(d15:3/30:1)-H",0,0,0,0,0,0,"9.9384351851852","10.2384351851852","1337","","HexCer-NS(d15:3/30:1)-H","846.6823","684.6295","474.4675","431.4496","191.1441","179.0556","9.9384351851852","10.2384351851852","1337"
"","HexCer-NS(d15:3/30:2)-H",0,0,0,0,0,0,"8.67744696969697","8.97744696969697","1978","","HexCer-NS(d15:3/30:2)-H",0,0,0,0,0,0,"8.67744696969697","8.97744696969697","1978","","HexCer-NS(d15:3/30:2)-H",0,0,0,0,0,0,"8.67744696969697","8.97744696969697","1978","","HexCer-NS(d15:3/30:2)-H",0,0,0,0,0,0,"8.67744696969697","8.97744696969697","1978","","HexCer-NS(d15:3/30:2)-H",0,0,0,0,0,0,"8.67744696969697","8.97744696969697","1978","","HexCer-NS(d15:3/30:2)-H","844.6666","682.6138","472.4518","429.434","191.1441","179.0556","8.67744696969697","8.97744696969697","1978"
"","HexCer-NS(d15:3/32:1)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","HexCer-NS(d15:3/32:1)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","HexCer-NS(d15:3/32:1)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","HexCer-NS(d15:3/32:1)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","HexCer-NS(d15:3/32:1)-H",0,0,0,0,0,0,"10.6824045454545","10.9824045454545","4200","","HexCer-NS(d15:3/32:1)-H","874.7136","712.6608","502.4988","459.481","191.1441","179.0556","10.6824045454545","10.9824045454545","4200"
"","HexCer-NS(d16:1/22:1)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d16:1/22:1)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d16:1/22:1)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d16:1/22:1)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d16:1/22:1)-H",0,0,0,0,0,0,"9.75611666666666","10.0561166666667","871","","HexCer-NS(d16:1/22:1)-H","752.6041","590.5512","362.3423","319.3245","209.1911","179.0556","9.75611666666666","10.0561166666667","871"
