"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Number of Scans","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Max Intensity","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Average m/z","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M-H]-","FA SN2","FA SN2-H2O","FA SN2-2H2O","FA SN1","C5H11NO5P","RT_min","RT_max","Comment"
"","OxPE(18:0_22:5(2O))-H",1,0,0,0,0,0,"4.46556363636364","4.76556363636364","532","","OxPE(18:0_22:5(2O))-H",4.639425,0,0,0,0,0,"4.46556363636364","4.76556363636364","532","","OxPE(18:0_22:5(2O))-H",1,0,0,0,0,0,"4.46556363636364","4.76556363636364","532","","OxPE(18:0_22:5(2O))-H",2056.898,0,0,0,0,0,"4.46556363636364","4.76556363636364","532","","OxPE(18:0_22:5(2O))-H",824.5461,0,0,0,0,0,"4.46556363636364","4.76556363636364","532","","OxPE(18:0_22:5(2O))-H","824.5442","361.2384","343.2279","325.2173","283.2635","196.038","4.46556363636364","4.76556363636364","532"
"","OxPE(18:0_22:6(2O))-H",0,0,0,0,0,0,"5.82562272727273","6.12562272727273","1568","","OxPE(18:0_22:6(2O))-H",0,0,0,0,0,0,"5.82562272727273","6.12562272727273","1568","","OxPE(18:0_22:6(2O))-H",0,0,0,0,0,0,"5.82562272727273","6.12562272727273","1568","","OxPE(18:0_22:6(2O))-H",0,0,0,0,0,0,"5.82562272727273","6.12562272727273","1568","","OxPE(18:0_22:6(2O))-H",0,0,0,0,0,0,"5.82562272727273","6.12562272727273","1568","","OxPE(18:0_22:6(2O))-H","822.5285","359.2228","341.2122","323.2017","283.2635","196.038","5.82562272727273","6.12562272727273","1568"
"","OxPE(18:0_22:6(2O))-H",0,0,0,0,0,0,"4.00810151515151","4.30810151515151","3225","","OxPE(18:0_22:6(2O))-H",0,0,0,0,0,0,"4.00810151515151","4.30810151515151","3225","","OxPE(18:0_22:6(2O))-H",0,0,0,0,0,0,"4.00810151515151","4.30810151515151","3225","","OxPE(18:0_22:6(2O))-H",0,0,0,0,0,0,"4.00810151515151","4.30810151515151","3225","","OxPE(18:0_22:6(2O))-H",0,0,0,0,0,0,"4.00810151515151","4.30810151515151","3225","","OxPE(18:0_22:6(2O))-H","822.5285","359.2228","341.2122","323.2017","283.2635","196.038","4.00810151515151","4.30810151515151","3225"
"","OxPE(18:1_18:0(2O))-H",1,0,0,0,1,0,"5.97987878787879","6.27987878787879","160","","OxPE(18:1_18:0(2O))-H",6.165564,0,0,0,6.165564,0,"5.97987878787879","6.27987878787879","160","","OxPE(18:1_18:0(2O))-H",1,0,0,0,1,0,"5.97987878787879","6.27987878787879","160","","OxPE(18:1_18:0(2O))-H",7300.446,0,0,0,24297.01,0,"5.97987878787879","6.27987878787879","160","","OxPE(18:1_18:0(2O))-H",776.5465,0,0,0,281.2487,0,"5.97987878787879","6.27987878787879","160","","OxPE(18:1_18:0(2O))-H","776.5442","315.2541","297.2435","279.233","281.2479","196.038","5.97987878787879","6.27987878787879","160"
"","OxPE(18:1_18:0(2O))-H",1,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","OxPE(18:1_18:0(2O))-H",8.003457,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","OxPE(18:1_18:0(2O))-H",1,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","OxPE(18:1_18:0(2O))-H",55092.88,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","OxPE(18:1_18:0(2O))-H",776.5453,0,0,0,0,0,"7.8329303030303","8.1329303030303","782","","OxPE(18:1_18:0(2O))-H","776.5442","315.2541","297.2435","279.233","281.2479","196.038","7.8329303030303","8.1329303030303","782"
"","OxPE(18:1_18:0(2O))-H",1,0,0,0,1,0,"6.10964166666667","6.40964166666667","2194","","OxPE(18:1_18:0(2O))-H",6.165564,0,0,0,6.165564,0,"6.10964166666667","6.40964166666667","2194","","OxPE(18:1_18:0(2O))-H",1,0,0,0,1,0,"6.10964166666667","6.40964166666667","2194","","OxPE(18:1_18:0(2O))-H",7300.446,0,0,0,24297.01,0,"6.10964166666667","6.40964166666667","2194","","OxPE(18:1_18:0(2O))-H",776.5465,0,0,0,281.2487,0,"6.10964166666667","6.40964166666667","2194","","OxPE(18:1_18:0(2O))-H","776.5442","315.2541","297.2435","279.233","281.2479","196.038","6.10964166666667","6.40964166666667","2194"
"","OxPE(18:1_18:1(2O))-H",1,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","OxPE(18:1_18:1(2O))-H",5.170068,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","OxPE(18:1_18:1(2O))-H",1,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","OxPE(18:1_18:1(2O))-H",6730.892,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","OxPE(18:1_18:1(2O))-H",774.5306,0,0,0,0,0,"4.99847121212121","5.29847121212121","226","","OxPE(18:1_18:1(2O))-H","774.5285","313.2384","295.2279","277.2173","281.2479","196.038","4.99847121212121","5.29847121212121","226"
"","OxPE(18:1_18:2(2O))-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(18:1_18:2(2O))-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(18:1_18:2(2O))-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(18:1_18:2(2O))-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(18:1_18:2(2O))-H",0,0,0,0,0,0,"5.93952727272727","6.23952727272727","902","","OxPE(18:1_18:2(2O))-H","772.5129","311.2228","293.2122","275.2017","281.2479","196.038","5.93952727272727","6.23952727272727","902"
"","OxPE(18:1_20:3(2O))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:1_20:3(2O))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:1_20:3(2O))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:1_20:3(2O))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:1_20:3(2O))-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","OxPE(18:1_20:3(2O))-H","798.5285","337.2384","319.2279","301.2173","281.2479","196.038","4.7790303030303","5.0790303030303","844"
"","OxPE(18:1_20:3(2O))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:1_20:3(2O))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:1_20:3(2O))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:1_20:3(2O))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:1_20:3(2O))-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","OxPE(18:1_20:3(2O))-H","798.5285","337.2384","319.2279","301.2173","281.2479","196.038","6.00865757575758","6.30865757575758","1893"
"","OxPE(18:1_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:1_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:1_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:1_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:1_20:3(2O(1Cyc)))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:1_20:3(2O(1Cyc)))-H","796.5129","335.2228","317.2122","0.01","281.2479","196.038","5.74913636363636","6.04913636363636","976"
"","OxPE(18:1_20:4(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:1_20:4(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:1_20:4(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:1_20:4(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:1_20:4(2O))-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","OxPE(18:1_20:4(2O))-H","796.5129","335.2228","317.2122","299.2017","281.2479","196.038","5.74913636363636","6.04913636363636","976"
"","OxPE(18:1_22:5(1O(1Cyc)))-H",0,0,0,0,0,0,"5.89958636363636","6.19958636363636","918","","OxPE(18:1_22:5(1O(1Cyc)))-H",0,0,0,0,0,0,"5.89958636363636","6.19958636363636","918","","OxPE(18:1_22:5(1O(1Cyc)))-H",0,0,0,0,0,0,"5.89958636363636","6.19958636363636","918","","OxPE(18:1_22:5(1O(1Cyc)))-H",0,0,0,0,0,0,"5.89958636363636","6.19958636363636","918","","OxPE(18:1_22:5(1O(1Cyc)))-H",0,0,0,0,0,0,"5.89958636363636","6.19958636363636","918","","OxPE(18:1_22:5(1O(1Cyc)))-H","804.5179","343.2279","0.01","0.01","281.2479","196.038","5.89958636363636","6.19958636363636","918"
"","OxPE(18:1_22:5(2O))-H",0,0,0,0,0,0,"5.82562272727273","6.12562272727273","1568","","OxPE(18:1_22:5(2O))-H",0,0,0,0,0,0,"5.82562272727273","6.12562272727273","1568","","OxPE(18:1_22:5(2O))-H",0,0,0,0,0,0,"5.82562272727273","6.12562272727273","1568","","OxPE(18:1_22:5(2O))-H",0,0,0,0,0,0,"5.82562272727273","6.12562272727273","1568","","OxPE(18:1_22:5(2O))-H",0,0,0,0,0,0,"5.82562272727273","6.12562272727273","1568","","OxPE(18:1_22:5(2O))-H","822.5285","361.2384","343.2279","325.2173","281.2479","196.038","5.82562272727273","6.12562272727273","1568"
"","OxPE(18:1_22:5(2O))-H",0,0,0,0,0,0,"4.00810151515151","4.30810151515151","3225","","OxPE(18:1_22:5(2O))-H",0,0,0,0,0,0,"4.00810151515151","4.30810151515151","3225","","OxPE(18:1_22:5(2O))-H",0,0,0,0,0,0,"4.00810151515151","4.30810151515151","3225","","OxPE(18:1_22:5(2O))-H",0,0,0,0,0,0,"4.00810151515151","4.30810151515151","3225","","OxPE(18:1_22:5(2O))-H",0,0,0,0,0,0,"4.00810151515151","4.30810151515151","3225","","OxPE(18:1_22:5(2O))-H","822.5285","361.2384","343.2279","325.2173","281.2479","196.038","4.00810151515151","4.30810151515151","3225"
"","OxPE(18:1_22:6(1O))-H",0,0,0,0,0,0,"5.89958636363636","6.19958636363636","918","","OxPE(18:1_22:6(1O))-H",0,0,0,0,0,0,"5.89958636363636","6.19958636363636","918","","OxPE(18:1_22:6(1O))-H",0,0,0,0,0,0,"5.89958636363636","6.19958636363636","918","","OxPE(18:1_22:6(1O))-H",0,0,0,0,0,0,"5.89958636363636","6.19958636363636","918","","OxPE(18:1_22:6(1O))-H",0,0,0,0,0,0,"5.89958636363636","6.19958636363636","918","","OxPE(18:1_22:6(1O))-H","804.5179","343.2279","325.2173","0.01","281.2479","196.038","5.89958636363636","6.19958636363636","918"
"","OxPE(18:1_22:6(2O))-H",0,0,0,0,0,0,"5.43825606060606","5.73825606060606","894","","OxPE(18:1_22:6(2O))-H",0,0,0,0,0,0,"5.43825606060606","5.73825606060606","894","","OxPE(18:1_22:6(2O))-H",0,0,0,0,0,0,"5.43825606060606","5.73825606060606","894","","OxPE(18:1_22:6(2O))-H",0,0,0,0,0,0,"5.43825606060606","5.73825606060606","894","","OxPE(18:1_22:6(2O))-H",0,0,0,0,0,0,"5.43825606060606","5.73825606060606","894","","OxPE(18:1_22:6(2O))-H","820.5129","359.2228","341.2122","323.2017","281.2479","196.038","5.43825606060606","5.73825606060606","894"
