"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Number of Scans","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Max Intensity","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Average m/z","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-EOS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment"
"","Cer-EOS(d14:1/17:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EOS(d14:1/17:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EOS(d14:1/17:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EOS(d14:1/17:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EOS(d14:1/17:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EOS(d14:1/17:0-O-14:1)+HCO2","764.6404","718.6349","510.4522","310.2751","225.186","284.2595","181.1598","11.4196181818182","11.7196181818182","210"
"","Cer-EOS(d14:1/18:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EOS(d14:1/18:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EOS(d14:1/18:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EOS(d14:1/18:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EOS(d14:1/18:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EOS(d14:1/18:0-O-14:1)+HCO2","778.6561","732.6506","524.4679","324.2908","225.186","298.2751","181.1598","11.6581515151515","11.9581515151515","2922"
"","Cer-EOS(d14:1/18:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EOS(d14:1/18:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EOS(d14:1/18:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EOS(d14:1/18:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EOS(d14:1/18:0-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EOS(d14:1/18:0-O-14:1)+HCO2","778.6561","732.6506","524.4679","324.2908","225.186","298.2751","181.1598","11.8050363636364","12.1050363636364","2984"
"","Cer-EOS(d14:1/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EOS(d14:1/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EOS(d14:1/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EOS(d14:1/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EOS(d14:1/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EOS(d14:1/18:1-O-14:1)+HCO2","776.6404","730.6349","522.4522","322.2751","225.186","296.2595","181.1598","11.3751787878788","11.6751787878788","222"
"","Cer-EOS(d14:1/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EOS(d14:1/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EOS(d14:1/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EOS(d14:1/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EOS(d14:1/18:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.5348393939394","11.8348393939394","2693","","Cer-EOS(d14:1/18:1-O-14:1)+HCO2","776.6404","730.6349","522.4522","322.2751","225.186","296.2595","181.1598","11.5348393939394","11.8348393939394","2693"
"","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.4545833333333","10.7545833333333","731","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.4545833333333","10.7545833333333","731","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.4545833333333","10.7545833333333","731","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.4545833333333","10.7545833333333","731","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.4545833333333","10.7545833333333","731","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2","774.6248","728.6193","520.4366","320.2595","225.186","294.2439","181.1598","10.4545833333333","10.7545833333333","731"
"","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6131439393939","10.9131439393939","2865","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6131439393939","10.9131439393939","2865","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6131439393939","10.9131439393939","2865","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6131439393939","10.9131439393939","2865","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.6131439393939","10.9131439393939","2865","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2","774.6248","728.6193","520.4366","320.2595","225.186","294.2439","181.1598","10.6131439393939","10.9131439393939","2865"
"","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.7806181818182","11.0806181818182","2915","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.7806181818182","11.0806181818182","2915","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.7806181818182","11.0806181818182","2915","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.7806181818182","11.0806181818182","2915","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2",0,0,0,0,0,0,0,"10.7806181818182","11.0806181818182","2915","","Cer-EOS(d14:1/18:2-O-14:1)+HCO2","774.6248","728.6193","520.4366","320.2595","225.186","294.2439","181.1598","10.7806181818182","11.0806181818182","2915"
"","Cer-EOS(d14:1/19:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.9250136363636","12.2250136363636","586","","Cer-EOS(d14:1/19:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.9250136363636","12.2250136363636","586","","Cer-EOS(d14:1/19:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.9250136363636","12.2250136363636","586","","Cer-EOS(d14:1/19:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.9250136363636","12.2250136363636","586","","Cer-EOS(d14:1/19:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.9250136363636","12.2250136363636","586","","Cer-EOS(d14:1/19:1-O-14:1)+HCO2","790.6561","744.6506","536.4679","336.2908","225.186","310.2751","181.1598","11.9250136363636","12.2250136363636","586"
"","Cer-EOS(d14:1/19:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.7702621212121","12.0702621212121","3066","","Cer-EOS(d14:1/19:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.7702621212121","12.0702621212121","3066","","Cer-EOS(d14:1/19:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.7702621212121","12.0702621212121","3066","","Cer-EOS(d14:1/19:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.7702621212121","12.0702621212121","3066","","Cer-EOS(d14:1/19:1-O-14:1)+HCO2",0,0,0,0,0,0,0,"11.7702621212121","12.0702621212121","3066","","Cer-EOS(d14:1/19:1-O-14:1)+HCO2","790.6561","744.6506","536.4679","336.2908","225.186","310.2751","181.1598","11.7702621212121","12.0702621212121","3066"
