"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","RT at Max Intensity","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Number of Scans","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Max Intensity","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Average m/z","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","FAHFA","[M-H]-","[HFA-H]-","[HFA-H-H2O]-","[FA-H]-","RT_min","RT_max","Comment"
"","FAHFA(6:0/13:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(6:0/13:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(6:0/13:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(6:0/13:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(6:0/13:0)-H",0,0,0,0,"1.83388181818182","2.13388181818182","2119","","FAHFA(6:0/13:0)-H","327.2541","229.1809","211.1703","115.0764","1.83388181818182","2.13388181818182","2119"
"","FAHFA(6:0/13:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(6:0/13:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(6:0/13:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(6:0/13:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(6:0/13:1)-H",0,0,0,0,"1.36632575757576","1.66632575757576","2882","","FAHFA(6:0/13:1)-H","325.2384","227.1653","209.1547","115.0764","1.36632575757576","1.66632575757576","2882"
"","FAHFA(6:0/20:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(6:0/20:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(6:0/20:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(6:0/20:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(6:0/20:0)-H",0,0,0,0,"2.17962575757576","2.47962575757576","1277","","FAHFA(6:0/20:0)-H","425.3636","327.2905","309.2799","115.0764","2.17962575757576","2.47962575757576","1277"
"","FAHFA(6:0/21:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(6:0/21:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(6:0/21:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(6:0/21:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(6:0/21:0)-H",0,0,0,0,"1.72563787878788","2.02563787878788","4178","","FAHFA(6:0/21:0)-H","439.3793","341.3061","323.2956","115.0764","1.72563787878788","2.02563787878788","4178"
"","FAHFA(6:0/22:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(6:0/22:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(6:0/22:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(6:0/22:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(6:0/22:2)-H",0,0,0,0,"2.09649242424242","2.39649242424242","1686","","FAHFA(6:0/22:2)-H","449.3636","351.2905","333.2799","115.0764","2.09649242424242","2.39649242424242","1686"
"","FAHFA(6:0/22:3)-H",0,0,0,0,"2.24880303030303","2.54880303030303","3086","","FAHFA(6:0/22:3)-H",0,0,0,0,"2.24880303030303","2.54880303030303","3086","","FAHFA(6:0/22:3)-H",0,0,0,0,"2.24880303030303","2.54880303030303","3086","","FAHFA(6:0/22:3)-H",0,0,0,0,"2.24880303030303","2.54880303030303","3086","","FAHFA(6:0/22:3)-H",0,0,0,0,"2.24880303030303","2.54880303030303","3086","","FAHFA(6:0/22:3)-H","447.348","349.2748","331.2643","115.0764","2.24880303030303","2.54880303030303","3086"
"","FAHFA(6:0/22:3)-H",0,0,0,0,"1.81304090909091","2.11304090909091","3509","","FAHFA(6:0/22:3)-H",0,0,0,0,"1.81304090909091","2.11304090909091","3509","","FAHFA(6:0/22:3)-H",0,0,0,0,"1.81304090909091","2.11304090909091","3509","","FAHFA(6:0/22:3)-H",0,0,0,0,"1.81304090909091","2.11304090909091","3509","","FAHFA(6:0/22:3)-H",0,0,0,0,"1.81304090909091","2.11304090909091","3509","","FAHFA(6:0/22:3)-H","447.348","349.2748","331.2643","115.0764","1.81304090909091","2.11304090909091","3509"
"","FAHFA(6:0/22:3)-H",0,0,0,0,"1.93801666666667","2.23801666666667","3544","","FAHFA(6:0/22:3)-H",0,0,0,0,"1.93801666666667","2.23801666666667","3544","","FAHFA(6:0/22:3)-H",0,0,0,0,"1.93801666666667","2.23801666666667","3544","","FAHFA(6:0/22:3)-H",0,0,0,0,"1.93801666666667","2.23801666666667","3544","","FAHFA(6:0/22:3)-H",0,0,0,0,"1.93801666666667","2.23801666666667","3544","","FAHFA(6:0/22:3)-H","447.348","349.2748","331.2643","115.0764","1.93801666666667","2.23801666666667","3544"
"","FAHFA(6:0/22:4)-H",1,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(6:0/22:4)-H",1.860396,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(6:0/22:4)-H",1,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(6:0/22:4)-H",56801.45,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(6:0/22:4)-H",445.3327,0,0,0,"1.69611212121212","1.99611212121212","638","","FAHFA(6:0/22:4)-H","445.3323","347.2592","329.2486","115.0764","1.69611212121212","1.99611212121212","638"
"","FAHFA(6:0/22:4)-H",1,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(6:0/22:4)-H",1.860396,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(6:0/22:4)-H",1,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(6:0/22:4)-H",56801.45,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(6:0/22:4)-H",445.3327,0,0,0,"1.61559393939394","1.91559393939394","2790","","FAHFA(6:0/22:4)-H","445.3323","347.2592","329.2486","115.0764","1.61559393939394","1.91559393939394","2790"
