"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment","RT at Max Intensity","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment","Number of Scans","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment","Max Intensity","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment","Average m/z","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","ether-OxPE","[M-H]-","[M-H]-SN2 acyl chain","FA SN2","FA SN2-H2O","FA SN2-2H2O","RT_min","RT_max","Comment"
"","OxPE(18:0e/18:1(3O))-H",1,0,0,0,0,"7.07521363636364","7.37521363636364","654","","OxPE(18:0e/18:1(3O))-H",7.238242,0,0,0,0,"7.07521363636364","7.37521363636364","654","","OxPE(18:0e/18:1(3O))-H",1,0,0,0,0,"7.07521363636364","7.37521363636364","654","","OxPE(18:0e/18:1(3O))-H",10895.04,0,0,0,0,"7.07521363636364","7.37521363636364","654","","OxPE(18:0e/18:1(3O))-H",778.5616,0,0,0,0,"7.07521363636364","7.37521363636364","654","","OxPE(18:0e/18:1(3O))-H","778.5598","466.3298","329.2333","311.2228","293.2122","7.07521363636364","7.37521363636364","654"
"","OxPE(18:0e/18:2(1O))-H",1,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","OxPE(18:0e/18:2(1O))-H",8.71849,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","OxPE(18:0e/18:2(1O))-H",1,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","OxPE(18:0e/18:2(1O))-H",17193.23,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","OxPE(18:0e/18:2(1O))-H",744.5564,0,0,0,0,"8.54963333333333","8.84963333333333","1115","","OxPE(18:0e/18:2(1O))-H","744.5543","466.3298","295.2279","277.2173","0.01","8.54963333333333","8.84963333333333","1115"
"","OxPE(18:0e/18:3(1O))-H",1,0,0,0,0,"7.6800106060606","7.9800106060606","773","","OxPE(18:0e/18:3(1O))-H",7.870355,0,0,0,0,"7.6800106060606","7.9800106060606","773","","OxPE(18:0e/18:3(1O))-H",1,0,0,0,0,"7.6800106060606","7.9800106060606","773","","OxPE(18:0e/18:3(1O))-H",35126.13,0,0,0,0,"7.6800106060606","7.9800106060606","773","","OxPE(18:0e/18:3(1O))-H",742.5406,0,0,0,0,"7.6800106060606","7.9800106060606","773","","OxPE(18:0e/18:3(1O))-H","742.5387","466.3298","293.2122","275.2017","0.01","7.6800106060606","7.9800106060606","773"
"","OxPE(18:0e/20:3(2O))-H",1,0,0,0,0,"6.72870454545455","7.02870454545455","554","","OxPE(18:0e/20:3(2O))-H",6.916239,0,0,0,0,"6.72870454545455","7.02870454545455","554","","OxPE(18:0e/20:3(2O))-H",1,0,0,0,0,"6.72870454545455","7.02870454545455","554","","OxPE(18:0e/20:3(2O))-H",3644.318,0,0,0,0,"6.72870454545455","7.02870454545455","554","","OxPE(18:0e/20:3(2O))-H",786.567,0,0,0,0,"6.72870454545455","7.02870454545455","554","","OxPE(18:0e/20:3(2O))-H","786.5649","466.3298","337.2384","319.2279","301.2173","6.72870454545455","7.02870454545455","554"
"","OxPE(18:0e/20:3(3O))-H",1,0,0,0,0,"6.24482727272727","6.54482727272727","70","","OxPE(18:0e/20:3(3O))-H",6.367817,0,0,0,0,"6.24482727272727","6.54482727272727","70","","OxPE(18:0e/20:3(3O))-H",2,0,0,0,0,"6.24482727272727","6.54482727272727","70","","OxPE(18:0e/20:3(3O))-H",124890,0,0,0,0,"6.24482727272727","6.54482727272727","70","","OxPE(18:0e/20:3(3O))-H",802.56105,0,0,0,0,"6.24482727272727","6.54482727272727","70","","OxPE(18:0e/20:3(3O))-H","802.5598","466.3298","353.2333","335.2228","317.2122","6.24482727272727","6.54482727272727","70"
"","OxPE(18:0e/20:3(4O(1Cyc)))-H",0,0,0,0,0,"4.95413939393939","5.25413939393939","989","","OxPE(18:0e/20:3(4O(1Cyc)))-H",0,0,0,0,0,"4.95413939393939","5.25413939393939","989","","OxPE(18:0e/20:3(4O(1Cyc)))-H",0,0,0,0,0,"4.95413939393939","5.25413939393939","989","","OxPE(18:0e/20:3(4O(1Cyc)))-H",0,0,0,0,0,"4.95413939393939","5.25413939393939","989","","OxPE(18:0e/20:3(4O(1Cyc)))-H",0,0,0,0,0,"4.95413939393939","5.25413939393939","989","","OxPE(18:0e/20:3(4O(1Cyc)))-H","818.5547","466.3298","369.2283","351.2177","333.2072","4.95413939393939","5.25413939393939","989"
"","OxPE(18:0e/20:3(4O(1Cyc)))-H",0,0,0,0,0,"2.8667","3.1667","3179","","OxPE(18:0e/20:3(4O(1Cyc)))-H",0,0,0,0,0,"2.8667","3.1667","3179","","OxPE(18:0e/20:3(4O(1Cyc)))-H",0,0,0,0,0,"2.8667","3.1667","3179","","OxPE(18:0e/20:3(4O(1Cyc)))-H",0,0,0,0,0,"2.8667","3.1667","3179","","OxPE(18:0e/20:3(4O(1Cyc)))-H",0,0,0,0,0,"2.8667","3.1667","3179","","OxPE(18:0e/20:3(4O(1Cyc)))-H","818.5547","466.3298","369.2283","351.2177","333.2072","2.8667","3.1667","3179"
"","OxPE(18:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"7.51369545454545","7.81369545454545","835","","OxPE(18:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"7.51369545454545","7.81369545454545","835","","OxPE(18:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"7.51369545454545","7.81369545454545","835","","OxPE(18:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"7.51369545454545","7.81369545454545","835","","OxPE(18:0e/20:4(1O(1Cyc)))-H",0,0,0,0,0,"7.51369545454545","7.81369545454545","835","","OxPE(18:0e/20:4(1O(1Cyc)))-H","766.5387","466.3298","317.2122","0.01","0.01","7.51369545454545","7.81369545454545","835"
"","OxPE(18:0e/20:4(3O))-H",1,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0e/20:4(3O))-H",5.500496,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0e/20:4(3O))-H",2,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0e/20:4(3O))-H",9038.361,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0e/20:4(3O))-H",800.54545,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0e/20:4(3O))-H","800.5442","466.3298","351.2177","333.2072","315.1966","5.38637727272727","5.68637727272727","185"
"","OxPE(18:0e/20:4(3O))-H",1,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0e/20:4(3O))-H",5.235445,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0e/20:4(3O))-H",2,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0e/20:4(3O))-H",8043.59,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0e/20:4(3O))-H",800.54535,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0e/20:4(3O))-H","800.5442","466.3298","351.2177","333.2072","315.1966","5.13399242424242","5.43399242424242","191"
"","OxPE(18:0e/20:4(3O))-H",1,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0e/20:4(3O))-H",5.76282,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0e/20:4(3O))-H",2,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0e/20:4(3O))-H",7286.93,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0e/20:4(3O))-H",800.54575,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0e/20:4(3O))-H","800.5442","466.3298","351.2177","333.2072","315.1966","5.5910696969697","5.8910696969697","244"
"","OxPE(18:0e/20:4(3O(2Cyc)))-H",1,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0e/20:4(3O(2Cyc)))-H",5.500496,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0e/20:4(3O(2Cyc)))-H",2,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0e/20:4(3O(2Cyc)))-H",9038.361,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0e/20:4(3O(2Cyc)))-H",800.54545,0,0,0,0,"5.38637727272727","5.68637727272727","185","","OxPE(18:0e/20:4(3O(2Cyc)))-H","800.5442","466.3298","351.2177","333.2072","0.01","5.38637727272727","5.68637727272727","185"
"","OxPE(18:0e/20:4(3O(2Cyc)))-H",1,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0e/20:4(3O(2Cyc)))-H",5.235445,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0e/20:4(3O(2Cyc)))-H",2,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0e/20:4(3O(2Cyc)))-H",8043.59,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0e/20:4(3O(2Cyc)))-H",800.54535,0,0,0,0,"5.13399242424242","5.43399242424242","191","","OxPE(18:0e/20:4(3O(2Cyc)))-H","800.5442","466.3298","351.2177","333.2072","0.01","5.13399242424242","5.43399242424242","191"
"","OxPE(18:0e/20:4(3O(2Cyc)))-H",1,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0e/20:4(3O(2Cyc)))-H",5.76282,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0e/20:4(3O(2Cyc)))-H",2,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0e/20:4(3O(2Cyc)))-H",7286.93,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0e/20:4(3O(2Cyc)))-H",800.54575,0,0,0,0,"5.5910696969697","5.8910696969697","244","","OxPE(18:0e/20:4(3O(2Cyc)))-H","800.5442","466.3298","351.2177","333.2072","0.01","5.5910696969697","5.8910696969697","244"
