"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Number of Scans","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Max Intensity","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Average m/z","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-EODS","[M+HCO2]-","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment"
"","Cer-EODS(d14:0/18:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.9250136363636","12.2250136363636","586","","Cer-EODS(d14:0/18:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.9250136363636","12.2250136363636","586","","Cer-EODS(d14:0/18:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.9250136363636","12.2250136363636","586","","Cer-EODS(d14:0/18:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.9250136363636","12.2250136363636","586","","Cer-EODS(d14:0/18:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.9250136363636","12.2250136363636","586","","Cer-EODS(d14:0/18:2-O-15:1)+HCO2","790.6561","744.6506","522.4522","320.2595","239.2017","294.2439","183.1754","11.9250136363636","12.2250136363636","586"
"","Cer-EODS(d14:0/18:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.7702621212121","12.0702621212121","3066","","Cer-EODS(d14:0/18:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.7702621212121","12.0702621212121","3066","","Cer-EODS(d14:0/18:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.7702621212121","12.0702621212121","3066","","Cer-EODS(d14:0/18:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.7702621212121","12.0702621212121","3066","","Cer-EODS(d14:0/18:2-O-15:1)+HCO2",0,0,0,0,0,0,0,"11.7702621212121","12.0702621212121","3066","","Cer-EODS(d14:0/18:2-O-15:1)+HCO2","790.6561","744.6506","522.4522","320.2595","239.2017","294.2439","183.1754","11.7702621212121","12.0702621212121","3066"
"","Cer-EODS(d14:0/16:2-O-16:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/16:2-O-16:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/16:2-O-16:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/16:2-O-16:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/16:2-O-16:0)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/16:2-O-16:0)+HCO2","778.6561","732.6506","494.4209","292.2282","255.233","266.2126","183.1754","11.6581515151515","11.9581515151515","2922"
"","Cer-EODS(d14:0/16:2-O-16:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/16:2-O-16:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/16:2-O-16:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/16:2-O-16:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/16:2-O-16:0)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/16:2-O-16:0)+HCO2","778.6561","732.6506","494.4209","292.2282","255.233","266.2126","183.1754","11.8050363636364","12.1050363636364","2984"
"","Cer-EODS(d14:0/13:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/13:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/13:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/13:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/13:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"10.5703878787879","10.8703878787879","306","","Cer-EODS(d14:0/13:1-O-16:1)+HCO2","736.6091","690.6036","454.3896","252.1969","253.2173","226.1813","183.1754","10.5703878787879","10.8703878787879","306"
"","Cer-EODS(d14:0/14:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/14:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/14:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/14:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/14:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.0025560606061","11.3025560606061","394","","Cer-EODS(d14:0/14:1-O-16:1)+HCO2","750.6248","704.6193","468.4053","266.2126","253.2173","240.1969","183.1754","11.0025560606061","11.3025560606061","394"
"","Cer-EODS(d14:0/15:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/15:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/15:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/15:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/15:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.4196181818182","11.7196181818182","210","","Cer-EODS(d14:0/15:1-O-16:1)+HCO2","764.6404","718.6349","482.4209","280.2282","253.2173","254.2126","183.1754","11.4196181818182","11.7196181818182","210"
"","Cer-EODS(d14:0/16:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/16:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/16:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/16:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/16:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.6581515151515","11.9581515151515","2922","","Cer-EODS(d14:0/16:1-O-16:1)+HCO2","778.6561","732.6506","496.4366","294.2439","253.2173","268.2282","183.1754","11.6581515151515","11.9581515151515","2922"
"","Cer-EODS(d14:0/16:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/16:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/16:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/16:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/16:1-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.8050363636364","12.1050363636364","2984","","Cer-EODS(d14:0/16:1-O-16:1)+HCO2","778.6561","732.6506","496.4366","294.2439","253.2173","268.2282","183.1754","11.8050363636364","12.1050363636364","2984"
"","Cer-EODS(d14:0/16:2-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EODS(d14:0/16:2-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EODS(d14:0/16:2-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EODS(d14:0/16:2-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EODS(d14:0/16:2-O-16:1)+HCO2",0,0,0,0,0,0,0,"11.3751787878788","11.6751787878788","222","","Cer-EODS(d14:0/16:2-O-16:1)+HCO2","776.6404","730.6349","494.4209","292.2282","253.2173","266.2126","183.1754","11.3751787878788","11.6751787878788","222"
