"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-BDS","[M-H]-","[Sph+CC=O-H]-","[Sph+C=O-CO-3H]-","[Sph-H]-","[Sph-NCCO-3H]-","RT_min","RT_max","Comment"
"","Cer-BDS(d24:0/19:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d24:0/19:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d24:0/19:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d24:0/19:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d24:0/19:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d24:0/19:0)-H","680.6557","426.3953","394.369","384.3847","323.3319","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d24:0/19:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d24:0/19:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d24:0/19:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d24:0/19:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d24:0/19:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d24:0/19:1)-H","678.64","426.3953","394.369","384.3847","323.3319","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d25:0/18:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d25:0/18:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d25:0/18:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d25:0/18:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d25:0/18:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d25:0/18:0)-H","680.6557","440.4109","408.3847","398.4004","337.3476","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d25:0/18:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d25:0/18:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d25:0/18:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d25:0/18:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d25:0/18:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d25:0/18:1)-H","678.64","440.4109","408.3847","398.4004","337.3476","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d26:0/17:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d26:0/17:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d26:0/17:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d26:0/17:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d26:0/17:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d26:0/17:0)-H","680.6557","454.4266","422.4004","412.416","351.3633","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d27:0/16:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d27:0/16:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d27:0/16:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d27:0/16:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d27:0/16:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d27:0/16:0)-H","680.6557","468.4422","436.416","426.4317","365.3789","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d27:0/16:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d27:0/16:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d27:0/16:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d27:0/16:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d27:0/16:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d27:0/16:1)-H","678.64","468.4422","436.416","426.4317","365.3789","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d28:0/15:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d28:0/15:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d28:0/15:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d28:0/15:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d28:0/15:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d28:0/15:0)-H","680.6557","482.4579","450.4317","440.4473","379.3946","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d28:0/15:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d28:0/15:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d28:0/15:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d28:0/15:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d28:0/15:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d28:0/15:1)-H","678.64","482.4579","450.4317","440.4473","379.3946","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d29:0/14:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d29:0/14:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d29:0/14:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d29:0/14:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d29:0/14:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d29:0/14:0)-H","680.6557","496.4735","464.4473","454.463","393.4102","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d29:0/14:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d29:0/14:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d29:0/14:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d29:0/14:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d29:0/14:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d29:0/14:1)-H","678.64","496.4735","464.4473","454.463","393.4102","10.9600636363636","11.2600636363636","1038"
"","Cer-BDS(d30:0/13:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d30:0/13:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d30:0/13:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d30:0/13:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d30:0/13:0)-H",0,0,0,0,0,"11.7277909090909","12.0277909090909","1062","","Cer-BDS(d30:0/13:0)-H","680.6557","510.4892","478.463","468.4786","407.4258","11.7277909090909","12.0277909090909","1062"
"","Cer-BDS(d30:0/13:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d30:0/13:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d30:0/13:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d30:0/13:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d30:0/13:1)-H",0,0,0,0,0,"10.9600636363636","11.2600636363636","1038","","Cer-BDS(d30:0/13:1)-H","678.64","510.4892","478.463","468.4786","407.4258","10.9600636363636","11.2600636363636","1038"
