"MSDIAL_EtherOxPC","[M+CH3COO]-","1","2","3","4","5","6","7","8"
"MSDIAL_PC O-18:0_18:0;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(O)CCCCCC;IFGZZRHUXJAKOC-UHFFFAOYNA-N;C44H90NO8P","850.65426","299.2592","776.6169","281.2486","850.6542","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_18:1;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;DXAAKXYZLJQOAL-UHFFFAOYNA-N;C44H88NO8P","848.63861","297.2435","774.6013","848.6386","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_18:0;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;KKQMHXOZGHPCFH-UHFFFAOYNA-N;C44H90NO9P","866.64917","315.2541","792.6119","279.233","297.2435","866.6492","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_18:1;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;KVKPJRCEVPDNHV-URGPHPNLNA-N;C44H88NO8P","848.63861","297.2435","774.6013","279.233","848.6386","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_18:2;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;PPXTUYWTZONFNT-BXVZCJGGNA-N;C44H86NO8P","846.62296","295.2279","772.5856","846.623","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_18:1;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;WFJOABMWJYXTSO-BXVZCJGGNA-N;C44H88NO9P","864.63352","313.2384","790.5962","277.2173","295.2279","864.6335","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_18:1;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;JTEIPRRZCBMVNF-JEIPZWNWNA-N;C44H88NO10P","880.62844","329.2333","806.5911","293.2122","311.2228","880.6284","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_18:2;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;GACTYBRYMJMQJH-SKBNUHFXNA-N;C44H86NO8P","846.62296","295.2279","772.5856","277.2173","846.623","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_18:2;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;CEDPXFDOLIJFQE-SKBNUHFXNA-N;C44H86NO9P","862.61787","311.2228","788.5806","275.2017","293.2122","862.6179","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_18:3;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;ZKULNRNVBZQPOV-CTNRWWLNNA-N;C44H84NO8P","844.60731","293.2122","770.57","275.2017","844.6073","476.3499","494.3605","224.0693","1"
