"MSDIAL_OxPC","[M+HCOO]-","1","2","3","4","5","6","7"
"MSDIAL_PC 16:0_22:6;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;SGGXVZCVNMITTA-NCBZJDCGNA-N;C46H80NO9P","866.55527","806.5336","255.2323","343.2279","866.5553","224.0693","1","1"
"MSDIAL_PC 16:0_22:5;2O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;PGMVHGUSUSURFD-NCBZJDCGNA-N;C46H82NO10P","884.56584","343.2279","824.5442","255.2323","325.2173","361.2384","884.5659","224.0693"
"MSDIAL_PC 16:0_22:6;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;YCLSJBMGYOKSCP-BDOIHPJDNA-N;C46H80NO9P","866.55527","806.5336","255.2323","325.2173","866.5553","224.0693","343.2279","1"
"MSDIAL_PC 16:0_22:6;2O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;JCNGWDSQBBYPKJ-SCSPIGHBNA-N;C46H80NO10P","882.55019","341.2122","822.5285","255.2323","323.2017","359.2228","882.5502","224.0693"
"MSDIAL_PC 16:0_22:6;3O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;FFDPZZXIFCAZPV-FNSLXBLCNA-N;C46H80NO11P","898.54510","838.5234","255.2323","339.1966","357.2072","898.5451","224.0693","375.2177"
"MSDIAL_PC 16:0_22:6;4O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC(O)\C=C\C(O)\C=C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;YUASHYTVMYBEDS-GBDGBMKLNA-N;C46H80NO12P","914.54002","854.5183","255.2323","914.54","224.0693","355.1915","373.2021","391.2126"
"MSDIAL_PC 18:0_18:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(O)CCCCCC;SLFFLXXFMRZNFS-UHFFFAOYNA-N;C44H88NO9P","850.61787","790.5962","283.2635","281.2486","850.6179","224.0693","299.2592","1"
"MSDIAL_PC 18:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;YUDAIPOVMWRXLS-UHFFFAOYNA-N;C44H86NO9P","848.60222","788.5806","283.2635","297.2435","848.6022","224.0693","1","1"
"MSDIAL_PC 18:0_18:0;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;BQPRVBISIOGCPA-UHFFFAOYNA-N;C44H88NO10P","866.61279","297.2435","806.5911","283.2635","279.233","315.2541","866.6128","224.0693"
"MSDIAL_PC 18:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;ZNXSTCGXFKDQNS-XLVZBRSZNA-N;C44H86NO9P","848.60222","788.5806","283.2635","279.233","848.6022","224.0693","297.2435","1"
