DLCL-BPMlike,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T3_RCOO-,LPA(R1),LPA(R1)+56,LPA(R1)+136,LPA(R1)+56+18,LPA(R3),LPA(R3)+56,LPA(R3)+136,LPA(R3)+56+18
DLCL-BMPlike(10:0_16:0)-H,791.411718,152.995833,171.006398,171.139054,255.232954,325.142163,381.168377,461.134708,399.178942,409.236063,465.262277,545.228608,483.272842
DLCL-BMPlike(10:0_16:1)-H,789.396068,152.995833,171.006398,171.139054,253.217304,325.142163,381.168377,461.134708,399.178942,407.220413,463.246627,543.212958,481.257192
DLCL-BMPlike(10:0_16:2)-H,787.380418,152.995833,171.006398,171.139054,251.201654,325.142163,381.168377,461.134708,399.178942,405.204763,461.230977,541.197308,479.241542
DLCL-BMPlike(10:0_16:3)-H,785.364768,152.995833,171.006398,171.139054,249.186004,325.142163,381.168377,461.134708,399.178942,403.189113,459.215327,539.181658,477.225892
DLCL-BMPlike(10:0_16:4)-H,783.349118,152.995833,171.006398,171.139054,247.170354,325.142163,381.168377,461.134708,399.178942,401.173463,457.199677,537.166008,475.210242
DLCL-BMPlike(10:0_17:0)-H,805.427368,152.995833,171.006398,171.139054,269.248604,325.142163,381.168377,461.134708,399.178942,423.251713,479.277927,559.244258,497.288492
DLCL-BMPlike(10:0_17:1)-H,803.411718,152.995833,171.006398,171.139054,267.232954,325.142163,381.168377,461.134708,399.178942,421.236063,477.262277,557.228608,495.272842
DLCL-BMPlike(10:0_17:2)-H,801.396068,152.995833,171.006398,171.139054,265.217304,325.142163,381.168377,461.134708,399.178942,419.220413,475.246627,555.212958,493.257192
DLCL-BMPlike(10:0_18:0)-H,819.443018,152.995833,171.006398,171.139054,283.264254,325.142163,381.168377,461.134708,399.178942,437.267363,493.293577,573.259908,511.304142
DLCL-BMPlike(10:0_18:1)-H,817.427368,152.995833,171.006398,171.139054,281.248604,325.142163,381.168377,461.134708,399.178942,435.251713,491.277927,571.244258,509.288492
DLCL-BMPlike(10:0_18:2)-H,815.411718,152.995833,171.006398,171.139054,279.232954,325.142163,381.168377,461.134708,399.178942,433.236063,489.262277,569.228608,507.272842
DLCL-BMPlike(10:0_18:3)-H,813.396068,152.995833,171.006398,171.139054,277.217304,325.142163,381.168377,461.134708,399.178942,431.220413,487.246627,567.212958,505.257192
DLCL-BMPlike(10:0_18:4)-H,811.380418,152.995833,171.006398,171.139054,275.201654,325.142163,381.168377,461.134708,399.178942,429.204763,485.230977,565.197308,503.241542
DLCL-BMPlike(10:0_18:4)-H,809.364768,152.995833,171.006398,171.139054,273.186004,325.142163,381.168377,461.134708,399.178942,427.189113,483.215327,563.181658,501.225892
DLCL-BMPlike(10:0_19:0)-H,833.458668,152.995833,171.006398,171.139054,297.279904,325.142163,381.168377,461.134708,399.178942,451.283013,507.309227,587.275558,525.319792
DLCL-BMPlike(10:0_19:1)-H,831.443008,152.995833,171.006398,171.139054,295.264244,325.142163,381.168377,461.134708,399.178942,449.267353,505.293567,585.259898,523.304132
DLCL-BMPlike(10:0_20:0)-H,847.474318,152.995833,171.006398,171.139054,311.295554,325.142163,381.168377,461.134708,399.178942,465.298663,521.324877,601.291208,539.335442
DLCL-BMPlike(10:0_20:1)-H,845.458668,152.995833,171.006398,171.139054,309.279904,325.142163,381.168377,461.134708,399.178942,463.283013,519.309227,599.275558,537.319792
