"MSDIAL_CerP","[M+H]+","1","2","3","4","5","6"
"MSDIAL_CerP 15:0;2O/12:0;[M+H]+;CCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;MLHOJDMWPUHZQV-IZZNHLLZSA-N;C27H56NO6P","522.39234","522.3923","224.2377","504.3818","406.4049","424.4154","442.426"
"MSDIAL_CerP 15:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCC;GSGWUXTWYLGJLB-WUFINQPMSA-N;C29H60NO6P","550.42365","550.4236","224.2377","532.4131","434.4362","452.4467","470.4573"
"MSDIAL_CerP 15:0;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCC;UUKFSCQOGZOXDN-XZWHSSHBSA-N;C31H64NO6P","578.45496","578.455","224.2377","560.4444","462.4675","480.4781","498.4886"
"MSDIAL_CerP 15:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCC;RWYCEEMHHAATKM-AJQTZOPKSA-N;C33H68NO6P","606.48627","606.4863","224.2377","588.4757","490.4988","508.5094","526.52"
"MSDIAL_CerP 15:0;2O/18:1;[M+H]+;CCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;JSUWSTLKBMJENT-HZVIGHOHSA-N;C33H66NO6P","604.47059","604.4706","224.2377","586.46","488.4831","506.4937","524.5043"
"MSDIAL_CerP 15:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCC;QPGGHVSTAOQSPE-SZAHLOSFSA-N;C35H72NO6P","634.51752","634.5175","224.2377","616.507","518.5301","536.5406","554.5512"
"MSDIAL_CerP 15:0;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCC;ZSUCKSQKAZLNNN-MPQUPPDSSA-N;C37H76NO6P","662.54884","662.5488","224.2377","644.5383","546.5614","564.572","582.5825"
"MSDIAL_CerP 15:0;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCC;ZPPKHYFZSOEPPF-QPPIDDCLSA-N;C39H80NO6P","690.58015","690.5801","224.2377","672.5696","574.5927","592.6033","610.6138"
"MSDIAL_CerP 15:0;2O/24:1;[M+H]+;CCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC;RLZBFVBBOCSCAL-MZANBATFSA-N;C39H78NO6P","688.56452","688.5645","224.2377","670.554","572.5771","590.5876","608.5982"
"MSDIAL_CerP 15:0;2O/24:4;[M+H]+;CCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC;SOJYNASURWRCOZ-AOCBUCBXSA-N;C39H72NO6P","682.51752","682.5175","224.2377","664.507","566.5301","584.5406","602.5512"
"MSDIAL_CerP 15:0;2O/26:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCC;AOBVIPUBSGESEU-IOLBBIBUSA-N;C41H84NO6P","718.61146","718.6115","224.2377","700.6009","602.624","620.6346","638.6451"
"MSDIAL_CerP 15:0;2O/26:1;[M+H]+;CCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC;BWSCXUXVHMBMPG-YUXJATLTSA-N;C41H82NO6P","716.59577","716.5958","224.2377","698.5852","600.6083","618.6189","636.6295"
"MSDIAL_CerP 15:1;2O/2:0;[M+H]+;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;VHENXYYMAMDYDT-AONBVXOQSA-N;C17H34NO6P","380.22019","380.2202","222.222","362.2096","264.2327","282.2433","300.2538"
"MSDIAL_CerP 15:1;2O/10:0;[M+H]+;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;HMONHHJIROELMI-VYQUXUJXSA-N;C25H50NO6P","492.34541","492.3454","222.222","474.3348","376.3579","394.3685","412.3791"
"MSDIAL_CerP 15:1;2O/12:0;[M+H]+;CCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;QEDPXZSYGIQELP-XQAXIDAFSA-N;C27H54NO6P","520.37672","520.3767","222.222","502.3661","404.3893","422.3998","440.4104"
"MSDIAL_CerP 15:1;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;PXFQCAWJWJBYOS-LVDQGNEYSA-N;C29H58NO6P","548.40797","548.408","222.222","530.3974","432.4205","450.4311","468.4417"
