"MSDIAL_OxPI","[M-H]-","1","2","3","4","5","6","7"
"MSDIAL_PI 16:0_20:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;ZUGDUEUASICFEW-BXUVIXESNA-N;C45H75O14P","869.48217","869.4822","241.0119","255.2323","297.0381","315.1966","1","1"
"MSDIAL_PI 16:0_20:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;LHKINZULQHQOEP-SSKJHGEDNA-N;C45H77O15P","887.49273","887.4927","297.186","315.1966","241.0119","255.2323","297.0381","333.2071"
"MSDIAL_PI 16:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;UUYMKYQMPRWYED-XMAGIFGMNA-N;C45H77O16P","903.48765","903.4877","313.1809","331.1915","241.0119","255.2323","297.0381","349.2021"
"MSDIAL_PI 16:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;RGFXUXULZLJUOV-OKAHKNJDNA-N;C45H77O16P","903.48765","903.4877","331.1915","241.0119","255.2323","297.0381","349.2021","1"
"MSDIAL_PI 16:0_20:5;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;YFRDUYOIKLOUAZ-OKAHKNJDNA-N;C45H77O17P","919.48256","919.4825","329.1758","347.1864","241.0119","255.2323","297.0381","365.197"
"MSDIAL_PI 16:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;OWOKUOPUTKQCKW-PLHFMEFONA-N;C47H79O14P","897.51347","897.5135","241.0119","255.2323","297.0381","343.2279","1","1"
"MSDIAL_PI 16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;RANYLLMIMIYCJD-PLHFMEFONA-N;C47H81O15P","915.52403","915.524","325.2173","343.2279","241.0119","255.2323","297.0381","361.2384"
"MSDIAL_PI 16:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;YZQXTLLHGBGTRH-KTBBSIJDNA-N;C47H79O14P","897.51347","897.5135","325.2173","241.0119","255.2323","297.0381","343.2279","1"
"MSDIAL_PI 16:0_22:6;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;APYWMKUNGFFROJ-YVUSFSRCNA-N;C47H79O15P","913.50838","913.5084","323.2017","341.2122","241.0119","255.2323","297.0381","359.2228"
"MSDIAL_PI 16:0_22:6;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;GIPXOSQRHUHQMR-ARSYHIGANA-N;C47H79O16P","929.50330","929.5033","339.1966","357.2072","241.0119","255.2323","297.0381","375.2177"
"MSDIAL_PI 16:0_22:6;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC(O)\C=C\C(O)\C=C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;SVLAMXHMDBLTFM-BREAOWQZNA-N;C47H79O17P","945.49821","945.4982","355.1915","373.2021","241.0119","255.2323","297.0381","391.2126"
"MSDIAL_PI 18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCC(O)CCCCCC;QOFOLADDNJNVCJ-UHFFFAOYNA-N;C45H87O14P","881.57607","881.576","281.2486","241.0119","283.2635","297.0381","299.2592","1"
"MSDIAL_PI 18:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCCC1OC1CCCCCC;MLAQXPQXGUZXIG-UHFFFAOYNA-N;C45H85O14P","879.56042","879.5604","241.0119","283.2635","297.0381","297.2435","1","1"
"MSDIAL_PI 18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;IYUWZWSKBKLGRX-UHFFFAOYNA-N;C45H87O15P","897.57098","897.571","279.233","297.2435","241.0119","283.2635","297.0381","315.2541"
"MSDIAL_PI 18:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;MDRMPSIBQLKASH-XTCLZLMSNA-N;C45H85O14P","879.56042","879.5604","279.233","241.0119","283.2635","297.0381","297.2435","1"
"MSDIAL_PI 18:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;QIGSAFUAFJHMQW-ROMGYVFFNA-N;C45H83O14P","877.54477","877.5448","241.0119","283.2635","295.2279","297.0381","1","1"
