"MSDIAL_MLCL","[M-H]-","1","2","3","4","5","6"
"MSDIAL_MLCL 14:0_14:1_14:1;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/CCCC;APAUCKUKDDAVEL-YKVSKMSXNA-N;C51H96O16P2","1025.61008","1025.61","152.9958","379.1891","589.3875","225.186","1"
"MSDIAL_MLCL 14:0_14:1_16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCC;RRUAVMRFWUDONN-VKAVYKQENA-N;C53H102O16P2","1055.65703","1055.657","152.9958","409.2361","589.3875","225.186","255.233"
"MSDIAL_MLCL 14:0_14:1_16:1;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCC;SUFRLMLSWGFNRB-CFDXPTNANA-N;C53H100O16P2","1053.64138","1053.641","152.9958","407.2204","589.3875","225.186","253.2173"
"MSDIAL_MLCL 14:0_14:1_16:2;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/CCC;LWHUMMILDVHKGP-NYJLCMCMNA-N;C53H98O16P2","1051.62573","1051.626","152.9958","405.2048","589.3875","225.186","251.2016"
"MSDIAL_MLCL 14:0_14:1_18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCC;DAPUCWUZIWTKTJ-VKAVYKQENA-N;C55H106O16P2","1083.68833","1083.688","152.9958","437.2674","589.3875","225.186","283.2643"
"MSDIAL_MLCL 14:0_14:1_18:1;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC;HEQYZWSQOTTZME-HMVXRPTCNA-N;C55H104O16P2","1081.67268","1081.673","152.9958","435.2517","589.3875","225.186","281.2486"
"MSDIAL_MLCL 14:0_14:1_18:2;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/CCCCC;ZMKLEPLNGSLBMH-RRNWWBKCNA-N;C55H102O16P2","1079.65703","1079.657","152.9958","433.2361","589.3875","225.186","279.2329"
"MSDIAL_MLCL 14:0_14:1_18:3;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;DZMUSSCXHZVUKV-MBDUXIQJNA-N;C55H100O16P2","1077.64138","1077.641","152.9958","431.2204","589.3875","225.186","277.2173"
"MSDIAL_MLCL 14:0_14:1_20:3;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;YGKUVBPAXHGMIX-MBDUXIQJNA-N;C57H104O16P2","1105.67268","1105.673","152.9958","459.2517","589.3875","225.186","305.2486"
"MSDIAL_MLCL 14:0_14:1_20:4;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;UKDJQWOHHOXKFW-QZTADYKCNA-N;C57H102O16P2","1103.65703","1103.657","152.9958","457.2361","589.3875","225.186","303.2329"
"MSDIAL_MLCL 14:0_14:1_20:5;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;NEVWHLZEOVYHDG-HSRSYANFNA-N;C57H100O16P2","1101.64138","1101.641","152.9958","455.2204","589.3875","225.186","301.2173"
"MSDIAL_MLCL 14:0_14:1_22:3;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;AQKFVIBWMGSPOH-DPEVFMKXNA-N;C59H108O16P2","1133.70398","1133.704","152.9958","487.283","589.3875","225.186","333.2799"
"MSDIAL_MLCL 14:0_14:1_22:4;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;NZTOGSFYIYZNSW-QZTADYKCNA-N;C59H106O16P2","1131.68833","1131.688","152.9958","485.2674","589.3875","225.186","331.2643"
"MSDIAL_MLCL 14:0_14:1_22:5;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;CSNHDMHZUMODLV-AQMQQDCBNA-N;C59H104O16P2","1129.67268","1129.673","152.9958","483.2517","589.3875","225.186","329.2486"
"MSDIAL_MLCL 14:0_14:1_22:6;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;BFGCVBUTCNCVGJ-HPPQQGPSNA-N;C59H102O16P2","1127.65703","1127.657","152.9958","481.2361","589.3875","225.186","327.2329"
"MSDIAL_MLCL 14:0_14:1_24:4;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC;BKVAYWMQXISIMH-MCYKWIDXNA-N;C61H110O16P2","1159.71963","1159.72","152.9958","513.2986","589.3875","225.186","359.2956"
