"MSDIAL_CerP","[M-H]-","1","2","3","4","5"
"MSDIAL_CerP 15:0;2O/26:1;[M-H]-;CCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC;BWSCXUXVHMBMPG-YUXJATLTSA-N;C41H82NO6P","714.58013","78.95851","96.96908","320.1993","338.2098","696.5696"
"MSDIAL_CerP 15:1;2O/2:0;[M-H]-;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;VHENXYYMAMDYDT-AONBVXOQSA-N;C17H34NO6P","378.20455","78.95851","96.96908","318.1834","336.194","360.194"
"MSDIAL_CerP 15:1;2O/10:0;[M-H]-;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;HMONHHJIROELMI-VYQUXUJXSA-N;C25H50NO6P","490.32977","78.95851","96.96908","318.1835","336.1941","472.3192"
"MSDIAL_CerP 15:1;2O/12:0;[M-H]-;CCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;QEDPXZSYGIQELP-XQAXIDAFSA-N;C27H54NO6P","518.36108","78.95851","96.96908","318.1836","336.1941","500.3505"
"MSDIAL_CerP 15:1;2O/14:0;[M-H]-;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;PXFQCAWJWJBYOS-LVDQGNEYSA-N;C29H58NO6P","546.39233","78.95851","96.96908","318.1835","336.1941","528.3818"
"MSDIAL_CerP 15:1;2O/16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;BLBHVXPCOXTWLH-INXZUHKUSA-N;C31H62NO6P","574.42364","78.95851","96.96908","318.1836","336.1941","556.4131"
"MSDIAL_CerP 15:1;2O/18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;KRGXBDDDIAUKIE-STSAHMJASA-N;C33H66NO6P","602.45495","78.95851","96.96908","318.1836","336.1942","584.4444"
"MSDIAL_CerP 15:1;2O/18:1;[M-H]-;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;MSBRZXCYKNUGGV-VSUWJOLXSA-N;C33H64NO6P","600.43932","78.95851","96.96908","318.1836","336.1942","582.4288"
"MSDIAL_CerP 15:1;2O/20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;KSACGWUJUPCZSP-QKSCFGQVSA-N;C35H70NO6P","630.48626","78.95851","96.96908","318.1836","336.1942","612.4757"
"MSDIAL_CerP 15:1;2O/22:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;NAKGMAJPUXDWOJ-RQDJVNCUSA-N;C37H74NO6P","658.51757","78.95851","96.96908","318.1837","336.1942","640.507"
"MSDIAL_CerP 15:1;2O/24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;KDDJRSGMBUEVRY-PQPBPFPMSA-N;C39H78NO6P","686.54888","78.95851","96.96908","318.1837","336.1942","668.5383"
"MSDIAL_CerP 15:1;2O/24:1;[M-H]-;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC;NIVLGDJTRZGGAK-SDBCSRCNSA-N;C39H76NO6P","684.53320","78.95851","96.96908","318.1837","336.1942","666.5226"
"MSDIAL_CerP 15:1;2O/24:4;[M-H]-;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC;LMDUMJPIVGALPB-HCQTZSFHSA-N;C39H70NO6P","678.48626","78.95851","96.96908","318.1836","336.1942","660.4757"
"MSDIAL_CerP 15:1;2O/26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;VWPKXLIFLKILMP-PUYNVXOJSA-N;C41H82NO6P","714.58013","78.95851","96.96908","318.1837","336.1942","696.5696"
"MSDIAL_CerP 15:1;2O/26:1;[M-H]-;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC;ANRHFXYUTBYJMF-MWMXXUFASA-N;C41H80NO6P","712.56451","78.95851","96.96908","318.1837","336.1942","694.554"
"MSDIAL_CerP 16:0;2O/2:0;[M-H]-;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;KJAOAPLEMBCWSJ-ZWKOTPCHSA-N;C18H38NO6P","394.23586","78.95851","96.96908","334.2148","352.2253","376.2253"
"MSDIAL_CerP 16:0;2O/10:0;[M-H]-;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;DFVXOPPDFFUOGX-LOSJGSFVSA-N;C26H54NO6P","506.36105","78.95851","96.96908","334.2148","352.2254","488.3505"
"MSDIAL_CerP 16:0;2O/12:0;[M-H]-;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;MWGSTLLNNLVYOW-RRPNLBNLSA-N;C28H58NO6P","534.39233","78.95851","96.96908","334.2148","352.2254","516.3818"
"MSDIAL_CerP 16:0;2O/14:0;[M-H]-;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCC;AQMMWVRPVCEIOJ-URLMMPGGSA-N;C30H62NO6P","562.42364","78.95851","96.96908","334.2148","352.2254","544.4131"
"MSDIAL_CerP 16:0;2O/16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;SLIWWQJRFCVIHT-IOWSJCHKSA-N;C32H66NO6P","590.45495","78.95851","96.96908","334.2149","352.2254","572.4444"
"MSDIAL_CerP 16:0;2O/18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;QOMYDEYHMLBWBF-JHOUSYSJSA-N;C34H70NO6P","618.48626","78.95851","96.96908","334.2149","352.2255","600.4757"
"MSDIAL_CerP 16:0;2O/18:1;[M-H]-;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;DOCWTQZYUPFANU-XFXDHMIVSA-N;C34H68NO6P","616.47063","78.95851","96.96908","334.2149","352.2255","598.4601"
"MSDIAL_CerP 16:0;2O/20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;YFDBUVNILGPHPO-OIDHKYIRSA-N;C36H74NO6P","646.51757","78.95851","96.96908","334.2149","352.2255","628.507"
"MSDIAL_CerP 16:0;2O/22:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;URLGWOBNQKRVER-PQQNNWGCSA-N;C38H78NO6P","674.54888","78.95851","96.96908","334.215","352.2255","656.5383"
"MSDIAL_CerP 16:0;2O/24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;HYNYZBBODLLSBS-ZESVVUHVSA-N;C40H82NO6P","702.58013","78.95851","96.96908","334.2149","352.2255","684.5696"
"MSDIAL_CerP 16:0;2O/24:1;[M-H]-;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC;JMPRPKCNIUTCOE-YVYQSDBGSA-N;C40H80NO6P","700.56451","78.95851","96.96908","334.2149","352.2255","682.554"
"MSDIAL_CerP 16:0;2O/24:4;[M-H]-;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC;DTPROJQEUIGVKN-NBNYJPEFSA-N;C40H74NO6P","694.51757","78.95851","96.96908","334.2149","352.2255","676.507"
"MSDIAL_CerP 16:0;2O/26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;SWPITKYJXTVYOD-WVILEFPPSA-N;C42H86NO6P","730.61144","78.95851","96.96908","334.215","352.2255","712.6009"
"MSDIAL_CerP 16:0;2O/26:1;[M-H]-;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC;SRSXOHALPUGHBS-USSLIDLSSA-N;C42H84NO6P","728.59582","78.95851","96.96908","334.215","352.2255","710.5853"
"MSDIAL_CerP 16:1;2O/2:0;[M-H]-;CCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;OSSQSTMTBCYYGJ-DPYIKZRWSA-N;C18H36NO6P","392.22021","78.95851","96.96908","332.1991","350.2097","374.2097"
"MSDIAL_CerP 16:1;2O/10:0;[M-H]-;CCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;QUGOANHIPDKHMR-WRBRXSDHSA-N;C26H52NO6P","504.34539","78.95851","96.96908","332.1992","350.2097","486.3348"
"MSDIAL_CerP 16:1;2O/12:0;[M-H]-;CCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;GDZMVRFCMMPKCS-NBNLIBPQSA-N;C28H56NO6P","532.37670","78.95851","96.96908","332.1992","350.2097","514.3661"
"MSDIAL_CerP 16:1;2O/14:0;[M-H]-;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCCC;PLKFTYPFVWYCKS-VARSQMIESA-N;C30H60NO6P","560.40801","78.95851","96.96908","332.1992","350.2098","542.3975"
"MSDIAL_CerP 16:1;2O/16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCCC;KRDHERIWLMYANQ-JHRQRACZSA-N;C32H64NO6P","588.43932","78.95851","96.96908","332.1992","350.2098","570.4288"
"MSDIAL_CerP 16:1;2O/18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCCC;OKGBPYFWOHRRNU-TURZORIXSA-N;C34H68NO6P","616.47063","78.95851","96.96908","332.1993","350.2098","598.4601"
"MSDIAL_CerP 16:1;2O/18:1;[M-H]-;CCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;LLVBXGFGISMVQA-DANNDUMSSA-N;C34H66NO6P","614.45495","78.95851","96.96908","332.1992","350.2098","596.4444"
"MSDIAL_CerP 16:1;2O/20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCCC;WLFGATBGOMGZHQ-NXCSZAMKSA-N;C36H72NO6P","644.50188","78.95851","96.96908","332.1992","350.2098","626.4913"
"MSDIAL_CerP 16:1;2O/22:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCCC;WQCRUJRJUUURCL-NUKVNZTCSA-N;C38H76NO6P","672.53320","78.95851","96.96908","332.1993","350.2098","654.5226"
"MSDIAL_CerP 16:1;2O/24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCCC;PAITYUSYBYTRLI-GLQCRSEXSA-N;C40H80NO6P","700.56451","78.95851","96.96908","332.1993","350.2099","682.554"
