OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-R1COOH]+,[M+H-R2COOH]+,[M+H-R3COOH]+
OxTG(18:2_18:3_20:4(Ke_or_Epoxy))+NH4,932.7338304,897.6967104,635.4670564,637.4826564,597.4877764
OxTG(18:2_18:4_20:4(Ke_or_Epoxy))+NH4,930.7181304,895.6810104,633.4513564,637.4826564,595.4720764
OxTG(18:2_20:4_20:4(Ke_or_Epoxy))+NH4,958.7494304,923.7123104,661.4826564,637.4826564,623.5033764
OxTG(18:2_20:5_20:4(Ke_or_Epoxy))+NH4,956.7338304,921.6967104,659.4670564,637.4826564,621.4877764
OxTG(18:2_22:5_20:4(Ke_or_Epoxy))+NH4,984.7651304,949.7280104,687.4983564,637.4826564,649.5190764
OxTG(18:2_22:6_20:4(Ke_or_Epoxy))+NH4,982.7494304,947.7123104,685.4826564,637.4826564,647.5033764
OxTG(18:3_18:3_20:4(Ke_or_Epoxy))+NH4,930.7182304,895.6811104,635.4670564,635.4670564,595.4721764
OxTG(18:3_18:4_20:4(Ke_or_Epoxy))+NH4,928.7025304,893.6654104,633.4513564,635.4670564,593.4564764
OxTG(18:3_20:4_20:4(Ke_or_Epoxy))+NH4,956.7338304,921.6967104,661.4826564,635.4670564,621.4877764
OxTG(18:3_20:5_20:4(Ke_or_Epoxy))+NH4,954.7182304,919.6811104,659.4670564,635.4670564,619.4721764
OxTG(18:3_22:5_20:4(Ke_or_Epoxy))+NH4,982.7495304,947.7124104,687.4983564,635.4670564,647.5034764
OxTG(18:3_22:6_20:4(Ke_or_Epoxy))+NH4,980.7338304,945.6967104,685.4826564,635.4670564,645.4877764
OxTG(18:4_18:4_20:4(Ke_or_Epoxy))+NH4,926.6868304,891.6497104,633.4513564,633.4513564,591.4407764
OxTG(18:4_20:4_20:4(Ke_or_Epoxy))+NH4,954.7181304,919.6810104,661.4826564,633.4513564,619.4720764
OxTG(18:4_20:5_20:4(Ke_or_Epoxy))+NH4,952.7025304,917.6654104,659.4670564,633.4513564,617.4564764
OxTG(18:4_22:5_20:4(Ke_or_Epoxy))+NH4,980.7338304,945.6967104,687.4983564,633.4513564,645.4877764
OxTG(18:4_22:6_20:4(Ke_or_Epoxy))+NH4,978.7181304,943.6810104,685.4826564,633.4513564,643.4720764
OxTG(20:4_20:4_20:4(Ke_or_Epoxy))+NH4,982.7494304,947.7123104,661.4826564,661.4826564,647.5033764
OxTG(20:4_20:5_20:4(Ke_or_Epoxy))+NH4,980.7338304,945.6967104,659.4670564,661.4826564,645.4877764
OxTG(20:4_22:5_20:4(Ke_or_Epoxy))+NH4,1008.76513,973.7280104,687.4983564,661.4826564,673.5190764
OxTG(20:4_22:6_20:4(Ke_or_Epoxy))+NH4,1006.74943,971.7123104,685.4826564,661.4826564,671.5033764
OxTG(20:5_20:5_20:4(Ke_or_Epoxy))+NH4,978.7182304,943.6811104,659.4670564,659.4670564,643.4721764
OxTG(20:5_22:5_20:4(Ke_or_Epoxy))+NH4,1006.74953,971.7124104,687.4983564,659.4670564,671.5034764
OxTG(20:5_22:6_20:4(Ke_or_Epoxy))+NH4,1004.73383,969.6967104,685.4826564,659.4670564,669.4877764
OxTG(22:5_22:5_20:4(Ke_or_Epoxy))+NH4,1034.78083,999.7437104,687.4983564,687.4983564,699.5347764
OxTG(22:5_22:6_20:4(Ke_or_Epoxy))+NH4,1032.76513,997.7280104,685.4826564,687.4983564,697.5190764
OxTG(22:6_22:6_20:4(Ke_or_Epoxy))+NH4,1030.74943,995.7123104,685.4826564,685.4826564,695.5033764
OxTG(14:0_14:0_14:1(Ke_or_Epoxy))+NH4,752.6399504,717.6028304,507.4044764,507.4044764,495.4407764
OxTG(14:0_14:0_15:1(Ke_or_Epoxy))+NH4,766.6555504,731.6184304,521.4200764,521.4200764,495.4407764
OxTG(14:0_14:0_16:1(Ke_or_Epoxy))+NH4,780.6712504,745.6341304,535.4357764,535.4357764,495.4407764
OxTG(14:0_14:0_17:1(Ke_or_Epoxy))+NH4,794.6868504,759.6497304,549.4513764,549.4513764,495.4407764
OxTG(14:0_14:0_17:2(Ke_or_Epoxy))+NH4,792.6712504,757.6341304,547.4357764,547.4357764,495.4407764
OxTG(14:0_14:0_18:1(Ke_or_Epoxy))+NH4,808.7025504,773.6654304,563.4670764,563.4670764,495.4407764
OxTG(14:0_14:0_18:2(Ke_or_Epoxy))+NH4,806.6868504,771.6497304,561.4513764,561.4513764,495.4407764
OxTG(14:0_14:0_18:3(Ke_or_Epoxy))+NH4,804.6712504,769.6341304,559.4357764,559.4357764,495.4407764
OxTG(14:0_14:0_18:4(Ke_or_Epoxy))+NH4,802.6555504,767.6184304,557.4200764,557.4200764,495.4407764
OxTG(14:0_14:0_20:1(Ke_or_Epoxy))+NH4,836.7338504,801.6967304,591.4983764,591.4983764,495.4407764
OxTG(14:0_14:0_20:2(Ke_or_Epoxy))+NH4,834.7181504,799.6810304,589.4826764,589.4826764,495.4407764
OxTG(14:0_14:0_20:3(Ke_or_Epoxy))+NH4,832.7025504,797.6654304,587.4670764,587.4670764,495.4407764
OxTG(14:0_14:0_20:5(Ke_or_Epoxy))+NH4,828.6712504,793.6341304,583.4357764,583.4357764,495.4407764
OxTG(14:0_14:0_22:1(Ke_or_Epoxy))+NH4,864.7651504,829.7280304,619.5296764,619.5296764,495.4407764
OxTG(14:0_14:0_22:2(Ke_or_Epoxy))+NH4,862.7494504,827.7123304,617.5139764,617.5139764,495.4407764
OxTG(14:0_14:0_22:3(Ke_or_Epoxy))+NH4,860.7338504,825.6967304,615.4983764,615.4983764,495.4407764
OxTG(14:0_14:0_22:4(Ke_or_Epoxy))+NH4,858.7181504,823.6810304,613.4826764,613.4826764,495.4407764
OxTG(14:0_14:0_22:5(Ke_or_Epoxy))+NH4,856.7025504,821.6654304,611.4670764,611.4670764,495.4407764
OxTG(14:0_14:0_22:6(Ke_or_Epoxy))+NH4,854.6868504,819.6497304,609.4513764,609.4513764,495.4407764
OxTG(14:0_14:0_24:1(Ke_or_Epoxy))+NH4,892.7964504,857.7593304,647.5609764,647.5609764,495.4407764
OxTG(14:0_14:1_14:1(Ke_or_Epoxy))+NH4,750.6243504,715.5872304,505.3888764,507.4044764,493.4251764
OxTG(14:0_14:1_15:1(Ke_or_Epoxy))+NH4,764.6399504,729.6028304,519.4044764,521.4200764,493.4251764
OxTG(14:0_14:1_16:1(Ke_or_Epoxy))+NH4,778.6556504,743.6185304,533.4201764,535.4357764,493.4251764
OxTG(14:0_14:1_17:1(Ke_or_Epoxy))+NH4,792.6712504,757.6341304,547.4357764,549.4513764,493.4251764
OxTG(14:0_14:1_17:2(Ke_or_Epoxy))+NH4,790.6556504,755.6185304,545.4201764,547.4357764,493.4251764
