DLCL-PGlike,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T2_RCOO-,PA(R1+R2),PA(R1+R2)-NL_T1RCOOH,PA(R1+R2)-NL_T2RCOOH,PA(R1+R2)-NL_T1Ketene,PA(R1+R2)-NL_T2Ketene,PA(R1+R2)+56,PA(R1+R2)+136,PA(R1+R2)+56+18
DLCL-PGlike(12:0_16:0)-H,819.443018,152.995833,171.006398,199.170354,255.232954,591.403129,391.225499,335.162899,409.236064,353.173464,647.429343,727.395674,665.439908
DLCL-PGlike(12:0_16:1)-H,817.427368,152.995833,171.006398,199.170354,253.217304,589.387479,389.209849,335.162899,407.220414,353.173464,645.413693,725.380024,663.424258
DLCL-PGlike(12:0_16:2)-H,815.411718,152.995833,171.006398,199.170354,251.201654,587.371829,387.194199,335.162899,405.204764,353.173464,643.398043,723.364374,661.408608
DLCL-PGlike(12:0_16:3)-H,813.396068,152.995833,171.006398,199.170354,249.186004,585.356179,385.178549,335.162899,403.189114,353.173464,641.382393,721.348724,659.392958
DLCL-PGlike(12:0_16:4)-H,811.380418,152.995833,171.006398,199.170354,247.170354,583.340529,383.162899,335.162899,401.173464,353.173464,639.366743,719.333074,657.377308
DLCL-PGlike(12:0_17:0)-H,833.458668,152.995833,171.006398,199.170354,269.248604,605.418779,405.241149,335.162899,423.251714,353.173464,661.444993,741.411324,679.455558
DLCL-PGlike(12:0_17:1)-H,831.443018,152.995833,171.006398,199.170354,267.232954,603.403129,403.225499,335.162899,421.236064,353.173464,659.429343,739.395674,677.439908
DLCL-PGlike(12:0_17:2)-H,829.427368,152.995833,171.006398,199.170354,265.217304,601.387479,401.209849,335.162899,419.220414,353.173464,657.413693,737.380024,675.424258
DLCL-PGlike(12:0_18:0)-H,847.474318,152.995833,171.006398,199.170354,283.264254,619.434429,419.256799,335.162899,437.267364,353.173464,675.460643,755.426974,693.471208
DLCL-PGlike(12:0_18:1)-H,845.458668,152.995833,171.006398,199.170354,281.248604,617.418779,417.241149,335.162899,435.251714,353.173464,673.444993,753.411324,691.455558
DLCL-PGlike(12:0_18:2)-H,843.443018,152.995833,171.006398,199.170354,279.232954,615.403129,415.225499,335.162899,433.236064,353.173464,671.429343,751.395674,689.439908
