"MSDIAL_EtherOxPC","[M+HCOO]-","1","2","3","4","5","6","7","8"
"MSDIAL_PC O-16:0_20:6;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;ZWVWTMPCJMMMQV-LHBHOESQNA-N;C44H78NO8P","824.54471","315.1966","764.523","824.5447","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_20:5;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;VJQBPTAQMLUCLF-GKAQJMEKNA-N;C44H80NO9P","842.55527","333.2071","782.5336","297.186","315.1966","842.5553","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:5;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;YIOMKQFFOFPCPE-MGWRBLPRNA-N;C44H80NO10P","858.55019","349.2021","798.5285","313.1809","331.1915","858.5502","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_20:5;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;YFUZTUKAPGVDJD-FCFLYICHNA-N;C44H80NO10P","858.55019","349.2021","798.5285","331.1915","858.5502","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:5;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;FEPJRDCFAVKLFW-FCFLYICHNA-N;C44H80NO11P","874.54510","365.197","814.5234","329.1758","347.1864","874.5451","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_22:6;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;LTUDCFCGVVFXEG-SFRSRXBUNA-N;C46H82NO8P","852.57601","343.2279","792.5543","852.576","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_22:5;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;KYNJLURZZBZZKP-SFRSRXBUNA-N;C46H84NO9P","870.58657","361.2384","810.5649","325.2173","343.2279","870.5865","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_22:6;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;FVSVWBISFIMTNV-NNIXSGKTNA-N;C46H82NO8P","852.57601","343.2279","792.5543","325.2173","852.576","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_22:6;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;CEHNBLQUDBLVIT-GZAWIGRDNA-N;C46H82NO9P","868.57092","359.2228","808.5493","323.2017","341.2122","868.5709","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_22:6;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;DMGHACUNLHCZQY-NXWSQIDWNA-N;C46H82NO10P","884.56584","375.2177","824.5442","339.1966","357.2072","884.5659","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_22:6;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC(O)\C=C\C(O)\C=C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;DXXVKWNPXVJRQR-PFKZLUTGNA-N;C46H82NO11P","900.56075","391.2126","840.5391","355.1915","373.2021","900.5607","448.3186","466.3292","224.0693"
"MSDIAL_PC O-18:0_18:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(O)CCCCCC;IFGZZRHUXJAKOC-UHFFFAOYNA-N;C44H90NO8P","836.63861","299.2592","776.6169","281.2486","836.6386","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;DXAAKXYZLJQOAL-UHFFFAOYNA-N;C44H88NO8P","834.62296","297.2435","774.6013","834.623","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_18:0;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;KKQMHXOZGHPCFH-UHFFFAOYNA-N;C44H90NO9P","852.63352","315.2541","792.6119","279.233","297.2435","852.6335","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;KVKPJRCEVPDNHV-URGPHPNLNA-N;C44H88NO8P","834.62296","297.2435","774.6013","279.233","834.623","476.3499","494.3605","224.0693","1"
