OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-nH2O-R1COOH]+,[M+H-nH2O-R2COOH]+,[M+H-nH2O-R3COOH]+,[R1CO-nH2O]+,[R2CO-nH2O]+,[R3CO-nH2O]+
OxTG(16:0_16:0_18:2(OH))+NH4,864.7650904,829.7279704,573.4877404,573.4877404,551.5033704,221.2263664,221.2263664,261.2213064
OxTG(16:0_16:1_20:4(OHOH))+NH4,902.7444104,849.6967204,593.4564904,595.4720904,549.4877704,221.2263664,219.2107664,301.2162264
OxTG(16:0_16:1_20:4(OH))+NH4,886.7494904,851.7123704,595.4721404,597.4877404,549.4877704,221.2263664,219.2107664,285.2213064
OxTG(16:0_16:1_18:2(OHOH))+NH4,878.7444104,825.6967204,569.4564904,571.4720904,549.4877704,221.2263664,219.2107664,277.2162264
OxTG(16:0_16:1_18:2(OH))+NH4,862.7494904,827.7123704,571.4721404,573.4877404,549.4877704,221.2263664,219.2107664,261.2213064
OxTG(16:0_18:0_20:4(OHOH))+NH4,932.7913104,879.7436204,623.5033904,595.4720904,579.5346704,221.2263664,249.2576664,301.2162264
OxTG(16:0_18:0_20:4(OH))+NH4,916.7963904,881.7592704,625.5190404,597.4877404,579.5346704,221.2263664,249.2576664,285.2213064
OxTG(16:0_18:0_18:2(OHOH))+NH4,908.7913104,855.7436204,599.5033904,571.4720904,579.5346704,221.2263664,249.2576664,277.2162264
OxTG(16:0_18:0_18:2(OH))+NH4,892.7963904,857.7592704,601.5190404,573.4877404,579.5346704,221.2263664,249.2576664,261.2213064
OxTG(16:0_18:1_20:4(OHOH))+NH4,930.7757104,877.7280204,621.4877904,595.4720904,577.5190704,221.2263664,247.2420664,301.2162264
OxTG(16:0_18:1_20:4(OH))+NH4,914.7807904,879.7436704,623.5034404,597.4877404,577.5190704,221.2263664,247.2420664,285.2213064
OxTG(16:0_18:1_18:2(OHOH))+NH4,906.7757104,853.7280204,597.4877904,571.4720904,577.5190704,221.2263664,247.2420664,277.2162264
OxTG(16:0_18:1_18:2(OH))+NH4,890.7807904,855.7436704,599.5034404,573.4877404,577.5190704,221.2263664,247.2420664,261.2213064
OxTG(16:0_18:2_20:4(OHOH))+NH4,928.7600104,875.7123204,619.4720904,595.4720904,575.5033704,221.2263664,245.2263664,301.2162264
OxTG(16:0_18:2_20:4(OH))+NH4,912.7650904,877.7279704,621.4877404,597.4877404,575.5033704,221.2263664,245.2263664,285.2213064
OxTG(16:0_18:2_18:2(OHOH))+NH4,904.7600104,851.7123204,595.4720904,571.4720904,575.5033704,221.2263664,245.2263664,277.2162264
OxTG(16:0_18:2_18:2(OH))+NH4,888.7650904,853.7279704,597.4877404,573.4877404,575.5033704,221.2263664,245.2263664,261.2213064
OxTG(16:0_18:3_20:4(OHOH))+NH4,926.7444104,873.6967204,617.4564904,595.4720904,573.4877704,221.2263664,243.2107664,301.2162264
OxTG(16:0_18:3_20:4(OH))+NH4,910.7494904,875.7123704,619.4721404,597.4877404,573.4877704,221.2263664,243.2107664,285.2213064
OxTG(16:0_18:3_18:2(OHOH))+NH4,902.7444104,849.6967204,593.4564904,571.4720904,573.4877704,221.2263664,243.2107664,277.2162264
OxTG(16:0_18:3_18:2(OH))+NH4,886.7494904,851.7123704,595.4721404,573.4877404,573.4877704,221.2263664,243.2107664,261.2213064
OxTG(16:0_18:4_20:4(OHOH))+NH4,924.7287104,871.6810204,615.4407904,595.4720904,571.4720704,221.2263664,241.1950664,301.2162264
OxTG(16:0_18:4_20:4(OH))+NH4,908.7337904,873.6966704,617.4564404,597.4877404,571.4720704,221.2263664,241.1950664,285.2213064
OxTG(16:0_18:4_18:2(OHOH))+NH4,900.7287104,847.6810204,591.4407904,571.4720904,571.4720704,221.2263664,241.1950664,277.2162264
OxTG(16:0_18:4_18:2(OH))+NH4,884.7337904,849.6966704,593.4564404,573.4877404,571.4720704,221.2263664,241.1950664,261.2213064
OxTG(16:0_20:4_20:4(OHOH))+NH4,952.7600104,899.7123204,643.4720904,595.4720904,599.5033704,221.2263664,269.2263664,301.2162264
OxTG(16:0_20:4_20:4(OH))+NH4,936.7650904,901.7279704,645.4877404,597.4877404,599.5033704,221.2263664,269.2263664,285.2213064
OxTG(16:0_20:4_18:2(OHOH))+NH4,928.7600104,875.7123204,619.4720904,571.4720904,599.5033704,221.2263664,269.2263664,277.2162264
OxTG(16:0_20:4_18:2(OH))+NH4,912.7650904,877.7279704,621.4877404,573.4877404,599.5033704,221.2263664,269.2263664,261.2213064
OxTG(16:0_20:5_20:4(OHOH))+NH4,950.7444104,897.6967204,641.4564904,595.4720904,597.4877704,221.2263664,267.2107664,301.2162264
OxTG(16:0_20:5_20:4(OH))+NH4,934.7494904,899.7123704,643.4721404,597.4877404,597.4877704,221.2263664,267.2107664,285.2213064
OxTG(16:0_20:5_18:2(OHOH))+NH4,926.7444104,873.6967204,617.4564904,571.4720904,597.4877704,221.2263664,267.2107664,277.2162264
OxTG(16:0_20:5_18:2(OH))+NH4,910.7494904,875.7123704,619.4721404,573.4877404,597.4877704,221.2263664,267.2107664,261.2213064
OxTG(16:0_22:5_20:4(OHOH))+NH4,978.7757104,925.7280204,669.4877904,595.4720904,625.5190704,221.2263664,295.2420664,301.2162264
OxTG(16:0_22:5_20:4(OH))+NH4,962.7807904,927.7436704,671.5034404,597.4877404,625.5190704,221.2263664,295.2420664,285.2213064
OxTG(16:0_22:5_18:2(OHOH))+NH4,954.7757104,901.7280204,645.4877904,571.4720904,625.5190704,221.2263664,295.2420664,277.2162264
OxTG(16:0_22:5_18:2(OH))+NH4,938.7807904,903.7436704,647.5034404,573.4877404,625.5190704,221.2263664,295.2420664,261.2213064
OxTG(16:0_22:6_20:4(OHOH))+NH4,976.7600104,923.7123204,667.4720904,595.4720904,623.5033704,221.2263664,293.2263664,301.2162264
OxTG(16:0_22:6_20:4(OH))+NH4,960.7650904,925.7279704,669.4877404,597.4877404,623.5033704,221.2263664,293.2263664,285.2213064
OxTG(16:0_22:6_18:2(OHOH))+NH4,952.7600104,899.7123204,643.4720904,571.4720904,623.5033704,221.2263664,293.2263664,277.2162264
OxTG(16:0_22:6_18:2(OH))+NH4,936.7650904,901.7279704,645.4877404,573.4877404,623.5033704,221.2263664,293.2263664,261.2213064
OxTG(16:1_16:1_20:4(OHOH))+NH4,900.7288104,847.6811204,593.4564904,593.4564904,547.4721704,219.2107664,219.2107664,301.2162264
OxTG(16:1_16:1_20:4(OH))+NH4,884.7338904,849.6967704,595.4721404,595.4721404,547.4721704,219.2107664,219.2107664,285.2213064
OxTG(16:1_16:1_18:2(OHOH))+NH4,876.7288104,823.6811204,569.4564904,569.4564904,547.4721704,219.2107664,219.2107664,277.2162264
OxTG(16:1_16:1_18:2(OH))+NH4,860.7338904,825.6967704,571.4721404,571.4721404,547.4721704,219.2107664,219.2107664,261.2213064
OxTG(16:1_18:0_20:4(OHOH))+NH4,930.7757104,877.7280204,623.5033904,593.4564904,577.5190704,219.2107664,249.2576664,301.2162264
OxTG(16:1_18:0_20:4(OH))+NH4,914.7807904,879.7436704,625.5190404,595.4721404,577.5190704,219.2107664,249.2576664,285.2213064
OxTG(16:1_18:0_18:2(OHOH))+NH4,906.7757104,853.7280204,599.5033904,569.4564904,577.5190704,219.2107664,249.2576664,277.2162264
OxTG(16:1_18:0_18:2(OH))+NH4,890.7807904,855.7436704,601.5190404,571.4721404,577.5190704,219.2107664,249.2576664,261.2213064
OxTG(16:1_18:1_20:4(OHOH))+NH4,928.7601104,875.7124204,621.4877904,593.4564904,575.5034704,219.2107664,247.2420664,301.2162264
OxTG(16:1_18:1_20:4(OH))+NH4,912.7651904,877.7280704,623.5034404,595.4721404,575.5034704,219.2107664,247.2420664,285.2213064
OxTG(16:1_18:1_18:2(OHOH))+NH4,904.7601104,851.7124204,597.4877904,569.4564904,575.5034704,219.2107664,247.2420664,277.2162264
OxTG(16:1_18:1_18:2(OH))+NH4,888.7651904,853.7280704,599.5034404,571.4721404,575.5034704,219.2107664,247.2420664,261.2213064
OxTG(16:1_18:2_20:4(OHOH))+NH4,926.7444104,873.6967204,619.4720904,593.4564904,573.4877704,219.2107664,245.2263664,301.2162264
OxTG(16:1_18:2_20:4(OH))+NH4,910.7494904,875.7123704,621.4877404,595.4721404,573.4877704,219.2107664,245.2263664,285.2213064
OxTG(16:1_18:2_18:2(OHOH))+NH4,902.7444104,849.6967204,595.4720904,569.4564904,573.4877704,219.2107664,245.2263664,277.2162264
OxTG(16:1_18:2_18:2(OH))+NH4,886.7494904,851.7123704,597.4877404,571.4721404,573.4877704,219.2107664,245.2263664,261.2213064
OxTG(16:1_18:3_20:4(OHOH))+NH4,924.7288104,871.6811204,617.4564904,593.4564904,571.4721704,219.2107664,243.2107664,301.2162264
OxTG(16:1_18:3_20:4(OH))+NH4,908.7338904,873.6967704,619.4721404,595.4721404,571.4721704,219.2107664,243.2107664,285.2213064
OxTG(16:1_18:3_18:2(OHOH))+NH4,900.7288104,847.6811204,593.4564904,569.4564904,571.4721704,219.2107664,243.2107664,277.2162264
OxTG(16:1_18:3_18:2(OH))+NH4,884.7338904,849.6967704,595.4721404,571.4721404,571.4721704,219.2107664,243.2107664,261.2213064
OxTG(16:1_18:4_20:4(OHOH))+NH4,922.7131104,869.6654204,615.4407904,593.4564904,569.4564704,219.2107664,241.1950664,301.2162264
OxTG(16:1_18:4_20:4(OH))+NH4,906.7181904,871.6810704,617.4564404,595.4721404,569.4564704,219.2107664,241.1950664,285.2213064
OxTG(16:1_18:4_18:2(OHOH))+NH4,898.7131104,845.6654204,591.4407904,569.4564904,569.4564704,219.2107664,241.1950664,277.2162264
OxTG(16:1_18:4_18:2(OH))+NH4,882.7181904,847.6810704,593.4564404,571.4721404,569.4564704,219.2107664,241.1950664,261.2213064
OxTG(16:1_20:4_20:4(OHOH))+NH4,950.7444104,897.6967204,643.4720904,593.4564904,597.4877704,219.2107664,269.2263664,301.2162264
OxTG(16:1_20:4_20:4(OH))+NH4,934.7494904,899.7123704,645.4877404,595.4721404,597.4877704,219.2107664,269.2263664,285.2213064
OxTG(16:1_20:4_18:2(OHOH))+NH4,926.7444104,873.6967204,619.4720904,569.4564904,597.4877704,219.2107664,269.2263664,277.2162264
OxTG(16:1_20:4_18:2(OH))+NH4,910.7494904,875.7123704,621.4877404,571.4721404,597.4877704,219.2107664,269.2263664,261.2213064
OxTG(16:1_20:5_20:4(OHOH))+NH4,948.7288104,895.6811204,641.4564904,593.4564904,595.4721704,219.2107664,267.2107664,301.2162264
OxTG(16:1_20:5_20:4(OH))+NH4,932.7338904,897.6967704,643.4721404,595.4721404,595.4721704,219.2107664,267.2107664,285.2213064
OxTG(16:1_20:5_18:2(OHOH))+NH4,924.7288104,871.6811204,617.4564904,569.4564904,595.4721704,219.2107664,267.2107664,277.2162264
OxTG(16:1_20:5_18:2(OH))+NH4,908.7338904,873.6967704,619.4721404,571.4721404,595.4721704,219.2107664,267.2107664,261.2213064
OxTG(16:1_22:5_20:4(OHOH))+NH4,976.7601104,923.7124204,669.4877904,593.4564904,623.5034704,219.2107664,295.2420664,301.2162264
OxTG(16:1_22:5_20:4(OH))+NH4,960.7651904,925.7280704,671.5034404,595.4721404,623.5034704,219.2107664,295.2420664,285.2213064
OxTG(16:1_22:5_18:2(OHOH))+NH4,952.7601104,899.7124204,645.4877904,569.4564904,623.5034704,219.2107664,295.2420664,277.2162264
OxTG(16:1_22:5_18:2(OH))+NH4,936.7651904,901.7280704,647.5034404,571.4721404,623.5034704,219.2107664,295.2420664,261.2213064
